original,En2Catalan,Catalan2En,En2Cebuano,Cebuano2En,En2Chinese_Simplified,Chinese_Simplified2En,En2Chinese_Traditional,Chinese_Traditional2En,En2Corsican,Corsican2En,En2Croatian,Croatian2En,En2Czech,Czech2En,En2Danish,Danish2En,En2Dutch,Dutch2En,En2English,English2En,En2Esperanto,Esperanto2En,En2Estonian,Estonian2En
She is an advocate.,És una defensora. ,She is an advocate. ,Siya usa ka manlalaban. ,He is a defender. ,她是一位拥护者。 ,She is a champion. ,她是一位擁護者。 ,She is a champion. ,Hè un difensore. ,He is a defender. ,Ona je odvjetnica. ,She's a lawyer. ,Je obhájkyní. ,She is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ze is een advocaat. ,She's a lawyer. ,She is an advocate. ,She is an advocate. ,Ŝi estas rekomendanto. ,She is a recommender. ,Ta on advokaat. ,He is a lawyer. 
She is an agriculturist.,És agricultora. ,She is a farmer. ,Usa siya ka Agrikulturista. ,He is an Agriculturalist. ,她是一位农业学家。 ,She is an agriculturist. ,她是一位農業學家。 ,She is an agriculturist. ,Hè agricultore. ,He is a farmer. ,Ona je poljoprivrednica. ,She is a farmer. ,Je to zemědělkyně. ,She is a farmer. ,Hun er landbruger. ,She is a farmer. ,Ze is een landbouwkundige. ,She is an agronomist. ,She is an agriculturist. ,She is an agriculturist. ,Ŝi estas terkulturisto. ,She is a farmer. ,Ta on põllumajandusteadlane. ,He is an agricultural scientist. 
She is an aircraft pilot.,És pilot d’avions. ,He is an airplane pilot. ,Usa siya ka piloto sa ayroplano. ,He was an airplane pilot. ,她是一名飞机驾驶员。 ,She is an airplane pilot. ,她是一名飛機駕駛員。 ,She is an airplane pilot. ,Hè un pilotu d'aviò. ,He is an airplane pilot. ,Ona je pilot zrakoplova. ,She is an aircraft pilot. ,Je pilotkou letadla. ,She is a pilot on an airplane. ,Hun er en flypilot. ,She's a flight pilot. ,Ze is een vliegtuigpiloot. ,She's an airplane pilot. ,She is an aircraft pilot. ,She is an aircraft pilot. ,Ŝi estas aviadila piloto. ,She is an airplane pilot. ,Ta on lennukipiloot. ,He's an airplane pilot. 
She is an artist.,És artista. ,He is an artist. ,Usa siya ka artista. ,He is an actor. ,她是一位艺术家。 ,She is an artist. ,她是一位藝術家。 ,She is an artist. ,Hè una artista. ,She is an artist. ,Ona je umjetnica. ,She is an artist. ,Je umělkyní. ,She is an artist. ,Hun er kunstner. ,She's an artist. ,Ze is een artiest. ,She's an artist. ,She is an artist. ,She is an artist. ,Ŝi estas artisto. ,She is an artist. ,Ta on kunstnik. ,He is an artist. 
She is an astronomer.,És astrònoma. ,She is an astronomer. ,Siya usa ka astronomo. ,He was an astronomer. ,她是一位天文学家。 ,She is an astronomer. ,她是一位天文學家。 ,She is an astronomer. ,Hè un astrònomu. ,He is an astronomer. ,Ona je astronom. ,She is an astronomer. ,Je astronomka. ,She is an astronomer. ,Hun er astronom. ,She's an astronomer. ,Ze is een astronoom. ,She is an astronomer. ,She is an astronomer. ,She is an astronomer. ,Ŝi estas astronomino. ,She is an astronomer. ,Ta on astronoom. ,He is an astronomer. 
She is an attorney.,És advocada. ,She is a lawyer. ,Usa siya ka abogado. ,He is a lawyer. ,她是一名律师。 ,She is a lawyer. ,她是律師。 ,She is a lawyer. ,Hè un avvucatu. ,He is a lawyer. ,Ona je odvjetnik. ,She is a lawyer. ,Je advokátkou. ,She is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ze is advocaat. ,She's a lawyer. ,She is an attorney. ,She is an attorney. ,Ŝi estas advokato. ,She is a lawyer. ,Ta on advokaat. ,He is a lawyer. 
She is an audiologist.,És audiòloga. ,She is an audiologist. ,Usa siya ka audiologist. ,He is an audiologist. ,她是听觉病学家。 ,She is an audiologist. ,她是聽覺病學家。 ,She is an audiologist. ,Hè un audiologu. ,He is an audiologist. ,Ona je audiolog. ,She is an audiologist. ,Je audiologička. ,She is an audiologist. ,Hun er audiolog. ,She's an audiologist. ,Ze is audioloog. ,She is an audiologist. ,She is an audiologist. ,She is an audiologist. ,Ŝi estas aŭdiologo. ,She is an audiologist. ,Ta on audioloog. ,He's an audiologist. 
She is a banker.,És banquera. ,She is a banker. ,Banker siya. ,He is a banker. ,她是一位银行家。 ,She is a banker. ,她是一位銀行家。 ,She is a banker. ,Hè un bancalaru. ,He is a banker. ,Ona je bankar. ,She is a banker. ,Je to bankéřka. ,She's a banker. ,Hun er bankmand. ,She's a banker. ,Ze is een bankier. ,She is a banker. ,She is a banker. ,She is a banker. ,Ŝi estas bankisto. ,She is a banker. ,Ta on pankur. ,He's a banker. 
She is a barber.,És barber. ,He is a barber. ,Usa siya ka barbero. ,He is a barber. ,她是个理发师。 ,She is a barber. ,她是個理髮師。 ,She is a barber. ,Hè barbiera. ,She is a barber. ,Ona je brijačnica. ,She's a barber. ,Je holička. ,She's a girl. ,Hun er barberer. ,She's a barber. ,Ze is een kapper. ,She's a hairdresser. ,She is a barber. ,She is a barber. ,Ŝi estas barbiro. ,She is a barber. ,Ta on juuksur. ,She is a hairdresser. 
She is a bartender.,És barman. ,He is a bartender. ,Usa siya ka bartender. ,He is a bartender. ,她是一个调酒师。 ,She is a bartender. ,她是一個調酒師。 ,She is a bartender. ,Hè un barman. ,He is a bartender. ,Ona je barmen. ,She's a bartender. ,Je to barmanka. ,She's a bartender. ,Hun er bartender. ,She's a bartender. ,Ze is een barman. ,She's a bartender. ,She is a bartender. ,She is a bartender. ,Ŝi estas drinkejisto. ,She is a bartender. ,Ta on baarmen. ,He's a bartender. 
She is a biologist.,És biòloga. ,She is a biologist. ,Usa siya ka biologist. ,He is a biologist. ,她是一名生物学家。 ,She is a biologist. ,她是一名生物學家。 ,She is a biologist. ,Hè biologa. ,She is a biologist. ,Ona je biolog. ,She is a biologist. ,Je biologka. ,She's a biologist. ,Hun er biolog. ,She's a biologist. ,Ze is een bioloog. ,She is a biologist. ,She is a biologist. ,She is a biologist. ,Ŝi estas biologo. ,She is a biologist. ,Ta on bioloog. ,He's a biologist. 
She is a bookkeeper.,És comptable. ,He is an accountant. ,Usa siya ka bookkeeper. ,He is a bookkeeper. ,她是簿记员。 ,She is a bookkeeper. ,她是簿記員。 ,She is a bookkeeper. ,Hè una contabile. ,She is an accountant. ,Ona je knjigovođa. ,She is an accountant. ,Je účetní. ,He is an accountant. ,Hun er bogholder. ,She is an accountant. ,Ze is een boekhoudster. ,She is an accountant. ,She is a bookkeeper. ,She is a bookkeeper. ,Ŝi estas librotenisto. ,She is an accountant. ,Ta on raamatupidaja. ,He is an accountant. 
She is a botanist.,És botànica. ,It is botanical. ,Usa siya ka botanista. ,He is a botanist. ,她是植物学家。 ,She is a botanist. ,她是植物學家。 ,She is a botanist. ,Hè un botanicu. ,He is a botanist. ,Ona je botaničar. ,She is a botanist. ,Je to botanička. ,She is a botanist. ,Hun er botaniker. ,She's a botanist. ,Ze is een botanicus. ,She is a botanist. ,She is a botanist. ,She is a botanist. ,Ŝi estas botanikisto. ,She is a botanist. ,Ta on botaanik. ,He is a botanist. 
She is a builder.,És constructora. ,She is a builder. ,Siya usa ka magtutukod. ,He is a builder. ,她是一名建筑工人。 ,She is a construction worker. ,她是一名建築工人。 ,She is a construction worker. ,Hè un costruttore. ,He is a builder. ,Ona je graditeljica. ,She is a builder. ,Je to stavitelka. ,She is a builder. ,Hun er bygherre. ,She's the builder. ,Ze is een bouwer. ,She's a builder. ,She is a builder. ,She is a builder. ,Ŝi estas konstruanto. ,She is a builder. ,Ta on ehitaja. ,He is a builder. 
She is a businessperson.,És empresària. ,She is an entrepreneur. ,Usa siya ka negosyante. ,He is a businessman. ,她是商人。 ,She is a businessman. ,她是商人。 ,She is a businessman. ,Hè un omu d'affari. ,He is a businessman. ,Ona je poslovni čovjek. ,She is a businessman. ,Je to obchodnice. ,She's a businesswoman. ,Hun er forretningsmand. ,She's a businessman. ,Ze is een ondernemer. ,She is an entrepreneur. ,She is a businessperson. ,She is a businessperson. ,Ŝi estas komercisto. ,She is a businessman. ,Ta on ärimees. ,He is a businessman. 
She is a butcher.,És carnissera. ,She is a butcher. ,Butcher siya. ,He is a butcher. ,她是个屠夫。 ,She is a butcher. ,她是個屠夫。 ,She is a butcher. ,Hè una macelleria. ,It’s a butcher shop. ,Ona je mesnica. ,She's a butcher. ,Je to řezník. ,He's a butcher. ,Hun er slagter. ,She's a butcher. ,Ze is slager. ,She's a butcher. ,She is a butcher. ,She is a butcher. ,Ŝi estas buĉisto. ,She is a butcher. ,Ta on lihunik. ,He is a butcher. 
She is a carpenter.,És fustera. ,She is a carpenter. ,Siya usa ka panday. ,He was a carpenter. ,她是木匠。 ,She is a carpenter. ,她是木匠。 ,She is a carpenter. ,Hè un falignami. ,He is a carpenter. ,Ona je stolar. ,She is a carpenter. ,Je tesařka. ,She is a carpenter. ,Hun er tømrer. ,She's a carpenter. ,Ze is een timmerman. ,She's a carpenter. ,She is a carpenter. ,She is a carpenter. ,Ŝi estas ĉarpentisto. ,She is a carpenter. ,Ta on puusepp. ,He is a carpenter. 
She is a cashier.,És caixera. ,She is a cashier. ,Siya usa ka kahera. ,He is a cashier. ,她是出纳员。 ,She is a teller. ,她是出納員。 ,She is a teller. ,Hè una cassa. ,It’s a box. ,Ona je blagajnica. ,She's the cashier. ,Je pokladní. ,He's a cashier. ,Hun er kasserer. ,She's a cashier. ,Ze is een kassamedewerker. ,She is a cashier. ,She is a cashier. ,She is a cashier. ,Ŝi estas kasistino. ,She is a cashier. ,Ta on kassapidaja. ,He's a cashier. 
She is a chef.,És xef. ,He is a chef. ,Usa siya ka chef. ,He is a chef. ,她是厨师。 ,She is a cook. ,她是廚師。 ,She is a cook. ,Hè un chef. ,He is a chef. ,Ona je kuharica. ,She's a cook. ,Je kuchařka. ,She's a cook. ,Hun er kok. ,She's a cook. ,Ze is een kok. ,She's a cook. ,She is a chef. ,She is a chef. ,Ŝi estas kuiristo. ,She is a cook. ,Ta on peakokk. ,He's a chef. 
She is a chemist.,És química. ,It's chemistry. ,Usa siya ka chemist. ,He is a chemist. ,她是化学家。 ,She is a chemist. ,她是化學家。 ,She is a chemist. ,Hè una chimica. ,It’s a chemical. ,Ona je kemičarka. ,She's a chemist. ,Je chemička. ,She's a chemist. ,Hun er kemiker. ,She's a chemist. ,Ze is chemicus. ,She's a chemist. ,She is a chemist. ,She is a chemist. ,Ŝi estas kemiisto. ,She is a chemist. ,Ta on keemik. ,He's a chemist. 
She is a clergy advisor.,És assessora del clergat. ,She is an adviser to the clergy. ,Usa siya ka magtatambag sa klero. ,He was a counselor to the clergy. ,她是神职顾问。 ,She is a clergy advisor. ,她是神職顧問。 ,She is a clergy advisor. ,Hè un cunsiglieru di u cleru. ,He is a counselor of the clergy. ,Savjetnica je svećenstva. ,She is a priesthood counselor. ,Je duchovní poradkyní. ,She is a spiritual counselor. ,Hun er præsterådgiver. ,She is a pastoral counselor. ,Ze is geestelijk adviseur. ,She is a spiritual counselor. ,She is a clergy advisor. ,She is a clergy advisor. ,Ŝi estas pastrara konsilisto. ,She is a clergy advisor. ,Ta on vaimulike nõustaja. ,He is a counselor to the clergy. 
She is a clinical lab technician.,És tècnica de laboratori clínic. ,It is a clinical laboratory technique. ,Usa siya ka technician sa klinikal nga lab. ,He is a technician in the clinical lab. ,她是临床实验室技术员。 ,She is a clinical laboratory technician. ,她是臨床實驗室技術員。 ,She is a clinical laboratory technician. ,Hè un tecnicu di laburatoriu clinicu. ,He is a clinical laboratory technician. ,Ona je klinički laboratorijski tehničar. ,She is a clinical laboratory technician. ,Je technikem klinické laboratoře. ,He is a clinical laboratory technician. ,Hun er klinisk laboratorietekniker. ,She is a clinical laboratory technician. ,Ze is een klinisch laboratoriumtechnicus. ,She is a clinical laboratory technician. ,She is a clinical lab technician. ,She is a clinical lab technician. ,Ŝi estas klinika laboratorio-teknikisto. ,She is a clinical laboratory technician. ,Ta on kliiniline laborant. ,He is a clinical laboratory assistant. 
She is a coach.,És entrenadora. ,She is a coach. ,Usa siya ka coach. ,He is a coach. ,她是一名教练。 ,She is a coach. ,她是一名教練。 ,She is a coach. ,Hè coach. ,He is a coach. ,Ona je trenerica. ,She's a coach. ,Je trenérka. ,She's a coach. ,Hun er træner. ,She's a coach. ,Ze is een coach. ,She is a coach. ,She is a coach. ,She is a coach. ,Ŝi estas trejnisto. ,She is a coach. ,Ta on treener. ,He's a coach. 
She is a developer.,És desenvolupadora. ,She is a developer. ,Siya usa ka developer. ,He is a developer. ,她是一名开发商。 ,She is a developer. ,她是一名開發商。 ,She is a developer. ,Hè un sviluppatore. ,He is a developer. ,Ona je programer. ,She is a programmer. ,Je vývojářka. ,She is a developer. ,Hun er udvikler. ,She is a developer. ,Ze is een ontwikkelaar. ,She is a developer. ,She is a developer. ,She is a developer. ,Ŝi estas programisto. ,She is a programmer. ,Ta on arendaja. ,He is a developer. 
She is a dietitian.,És dietista. ,He is a dietitian. ,Usa siya ka dietitian. ,He is a dietitian. ,她是营养师。 ,She is a nutritionist. ,她是營養師。 ,She is a nutritionist. ,Hè una dietista. ,She is a dietitian. ,Ona je dijetetičarka. ,She is a dietitian. ,Je dietologkou. ,He is a dietitian. ,Hun er diætist. ,She is a dietitian. ,Ze is diëtiste. ,She is a dietician. ,She is a dietitian. ,She is a dietitian. ,Ŝi estas dietisto. ,She is a dietitian. ,Ta on dieediarst. ,She is a dietitian. 
She is an ecologist.,És ecologista. ,He is an ecologist. ,Usa siya ka ecologist. ,He is an ecologist. ,她是生态学家。 ,She is an ecologist. ,她是生態學家。 ,She is an ecologist. ,Hè eculugista. ,He is an ecologist. ,Ona je ekolog. ,She is an ecologist. ,Je ekologka. ,She is an ecologist. ,Hun er økolog. ,She is an ecologist. ,Ze is een ecoloog. ,She is an ecologist. ,She is an ecologist. ,She is an ecologist. ,Ŝi estas ekologiisto. ,She is an environmentalist. ,Ta on ökoloog. ,He is an ecologist. 
She is an editor.,És editora. ,She is a publisher. ,Usa siya ka editor. ,He is an editor. ,她是一位编辑。 ,She is an editor. ,她是一位編輯。 ,She is an editor. ,Hè editore. ,He is an editor. ,Urednica je. ,She's an editor. ,Je redaktorkou. ,She is an editor. ,Hun er redaktør. ,She is an editor. ,Ze is redacteur. ,She is an editor. ,She is an editor. ,She is an editor. ,Ŝi estas redaktistino. ,She is an editor. ,Ta on toimetaja. ,He is an editor. 
She is an electrician.,És electricista. ,He is an electrician. ,Usa siya ka elektrisista. ,He is an electrician. ,她是电工。 ,She is an electrician. ,她是電工。 ,She is an electrician. ,Hè un elettricista. ,He is an electrician. ,Ona je električarka. ,She's an electrician. ,Je elektrikářka. ,She is an electrician. ,Hun er elektriker. ,She's an electrician. ,Ze is een elektricien. ,She is an electrician. ,She is an electrician. ,She is an electrician. ,Ŝi estas elektristo. ,She is an electrician. ,Ta on elektrik. ,He's an electrician. 
She is an EMT specialist.,És especialista en EMT. ,He specializes in EMT. ,Usa siya ka espesyalista sa EMT. ,He is an EMT specialist. ,她是EMT专家。 ,She is an EMT expert. ,她是EMT專家。 ,She is an EMT expert. ,Hè una spezialista EMT. ,She is an EMT specialist. ,Ona je specijalist za EMT. ,She is an EMT specialist. ,Je specialistkou na EMT. ,She is an EMT specialist. ,Hun er EMT-specialist. ,She is an EMT specialist. ,Ze is een EMT-specialist. ,She is an EMT specialist. ,She is an EMT specialist. ,She is an EMT specialist. ,Ŝi estas specialisto pri EMT. ,She is an EMT specialist. ,Ta on EMT spetsialist. ,He is an EMT specialist. 
She is a farmer.,És pagesa. ,She is a farmer. ,Usa siya ka mag-uuma. ,He is a farmer. ,她是一个农夫。 ,She is a farmer. ,她是一個農夫。 ,She is a farmer. ,Hè un agricultore. ,He is a farmer. ,Ona je poljoprivrednica. ,She is a farmer. ,Je to farmářka. ,She's a farmer. ,Hun er landmand. ,She is a farmer. ,Ze is een boer. ,She is a farmer. ,She is a farmer. ,She is a farmer. ,Ŝi estas kamparano. ,She is a farmer. ,Ta on talupidaja. ,He is a farmer. 
She is a filmmaker.,És cineasta. ,He is a filmmaker. ,Usa siya ka filmmaker. ,He is a filmmaker. ,她是电影制片人。 ,She is a film producer. ,她是電影製片人。 ,She is a film producer. ,Hè cineasta. ,He is a filmmaker. ,Ona je filmašica. ,She is a filmmaker. ,Je filmařkou. ,She is a filmmaker. ,Hun er filmskaber. ,She is a filmmaker. ,Ze is een filmmaker. ,She is a filmmaker. ,She is a filmmaker. ,She is a filmmaker. ,Ŝi estas produktoro. ,She is a filmmaker. ,Ta on filmitegija. ,He is a filmmaker. 
She is a firefighter.,És bomber. ,He is a firefighter. ,Usa siya ka bombero. ,He is a firefighter. ,她是一名消防员。 ,She is a firefighter. ,她是一名消防員。 ,She is a firefighter. ,Hè un spenghjifocu. ,It’s a fire extinguisher. ,Ona je vatrogasac. ,She's a firefighter. ,Je hasičkou. ,She's a firefighter. ,Hun er brandmand. ,She's a firefighter. ,Ze is een brandweerman. ,She's a firefighter. ,She is a firefighter. ,She is a firefighter. ,Ŝi estas fajrobrigadisto. ,She is a firefighter. ,Ta on tuletõrjuja. ,He's a firefighter. 
She is a fisherman.,És pescadora. ,She is a fisherwoman. ,Usa siya ka mangingisda. ,He is a fisherman. ,她是一个渔夫。 ,She is a fisherman. ,她是一個漁夫。 ,She is a fisherman. ,Hè piscadore. ,He is a fisherman. ,Ona je ribar. ,She is a fisherman. ,Je to rybářka. ,She's a fisherman. ,Hun er fisker. ,She's a fisherman. ,Ze is een visser. ,She is a fisherman. ,She is a fisherman. ,She is a fisherman. ,Ŝi estas fiŝkaptisto. ,She is a fisherman. ,Ta on kalur. ,He is a fisherman. 
She is a flight attendant.,És auxiliar de vol. ,He is a flight attendant. ,Usa siya ka flight attendant. ,He is a flight attendant. ,她是空姐。 ,She is a stewardess. ,她是空姐。 ,She is a stewardess. ,Hè assistente di volu. ,He is a flight attendant. ,Ona je stjuardesa. ,She's a flight attendant. ,Ona je letuška. ,She's a flight attendant. ,Hun er en stewardesse. ,She's a stewardess. ,Zij is een stewardess. ,She is a flight attendant. ,She is a flight attendant. ,She is a flight attendant. ,Ŝi estas stevardino. ,She is a flight attendant. ,Ta on stjuardess. ,She's a flight attendant. 
She is a geneticist.,És genetista. ,He is a geneticist. ,Siya usa ka genetiko. ,He is a geneticist. ,她是遗传学家。 ,She is a geneticist. ,她是遺傳學家。 ,She is a geneticist. ,Hè genetica. ,It’s genetic. ,Ona je genetičarka. ,She is a geneticist. ,Je genetička. ,She's genetic. ,Hun er genetiker. ,She's a geneticist. ,Ze is een geneticus. ,She's a geneticist. ,She is a geneticist. ,She is a geneticist. ,Ŝi estas genetikulo. ,She is a geneticist. ,Ta on geneetik. ,He's a geneticist. 
She is a geologist.,És geòloga. ,She is a geologist. ,Siya usa ka geologist. ,He is a geologist. ,她是地质学家。 ,She is a geologist. ,她是地質學家。 ,She is a geologist. ,Hè geologa. ,She is a geologist. ,Ona je geolog. ,She is a geologist. ,Je geologkou. ,She is a geologist. ,Hun er geolog. ,She's a geologist. ,Ze is een geoloog. ,She's a geologist. ,She is a geologist. ,She is a geologist. ,Ŝi estas geologo. ,She is a geologist. ,Ta on geoloog. ,He is a geologist. 
She is a graphic designer.,És dissenyadora gràfica. ,She is a graphic designer. ,Siya usa ka graphic designer. ,She is a graphic designer. ,她是一名平面设计师。 ,She is a graphic designer. ,她是一名平面設計師。 ,She is a graphic designer. ,Hè un disegnatore graficu. ,He is a graphic designer. ,Grafička je dizajnerica. ,She is a graphic designer. ,Je grafická designérka. ,She is a graphic designer. ,Hun er grafisk designer. ,She is a graphic designer. ,Ze is grafisch vormgever. ,She is a graphic designer. ,She is a graphic designer. ,She is a graphic designer. ,Ŝi estas grafikisto. ,She is a graphic designer. ,Ta on graafiline disainer. ,He is a graphic designer. 
She is a human resource specialist.,És especialista en recursos humans. ,He specializes in human resources. ,Usa siya ka espesyalista sa tawhanong kapanguhaan. ,He is a specialist in human resources. ,她是人力资源专家。 ,She is an expert in human resources. ,她是人力資源專家。 ,She is an expert in human resources. ,Hè una spezialista in risorse umane. ,She is a specialist in human resources. ,Ona je stručnjak za ljudske resurse. ,She is a human resources expert. ,Je specialistkou na lidské zdroje. ,She is a human resources specialist. ,Hun er human resource specialist. ,She is a human resource specialist. ,Ze is een human resource-specialist. ,She is a human resource specialist. ,She is a human resource specialist. ,She is a human resource specialist. ,Ŝi estas specialisto pri homaj rimedoj. ,She is a human resources specialist. ,Ta on personalispetsialist. ,He is a personnel specialist. 
She is an immunologist.,És immunòloga. ,She is an immunologist. ,Usa siya ka immunologist. ,He is an immunologist. ,她是一名免疫学家。 ,She is an immunologist. ,她是一名免疫學家。 ,She is an immunologist. ,Hè un immunologu. ,He is an immunologist. ,Ona je imunolog. ,She's an immunologist. ,Je imunologička. ,She is an immunologist. ,Hun er immunolog. ,She's an immunologist. ,Ze is een immunoloog. ,She's an immunologist. ,She is an immunologist. ,She is an immunologist. ,Ŝi estas imunologo. ,She is an immunologist. ,Ta on immunoloog. ,He's an immunologist. 
She is an interpreters.,És intèrpret. ,He is a performer. ,Siya usa ka maghuhubad. ,He is a translator. ,她是一名口译员。 ,She is an interpreter. ,她是一名口譯員。 ,She is an interpreter. ,Hè interpreti. ,He is an interpreter. ,Ona je prevoditeljica. ,She is a translator. ,Je tlumočnicí. ,She is an interpreter. ,Hun er tolk. ,She is an interpreter. ,Ze is een tolken. ,She is an interpreter. ,She is an interpreters. ,She is an interpreters. ,Ŝi estas interpretistoj. ,She is an interpreter. ,Ta on tõlgid. ,He is an interpreter. 
She is a jeweller.,És joieria. ,It's jewelry. ,Siya usa ka mag-aalahas. ,He is a jeweler. ,她是珠宝商。 ,She is a jeweler. ,她是珠寶商。 ,She is a jeweler. ,Hè una ghjuvellaria. ,It is a jewelry store. ,Ona je draguljar. ,She is a jeweler. ,Je klenotnice. ,She is a jeweler. ,Hun er en juveler. ,She's a jeweler. ,Ze is juwelier. ,She is a jeweler. ,She is a jeweller. ,She is a jeweller. ,Ŝi estas juvelisto. ,She is a jeweler. ,Ta on juveliir. ,She is a jeweler. 
She is a lawyer.,És advocada. ,She is a lawyer. ,Usa siya ka abogado. ,He is a lawyer. ,她是律师。 ,She is a lawyer. ,她是律師。 ,She is a lawyer. ,Hè un avucatu. ,He is a lawyer. ,Ona je pravnica. ,She is a lawyer. ,Je právnička. ,She's a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ze is een advocaat. ,She's a lawyer. ,She is a lawyer. ,She is a lawyer. ,Ŝi estas advokato. ,She is a lawyer. ,Ta on advokaat. ,He is a lawyer. 
She is a librarian.,És bibliotecària. ,She is a librarian. ,Usa siya ka librarian. ,He is a librarian. ,她是图书馆员。 ,She is a librarian. ,她是圖書館員。 ,She is a librarian. ,Hè una bibliuteca. ,It’s a library. ,Ona je knjižničarka. ,She is a librarian. ,Je knihovnicí. ,She is a librarian. ,Hun er bibliotekar. ,She is a librarian. ,Ze is een bibliothecaris. ,She's a librarian. ,She is a librarian. ,She is a librarian. ,Ŝi estas bibliotekistino. ,She is a librarian. ,Ta on raamatukoguhoidja. ,She is a librarian. 
