original,En2Catalan,Catalan2En,En2Cebuano,Cebuano2En,En2Chinese_Simplified,Chinese_Simplified2En,En2Chinese_Traditional,Chinese_Traditional2En,En2Corsican,Corsican2En,En2Croatian,Croatian2En,En2Czech,Czech2En,En2Danish,Danish2En,En2Dutch,Dutch2En,En2English,English2En,En2Esperanto,Esperanto2En,En2Estonian,Estonian2En
She is a licensed practical nurse.,És infermera amb llicència. ,She is a licensed nurse. ,Siya usa ka lisensyado nga praktikal nga nars. ,She is a licensed practical nurse. ,她是一名执业执业护士。 ,She is a practicing nurse practitioner. ,她是一名執業執業護士。 ,She is a practicing nurse practitioner. ,Hè una infermiera pratica licenziata. ,She is a licensed practical nurse. ,Licencirana je praktična medicinska sestra. ,She is a licensed practical nurse. ,Je licencovanou praktickou sestrou. ,She is a licensed nurse. ,Hun er autoriseret praktisk sygeplejerske. ,She is a licensed practical nurse. ,Ze is een gediplomeerde praktijkverpleegkundige. ,She is a certified practice nurse. ,She is a licensed practical nurse. ,She is a licensed practical nurse. ,Ŝi estas rajtigita praktika flegistino. ,She is a licensed practical nurse. ,Ta on litsentseeritud praktiline õde. ,She is a licensed practical nurse. 
She is a mechanic.,És mecànica. ,It's mechanical. ,Mekaniko siya. ,He is a mechanic. ,她是个技工。 ,She is a mechanic. ,她是個技工。 ,She is a mechanic. ,Hè meccanica. ,It’s mechanical. ,Ona je mehaničar. ,She's a mechanic. ,Je mechanička. ,She's a mechanic. ,Hun er mekaniker. ,She's a mechanic. ,Ze is een monteur. ,She's a mechanic. ,She is a mechanic. ,She is a mechanic. ,Ŝi estas meicanikisto. ,She is a mechanic. ,Ta on mehaanik. ,He's a mechanic. 
She is a medical laboratory scientist.,És científica de laboratori mèdic. ,She is a medical laboratory scientist. ,Usa siya ka siyentista sa medikal nga laboratoryo. ,He is a medical laboratory scientist. ,她是医学实验室的科学家。 ,She is a scientist in a medical laboratory. ,她是醫學實驗室的科學家。 ,She is a scientist in a medical laboratory. ,Hè un scientistu di laburatoriu medicu. ,He is a medical laboratory scientist. ,Ona je znanstvenica iz medicinskog laboratorija. ,She is a scientist from a medical laboratory. ,Je lékařskou laboratorní vědkyní. ,She is a medical laboratory scientist. ,Hun er medicinsk laboratorieforsker. ,She is a medical laboratory researcher. ,Ze is een medisch laboratoriumwetenschapper. ,She is a medical laboratory scientist. ,She is a medical laboratory scientist. ,She is a medical laboratory scientist. ,Ŝi estas medicina laboratorio-sciencisto. ,She is a medical laboratory scientist. ,Ta on meditsiinilabori teadlane. ,He's a medical lab scientist. 
She is a meteorologist.,És meteoròloga. ,She is a meteorologist. ,Usa siya ka meteorologist. ,He is a meteorologist. ,她是气象学家。 ,She is a meteorologist. ,她是氣象學家。 ,She is a meteorologist. ,Hè meteorologa. ,She is a meteorologist. ,Ona je meteorolog. ,She's a meteorologist. ,Je meteorologkou. ,He's a meteorologist. ,Hun er meteorolog. ,She's a meteorologist. ,Ze is een meteoroloog. ,She's a meteorologist. ,She is a meteorologist. ,She is a meteorologist. ,Ŝi estas meteologo. ,She is a meteorologist. ,Ta on meteoroloog. ,He's a meteorologist. 
She is a midwife.,És llevadora. ,She is a midwife. ,Usa siya ka mananabang. ,He is a helper. ,她是助产士。 ,She is a midwife. ,她是助產士。 ,She is a midwife. ,Hè una levatrice. ,She is a midwife. ,Ona je primalja. ,She is a midwife. ,Je porodní asistentka. ,She is a midwife. ,Hun er jordemoder. ,She is a midwife. ,Ze is vroedvrouw. ,She is a midwife. ,She is a midwife. ,She is a midwife. ,Ŝi estas akuŝistino. ,She is a midwife. ,Ta on ämmaemand. ,She's a midwife. 
She is a military officer.,És oficial militar. ,He is a military officer. ,Siya usa ka opisyal sa militar. ,He was a military officer. ,她是一名军官。 ,She is an officer. ,她是一名軍官。 ,She is an officer. ,Hè un ufficiale militare. ,He is a military officer. ,Ona je vojni časnik. ,She is a military officer. ,Je to vojenská důstojnice. ,She's a military officer. ,Hun er en militær officer. ,She is a military officer. ,Ze is een militaire officier. ,She is a military officer. ,She is a military officer. ,She is a military officer. ,Ŝi estas milita oficiro. ,She is a military officer. ,Ta on sõjaväeohvitser. ,He's a military officer. 
She is a nutritionist.,És nutricionista. ,He is a nutritionist. ,Usa siya ka nutrisyonista. ,She is a nutritionist. ,她是营养学家。 ,She is a nutritionist. ,她是營養學家。 ,She is a nutritionist. ,Hè nutrizziunista. ,She is a nutritionist. ,Nutricionistica je. ,She's a nutritionist. ,Je odborníkem na výživu. ,He is a nutritionist. ,Hun er ernæringsekspert. ,She is a nutritionist. ,Ze is voedingsdeskundige. ,She is a nutritionist. ,She is a nutritionist. ,She is a nutritionist. ,Ŝi estas nutristino. ,She is a nurse. ,Ta on toitumisspetsialist. ,He is a nutritionist. 
She is an oceanographer.,És oceanògrafa. ,She is an oceanographer. ,Usa siya ka seasographer. ,He is a seasographer. ,她是一名海洋学家。 ,She is an oceanographer. ,她是一名海洋學家。 ,She is an oceanographer. ,Hè oceanografa. ,She is an oceanographer. ,Ona je oceanograf. ,She is an oceanographer. ,Je oceánografkou. ,She is an oceanographer. ,Hun er oceanograf. ,She's an oceanographer. ,Ze is oceanograaf. ,She is an oceanographer. ,She is an oceanographer. ,She is an oceanographer. ,Ŝi estas oceanografo. ,She is an oceanographer. ,Ta on okeanograaf. ,He's an oceanographer. 
She is an osteopath.,És osteòpata. ,She is an osteopath. ,Siya usa ka osteopath. ,He is an osteopath. ,她是骨病患者。 ,She is a bone disease patient. ,她是骨病患者。 ,She is a bone disease patient. ,Hè un osteopata. ,He is an osteopath. ,Ona je osteopat. ,She is an osteopath. ,Je osteopatka. ,She's an osteopath. ,Hun er osteopat. ,She's an osteopath. ,Ze is een osteopaat. ,She is an osteopath. ,She is an osteopath. ,She is an osteopath. ,Ŝi estas osteopato. ,She is an osteopath. ,Ta on osteopaat. ,She is an osteopath. 
She is a painter.,És pintora. ,She is a painter. ,Siya usa ka pintor. ,He is an artist. ,她是画家。 ,She is a painter. ,她是畫家。 ,She is a painter. ,Hè pittore. ,He is a painter. ,Slikarica je. ,She's a painter. ,Je malířka. ,She is a painter. ,Hun er en maler. ,She's a painter. ,Zij is een schilder. ,She is a painter. ,She is a painter. ,She is a painter. ,Ŝi estas pentristino. ,She is a painter. ,Ta on maalikunstnik. ,He is a painter. 
She is a paramedic.,És paramèdica. ,She is paramedic. ,Usa siya ka paramedic. ,He is a paramedic. ,她是护理人员。 ,She is a paramedic. ,她是護理人員。 ,She is a paramedic. ,Hè una paramedica. ,She is a paramedic. ,Ona je bolničar. ,She is a paramedic. ,Je záchranářka. ,She's a lifeguard. ,Hun er paramedicin. ,She's a paramedic. ,Ze is een paramedicus. ,She's a paramedic. ,She is a paramedic. ,She is a paramedic. ,Ŝi estas sukuristo. ,She is a paramedic. ,Ta on sanitar. ,She is a sanitary. 
She is a pathologist.,És patòloga. ,She is a pathologist. ,Usa siya ka pathologist. ,He is a pathologist. ,她是一名病理学家。 ,She is a pathologist. ,她是一名病理學家。 ,She is a pathologist. ,Hè patologa. ,She is pathological. ,Ona je patolog. ,She is a pathologist. ,Je to patologka. ,It's pathology. ,Hun er patolog. ,She's a pathologist. ,Ze is patholoog. ,She's a pathologist. ,She is a pathologist. ,She is a pathologist. ,Ŝi estas patologiisto. ,She is a pathologist. ,Ta on patoloog. ,He is a pathologist. 
She is a pharmacologist.,És farmacòloga. ,She is a pharmacologist. ,Usa siya ka parmasyutiko. ,He is a pharmacist. ,她是一名药剂师。 ,She is a pharmacist. ,她是一名藥劑師。 ,She is a pharmacist. ,Hè farmacologa. ,She is a pharmacologist. ,Ona je farmakolog. ,She is a pharmacologist. ,Je farmakologkou. ,It is pharmacological. ,Hun er farmakolog. ,She's a pharmacologist. ,Ze is farmacoloog. ,She is a pharmacologist. ,She is a pharmacologist. ,She is a pharmacologist. ,Ŝi estas farmakologino. ,She is a pharmacologist. ,Ta on farmakoloog. ,He is a pharmacologist. 
She is a philosopher.,És filòsofa. ,She is a philosopher. ,Usa siya ka pilosopo. ,He was a philosopher. ,她是一个哲学家。 ,She is a philosopher. ,她是一個哲學家。 ,She is a philosopher. ,Hè un filosofu. ,He is a philosopher. ,Ona je filozof. ,She is a philosopher. ,Je filozofkou. ,She is a philosopher. ,Hun er en filosof. ,She is a philosopher. ,Ze is een filosoof. ,She is a philosopher. ,She is a philosopher. ,She is a philosopher. ,Ŝi estas filozofo. ,She is a philosopher. ,Ta on filosoof. ,He is a philosopher. 
She is a photographer.,És fotògrafa. ,She is a photographer. ,Usa siya ka litratista. ,He is a photographer. ,她是一名摄影师。 ,She is a photographer. ,她是一名攝影師。 ,She is a photographer. ,Hè fotògrafa. ,She is a photographer. ,Ona je fotografkinja. ,She is a photographer. ,Je fotografka. ,She is a photographer. ,Hun er fotograf. ,She is a photographer. ,Ze is een fotograaf. ,She is a photographer. ,She is a photographer. ,She is a photographer. ,Ŝi estas fotisto. ,She is a photographer. ,Ta on fotograaf. ,He is a photographer. 
She is a physician assistant.,És ajudant de metge. ,He is an assistant doctor. ,Usa siya ka katabang sa doktor. ,He is a doctor's assistant. ,她是医师助理。 ,She is a physician assistant. ,她是醫師助理。 ,She is a physician assistant. ,Hè un assistente medicu. ,He is a medical assistant. ,Ona je pomoćnica liječnika. ,She is a medical assistant. ,Je asistentkou lékaře. ,She is a doctor's assistant. ,Hun er lægehjælp. ,She is a medical assistant. ,Ze is een arts-assistent. ,She is a physician assistant. ,She is a physician assistant. ,She is a physician assistant. ,Ŝi estas kuracista asistanto. ,She is a medical assistant. ,Ta on arstiabi. ,She has medical care. 
She is a physicist.,És física. ,It's physical. ,Siya usa ka pisiko. ,He is a physicist. ,她是物理学家。 ,She is a physicist. ,她是物理學家。 ,She is a physicist. ,Hè un fisicu. ,He is a physicist. ,Ona je fizičarka. ,She is a physicist. ,Je to fyzička. ,She's a physicist. ,Hun er fysiker. ,She's a physicist. ,Ze is een natuurkundige. ,She is a physicist. ,She is a physicist. ,She is a physicist. ,Ŝi estas fizikisto. ,She is a physicist. ,Ta on füüsik. ,He is a physicist. 
She is a pilot.,És pilot. ,He is a pilot. ,Usa siya ka piloto. ,He is a pilot. ,她是一名飞行员。 ,She is a pilot. ,她是一名飛行員。 ,She is a pilot. ,Hè un pilotu. ,He is a pilot. ,Ona je pilot. ,She's a pilot. ,Je pilotka. ,She's a pilot. ,Hun er pilot. ,She's a pilot. ,Ze is een piloot. ,She's a pilot. ,She is a pilot. ,She is a pilot. ,Ŝi estas piloto. ,She is a pilot. ,Ta on piloot. ,He's a pilot. 
She is a plumber.,És lampista. ,He is a plumber. ,Siya usa ka tubero. ,He is a plumber. ,她是水管工。 ,She is a plumber. ,她是水管工。 ,She is a plumber. ,Hè idraulica. ,It is hydraulic. ,Ona je vodoinstalater. ,She is a plumber. ,Je instalatérka. ,She is a plumber. ,Hun er blikkenslager. ,She's a plumber. ,Ze is loodgieter. ,She's a plumber. ,She is a plumber. ,She is a plumber. ,Ŝi estas tubisto. ,She is a plumber. ,Ta on torulukksepp. ,He's a plumber. 
She is a politician.,És política. ,It's politics. ,Usa siya ka politiko. ,He is a politician. ,她是一名政客。 ,She is a politician. ,她是一名政客。 ,She is a politician. ,Hè un omu puliticu. ,He is a politician. ,Ona je političarka. ,She is a politician. ,Je politička. ,She's a politician. ,Hun er politiker. ,She's a politician. ,Ze is een politica. ,She's a politician. ,She is a politician. ,She is a politician. ,Ŝi estas politikisto. ,She is a politician. ,Ta on poliitik. ,He is a politician. 
She is a receptionist.,És recepcionista. ,He is a receptionist. ,Usa siya ka tigdawat. ,He is a recipient. ,她是接待员。 ,She is a receptionist. ,她是接待員。 ,She is a receptionist. ,Hè una receptionista. ,She is a receptionist. ,Ona je recepcionarka. ,She's a receptionist. ,Je recepční. ,He is a receptionist. ,Hun er receptionist. ,She's a receptionist. ,Ze is receptioniste. ,She's a receptionist. ,She is a receptionist. ,She is a receptionist. ,Ŝi estas akceptisto. ,She is a receptionist. ,Ta on administraator. ,He is an administrator. 
She is a registered nurse.,És infermera registrada. ,She is a registered nurse. ,Usa siya ka rehistradong nars. ,She is a registered nurse. ,她是一名注册护士。 ,She is a registered nurse. ,她是一名註冊護士。 ,She is a registered nurse. ,Hè una infirmiera registrata. ,She is a registered nurse. ,Ona je registrirana medicinska sestra. ,She is a registered nurse. ,Je registrovanou zdravotní sestrou. ,She is a registered nurse. ,Hun er uddannet sygeplejerske. ,She is a trained nurse. ,Ze is een geregistreerde verpleegster. ,She is a registered nurse. ,She is a registered nurse. ,She is a registered nurse. ,Ŝi estas registrita flegistino. ,She is a registered nurse. ,Ta on registreeritud õde. ,She is a registered nurse. 
She is a salesman.,És venedora. ,She is a saleswoman. ,Usa siya ka salesman. ,He is a salesman. ,她是推销员。 ,She is a salesman. ,她是推銷員。 ,She is a salesman. ,Hè un vinditore. ,He is a salesman. ,Ona je prodavač. ,She's a saleswoman. ,Je prodavačka. ,She is a saleswoman. ,Hun er sælger. ,She's a saleswoman. ,Ze is een verkoper. ,She's a salesman. ,She is a salesman. ,She is a salesman. ,Ŝi estas vendistino. ,She is a saleswoman. ,Ta on müügimees. ,He's a salesman. 
She is a salesperson.,És venedora. ,She is a saleswoman. ,Usa siya ka salesperson. ,He is a salesperson. ,她是一个销售员。 ,She is a salesperson. ,她是一個銷售員。 ,She is a salesperson. ,Hè vendeurista. ,He is a salesman. ,Ona je prodavač. ,She's a saleswoman. ,Je prodejkyní. ,She is a saleswoman. ,Hun er sælger. ,She's a saleswoman. ,Ze is een verkoper. ,She's a salesman. ,She is a salesperson. ,She is a salesperson. ,Ŝi estas vendistino. ,She is a saleswoman. ,Ta on müüja. ,He is a salesman. 
She is a scientist.,És una científica. ,She is a scientist. ,Siyentista siya. ,He is a scientist. ,她是一位科学家。 ,She is a scientist. ,她是一位科學家。 ,She is a scientist. ,Hè un scientistu. ,He is a scientist. ,Ona je znanstvenica. ,She is a scientist. ,Je to vědec. ,He's a scientist. ,Hun er videnskabsmand. ,She is a scientist. ,Ze is een wetenschapper. ,She's a scientist. ,She is a scientist. ,She is a scientist. ,Ŝi estas sciencisto. ,She is a scientist. ,Ta on teadlane. ,He is a scientist. 
She is a sea captain.,És capità de mar. ,He is a sea captain. ,Usa siya ka kapitan sa dagat. ,He was a sea captain. ,她是一名船长。 ,She is a captain. ,她是一名船長。 ,She is a captain. ,Hè un capitanu di mare. ,He is a sea captain. ,Ona je pomorski kapetan. ,She is a naval captain. ,Je námořní kapitánkou. ,She's a sea captain. ,Hun er havkaptajn. ,She's a sea captain. ,Ze is een zeekapitein. ,She is a sea captain. ,She is a sea captain. ,She is a sea captain. ,Ŝi estas ŝipkapitano. ,She is a ship's captain. ,Ta on merekapten. ,He's a sea captain. 
She is a secretary.,És secretària. ,She is a secretary. ,Sekretaryo siya. ,He is the secretary. ,她是一个秘书。 ,She is a secretary. ,她是一個秘書。 ,She is a secretary. ,Hè una secretaria. ,She is a secretary. ,Ona je tajnica. ,She's a secretary. ,Je sekretářka. ,She's a secretary. ,Hun er sekretær. ,She's a secretary. ,Zij is een secretaresse. ,She is a secretary. ,She is a secretary. ,She is a secretary. ,Ŝi estas sekretariino. ,She is a secretary. ,Ta on sekretär. ,He is a secretary. 
She is a singer.,És cantant. ,He is a singer. ,Usa siya ka mag-aawit. ,He is a singer. ,她是一名歌手。 ,She is a singer. ,她是一名歌手。 ,She is a singer. ,Hè cantante. ,She is a singer. ,Ona je pjevačica. ,She is a singer. ,Ona je zpěvačka. ,She is a singer. ,Hun er en sanger. ,She is a singer. ,Ze is een zangeres. ,She is a singer. ,She is a singer. ,She is a singer. ,Ŝi estas kantistino. ,She is a singer. ,Ta on laulja. ,She is a singer. 
She is a solicitor.,És advocada. ,She is a lawyer. ,Usa siya ka abogado. ,He is a lawyer. ,她是一名律师。 ,She is a lawyer. ,她是一名律師。 ,She is a lawyer. ,Hè un avvucatu. ,He is a lawyer. ,Ona je odvjetnik. ,She is a lawyer. ,Je advokátkou. ,She is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ze is een advocaat. ,She's a lawyer. ,She is a solicitor. ,She is a solicitor. ,Ŝi estas advokato. ,She is a lawyer. ,Ta on advokaat. ,He is a lawyer. 
She is a speech pathologist.,És logopeda. ,She is a speech therapist. ,Usa siya ka speech pathologist. ,He is a speech pathologist. ,她是言语病理学家。 ,She is a speech pathologist. ,她是言語病理學家。 ,She is a speech pathologist. ,Hè un patologu di a parolla. ,He is a pathologist of the word. ,Ona je logoped. ,She is a speech therapist. ,Je řečovou patologkou. ,She is a speech pathologist. ,Hun er en talepatolog. ,She is a speech pathologist. ,Ze is een spraakpatholoog. ,She is a speech pathologist. ,She is a speech pathologist. ,She is a speech pathologist. ,Ŝi estas parolpatologiisto. ,She is a speech pathologist. ,Ta on kõnepatoloog. ,He is a speech pathologist. 
She is a speech-language pathologist.,És patòloga del llenguatge. ,She is a language pathologist. ,Siya usa ka pathologist sa sinultian sa sinultian. ,He is a pathologist in speech therapy. ,她是言语病理学家。 ,She is a speech pathologist. ,她是言語病理學家。 ,She is a speech pathologist. ,Hè un patologu di linguaghju. ,He is a language pathologist. ,Ona je patolog govornog jezika. ,She is a pathologist of spoken language. ,Je patologkou řeči. ,It's pathological speech. ,Hun er tale-sprog patolog. ,She is a speech-language pathologist. ,Ze is een logopediste. ,She is a speech therapist. ,She is a speech-language pathologist. ,She is a speech-language pathologist. ,Ŝi estas paroladlingva patologiisto. ,She is a speech pathologist. ,Ta on kõnekeelne patoloog. ,He is a colloquial pathologist. 
She is a statistician.,És estadística. ,It's a statistic. ,Siya usa ka istatistika. ,He is a statistician. ,她是统计学家。 ,She is a statistician. ,她是統計學家。 ,She is a statistician. ,Hè statisticista. ,He is a statistician. ,Ona je statističarka. ,She is a statistician. ,Je statistička. ,She's a statistician. ,Hun er statistiker. ,She's a statistician. ,Ze is statisticus. ,She's a statistician. ,She is a statistician. ,She is a statistician. ,Ŝi estas statistikisto. ,She is a statistician. ,Ta on statistik. ,He is a statistician. 
She is a surveyor.,És agrimensora. ,She is a surveyor. ,Usa siya ka surveyor. ,He is a surveyor. ,她是测量师。 ,She is a surveyor. ,她是測量師。 ,She is a surveyor. ,Hè un topografu. ,He is a surveyor. ,Ona je geodet. ,She is a surveyor. ,Je geodetkou. ,She is a surveyor. ,Hun er landmåler. ,She is a surveyor. ,Ze is een landmeter. ,She is a surveyor. ,She is a surveyor. ,She is a surveyor. ,Ŝi estas geodeziisto. ,She is a surveyor. ,Ta on maamõõtja. ,He is a surveyor. 
She is a therapist.,És terapeuta. ,She is a therapist. ,Usa siya ka therapist. ,She is a therapist. ,她是一名治疗师。 ,She is a therapist. ,她是一名治療師。 ,She is a therapist. ,Hè un terapeuta. ,He is a therapist. ,Ona je terapeut. ,She is a therapist. ,Je terapeutka. ,She is a therapist. ,Hun er terapeut. ,She's a therapist. ,Ze is een therapeut. ,She is a therapist. ,She is a therapist. ,She is a therapist. ,Ŝi estas terapiisto. ,She is a therapist. ,Ta on terapeut. ,She is a therapist. 
She is an undertaker.,És una funerària. ,It's a funeral home. ,Usa siya ka undertaker. ,He is an undertaker. ,她是一个承办人。 ,She is an undertaker. ,她是一個承辦人。 ,She is an undertaker. ,Hè un funerale. ,It’s a funeral. ,Ona je pogrebnik. ,She is an undertaker. ,Je pohřební. ,It's funeral. ,Hun er en begravelsesmand. ,She's a funeral director. ,Ze is een begrafenisondernemer. ,She's a funeral director. ,She is an undertaker. ,She is an undertaker. ,Ŝi estas enterigisto. ,She is an undertaker. ,Ta on matusemees. ,He is a funeral director. 
She is an urban planner.,És urbanista. ,He is an urban planner. ,Usa siya nga taglaraw sa kasyudaran. ,He was an urban figure. ,她是一名城市规划师。 ,She is an urban planner. ,她是一名城市規劃師。 ,She is an urban planner. ,Hè un urbanista. ,He is an urban planner. ,Ona je urbanist. ,She is an urbanist. ,Je urbanistkou. ,She is an urban planner. ,Hun er byplanlægger. ,She's a city planner. ,Ze is stedenbouwkundige. ,She is an urban planner. ,She is an urban planner. ,She is an urban planner. ,Ŝi estas urba planisto. ,She is an urban planner. ,Ta on linnaplaneerija. ,He is an urban planner. 
She is a videographer.,És videògrafa. ,She is a videographer. ,Usa siya ka videographer. ,He is a videographer. ,她是一名摄影师。 ,She is a photographer. ,她是一名攝影師。 ,She is a photographer. ,Hè videografa. ,She is a videographer. ,Ona je videograf. ,She is a videographer. ,Je kameramankou. ,She is a cameraman. ,Hun er videograf. ,She is a videographer. ,Ze is een videograaf. ,She is a videographer. ,She is a videographer. ,She is a videographer. ,Ŝi estas videografer. ,She is a videographer. ,Ta on videograaf. ,He is a videographer. 
She is a virologist.,És viròloga. ,She is a virologist. ,Usa siya ka virologist. ,He is a virologist. ,她是病毒学家。 ,She is a virologist. ,她是病毒學家。 ,She is a virologist. ,Hè virologa. ,She is a virologist. ,Ona je virolog. ,She is a virologist. ,Je virologička. ,She is a virologist. ,Hun er virolog. ,She's a virologist. ,Ze is een viroloog. ,She's a virologist. ,She is a virologist. ,She is a virologist. ,Ŝi estas virusologo. ,She is a virologist. ,Ta on viroloog. ,He's a virologist. 
She is a visual artist.,És una artista visual. ,She is a visual artist. ,Usa siya ka visual artist. ,He is a visual artist. ,她是一位视觉艺术家。 ,She is a visual artist. ,她是一位視覺藝術家。 ,She is a visual artist. ,Hè un artista visuale. ,He is a visual artist. ,Vizualna je umjetnica. ,She is a visual artist. ,Je vizuální umělkyní. ,She is a visual artist. ,Hun er billedkunstner. ,She is a visual artist. ,Ze is een beeldend kunstenaar. ,She is a visual artist. ,She is a visual artist. ,She is a visual artist. ,Ŝi estas bildartisto. ,She is a visual artist. ,Ta on visuaalkunstnik. ,He is a visual artist. 
She is a waiter.,És cambrera. ,She is a waitress. ,Waiter siya. ,He is a waiter. ,她是服务生。 ,She is a waiter. ,她是服務生。 ,She is a waiter. ,Hè un servitore. ,He is a servant. ,Ona je konobar. ,She's a waiter. ,Je číšník. ,He's a waiter. ,Hun er tjener. ,She is a servant. ,Ze is een ober. ,She's a waiter. ,She is a waiter. ,She is a waiter. ,Ŝi estas kelnero. ,She is a waiter. ,Ta on kelner. ,She's a waiter. 
She is a web designer.,És dissenyadora web. ,She is a web designer. ,Siya usa ka web designer. ,She is a web designer. ,她是一名网页设计师。 ,She is a web designer. ,她是一名網頁設計師。 ,She is a web designer. ,Hè un web designer. ,He is a web designer. ,Web je dizajnerica. ,Web is a designer. ,Je webová designérka. ,She is a web designer. ,Hun er en webdesigner. ,She is a web designer. ,Ze is een webdesigner. ,She is a web designer. ,She is a web designer. ,She is a web designer. ,Ŝi estas interreta projektisto. ,She is an internet designer. ,Ta on veebidisainer. ,She is a web designer. 
She is a web developer.,És desenvolupadora web. ,She is a web developer. ,Siya usa ka web developer. ,He is a web developer. ,她是一名网络开发人员。 ,She is a web developer. ,她是一名網絡開發人員。 ,She is a web developer. ,Hè un sviluppatore web. ,He is a web developer. ,Web je programerica. ,The web is a programmer. ,Je webová vývojářka. ,She is a web developer. ,Hun er en webudvikler. ,She is a web developer. ,Ze is een webontwikkelaar. ,She is a web developer. ,She is a web developer. ,She is a web developer. ,Ŝi estas interreta programisto. ,She is an internet programmer. ,Ta on veebiarendaja. ,He is a web developer. 
She is a zoologist.,És zoòloga. ,She is a zoologist. ,Usa siya ka zoologist. ,He is a zoologist. ,她是动物学家。 ,She is a zoologist. ,她是動物學家。 ,She is a zoologist. ,Hè zoologa. ,She is a zoologist. ,Ona je zoolog. ,She is a zoologist. ,Je zoologkou. ,She is a zoologist. ,Hun er en zoolog. ,She's a zoologist. ,Ze is een zoöloog. ,She is a zoologist. ,She is a zoologist. ,She is a zoologist. ,Ŝi estas zoologo. ,She is a zoologist. ,Ta on zooloog. ,He's a zoologist. 
