original,En2Khmer,Khmer2En,En2Kinyarwanda,Kinyarwanda2En,En2Korean,Korean2En,En2Kurdish,Kurdish2En,En2Kyrgyz,Kyrgyz2En,En2Lao,Lao2En,En2Latin,Latin2En,En2Latvian,Latvian2En,En2Lithuanian,Lithuanian2En,En2Luxembourgish,Luxembourgish2En,En2Macedonian,Macedonian2En
She is an advocate.,នាងគឺជាអ្នកតស៊ូមតិ។ ,She is an advocate. ,Ni umwunganira. ,He is a lawyer. ,그녀는 옹호자입니다. ,She is an advocate. ,Ew parêzer e. ,He is a lawyer. ,Ал адвокат. ,He is a lawyer. ,ນາງເປັນຜູ້ສະ ໜັບ ສະ ໜູນ. ,She is a shuffler. ,Est in patronum . ,A patron . ,Viņa ir advokāte. ,She is a lawyer. ,Ji yra advokatė. ,She is a lawyer. ,Si ass en Affekot. ,She's a lawyer. ,Таа е застапник. ,She is an advocate. 
She is an agriculturist.,នាងជាអ្នកកសិកម្ម។ ,She is a farmer. ,Ni umuhinzi. ,He is a farmer. ,그녀는 농업가입니다. ,She is a farmer. ,Ew çandinî ye. ,It is agricultural. ,Ал айыл чарба адиси. ,He is an agricultural specialist. ,ນາງເປັນນັກກະເສດ. ,She is a farmer. ,Et quod arator est. ,He is an agriculturist. ,Viņa ir lauksaimniece. ,She is a farmer. ,Ji yra žemės ūkio specialistė. ,She is an agricultural specialist. ,Si ass Landwirtschaft. ,She is farming. ,Таа е земјоделски работник. ,She is an agricultural worker. 
She is an aircraft pilot.,នាងគឺជាអ្នកបើកយន្ដហោះ។ ,She is a pilot. ,Ni umuderevu w'indege. ,He is a pilot. ,그녀는 항공기 조종사입니다. ,She is an aircraft pilot. ,Ew pîlotek balafirê ye. ,He is an airplane pilot. ,Ал учкуч. ,He is a pilot. ,ນາງແມ່ນນັກບິນເຮືອບິນ. ,She is an airplane pilot. ,Quæ est gubernator elit . ,What is pilot areas. ,Viņa ir lidmašīnas pilote. ,She is an airplane pilot. ,Ji yra orlaivio pilotė. ,She is an aircraft pilot. ,Si ass e Fligerpilot. ,She's an airplane pilot. ,Таа е пилот на авион. ,She is an airplane pilot. 
She is an artist.,នាងគឺជាសិល្បករ។ ,She is an artist. ,Ni umuhanzi. ,He is an artist. ,그녀는 예술가입니다. ,She is an artist. ,Ew hunermendek e. ,He is an artist. ,Ал сүрөтчү. ,He was an artist. ,ນາງແມ່ນນັກສິລະປິນ. ,She is an artist. ,Illa est artifex . ,She is an artist . ,Viņa ir māksliniece. ,She is an artist. ,Ji yra menininkė. ,She is an artist. ,Si ass eng Kënschtlerin. ,She is an artist. ,Таа е уметник. ,She is an artist. 
She is an astronomer.,នាងជាតារាវិទូ។ ,She is an astronomer. ,Ni umuhanga mu bumenyi bw'ikirere. ,He is a meteorologist. ,그녀는 천문학 자입니다. ,She is an astronomer. ,Ew stêrnasek e. ,He is an astronomer. ,Ал астроном. ,He is an astronomer. ,ນາງແມ່ນນັກດາລາສາດ. ,She is an astronomer. ,Ea autem astrologus. ,She is an astronomer. ,Viņa ir astronome. ,She is an astronomer. ,Ji yra astronomė. ,She is an astronomer. ,Si ass en Astronom. ,She is an astronomer. ,Таа е астроном. ,She is an astronomer. 
She is an attorney.,នាងគឺជាមេធាវី។ ,She is a lawyer. ,Ni umunyamategeko. ,He is a lawyer. ,그녀는 변호사입니다. ,She is a lawyer. ,Ew parêzer e. ,He is a lawyer. ,Ал адвокат. ,He is a lawyer. ,ນາງເປັນທະນາຍຄວາມ. ,She is a lawyer. ,Et attornatus est . ,The attorney said. ,Viņa ir advokāte. ,She is a lawyer. ,Ji yra advokatė. ,She is a lawyer. ,Si ass en Affekot. ,She's a lawyer. ,Таа е адвокат. ,She is a lawyer. 
She is an audiologist.,នាងគឺជាអ្នកជំនាញខាងសោតទស្សន៍។ ,She is an audio-visual expert. ,Ni umuhanga mu majwi. ,He is an expert in sound. ,그녀는 청력 학자입니다. ,She is an audiologist. ,Ew audiolojîstek e. ,He is an audiologist. ,Ал аудиолог. ,And an audiologist. ,ນາງເປັນນັກຂຽນສຽງ. ,She is a vocalist. ,Et Audiologist est . ,The Audiologist it. ,Viņa ir audioloģe. ,She is an audiologist. ,Ji yra audiologė. ,She is an audiologist. ,Si ass en Audiolog. ,She is an audiologist. ,Таа е аудиолог. ,She is an audiologist. 
She is a banker.,នាងជាធនាគារិក។ ,She is a banker. ,Ni umunyamabanki. ,He is a banker. ,그녀는 은행가입니다. ,She is a banker. ,Ew bankir e. ,He is a banker. ,Ал банкир. ,He is a banker. ,ນາງເປັນນັກທະນາຄານ. ,She is a banker. ,Ea argentariam non ignobilem fecit . ,She is a banker . ,Viņa ir baņķieris. ,She is a banker. ,Ji yra bankininkė. ,She is a banker. ,Si ass e Banquier. ,She's a banker. ,Таа е банкар. ,She is a banker. 
She is a barber.,នាងគឺជាជាងកាត់សក់។ ,She is a barber. ,Ni umusatsi. ,It's hairy. ,그녀는 이발사입니다. ,She is a barber. ,Ew berber e. ,He is a barber. ,Ал чачтарач. ,She is a barber. ,ນາງແມ່ນຊ່າງຕັດຜົມ. ,She is a barber. ,Ea tonsorem . ,She is a barber . ,Viņa ir frizētava. ,She is a hairdresser. ,Ji yra kirpėja. ,She is a hairdresser. ,Si ass e Barber. ,She's a barber. ,Таа е берберка. ,She is a barber. 
She is a bartender.,នាងគឺជាអ្នកក្រឡុកស្រា។ ,She is a bartender. ,Ni akabari. ,It is akabari. ,그녀는 바텐더입니다. ,She is a bartender. ,Ew barbar e. ,He is a barbarian. ,Ал бармен. ,And the bartender. ,ນາງແມ່ນຜູ້ທີ່ເປັນປັອກບາ. ,She is a Pokémon. ,Ea enim minister. ,She was a minister. ,Viņa ir bārmene. ,She is a bartender. ,Ji yra barmenė. ,She is a bartender. ,Si ass eng Barmanin. ,She's a bartender. ,Таа е шанкерка. ,She is a bartender. 
She is a biologist.,នាងគឺជាអ្នកជីវវិទូ។ ,She is a biologist. ,Ni umuhanga mu binyabuzima. ,He is a biologist. ,그녀는 생물 학자입니다. ,She is a biologist. ,Ew biyolojîst e. ,He is a biologist. ,Ал биолог. ,He is a biologist. ,ນາງເປັນນັກຊີວະວິທະຍາ. ,She is a biologist. ,Ea est biologus . ,She is a biologist . ,Viņa ir biologe. ,She is a biologist. ,Ji yra biologė. ,She is a biologist. ,Si ass Biologin. ,She is a biologist. ,Таа е биолог. ,She is a biologist. 
She is a bookkeeper.,នាងគឺជាអ្នកថែរក្សាសៀវភៅ។ ,She is a bookkeeper. ,Ni umubitsi. ,He is a treasurer. ,그녀는 회계사입니다. ,She is an accountant. ,Ew pirtûkfiroş e. ,He is a bookseller. ,Ал бухгалтер. ,He is an accountant. ,ນາງເປັນນັກຂຽນປື້ມ. ,She is a book writer. ,TABULARIUS est . ,The bookkeeper . ,Viņa ir grāmatvede. ,She is an accountant. ,Ji yra buhalterė. ,She is an accountant. ,Si ass e Buchhär. ,She is a bookkeeper. ,Таа е книговодител. ,She is a bookkeeper. 
She is a botanist.,នាងគឺជាអ្នកជំនាញខាងរុក្ខសាស្ត្រ។ ,She is a botanist. ,Ni umuhanga mu bimera. ,She is a botanist. ,그녀는 식물 학자입니다. ,She is a botanist. ,Ew botanîstan e. ,It is botanical. ,Ал ботаник. ,He is a botanist. ,ນາງແມ່ນນັກວິທະຍາສາດ. ,She is a scientist. ,Et botanicorum est . ,The botanists it. ,Viņa ir botāniķe. ,She is a botanist. ,Ji yra botanikė. ,She is a botanist. ,Si ass Botanikerin. ,She is a botanist. ,Таа е ботаничарка. ,She is a botanist. 
She is a builder.,នាងគឺជាអ្នកសាងសង់។ ,She is a builder. ,Ni umwubatsi. ,He is a builder. ,그녀는 건축업자입니다. ,She is a builder. ,Ew avakar e. ,He is a builder. ,Ал куруучу. ,He is a builder. ,ນາງເປັນຜູ້ກໍ່ສ້າງ. ,She is a builder. ,Illa est artifex . ,She is an artist . ,Viņa ir celtniece. ,She is a builder. ,Ji yra statybininkė. ,She is a builder. ,Si ass e Builder. ,She's a builder. ,Таа е градежник. ,She is a builder. 
She is a businessperson.,នាងគឺជាអ្នកជំនួញម្នាក់។ ,She is a businessman. ,Ni umucuruzi. ,He is a businessman. ,그녀는 사업가입니다. ,She is a businesswoman. ,Ew karsaziyek e. ,It is a business. ,Ал ишкер. ,He is an entrepreneur. ,ນາງແມ່ນນັກທຸລະກິດ. ,She is a businessman. ,Ea est businessperson . ,She is a businessperson . ,Viņa ir uzņēmēja. ,She is an entrepreneur. ,Ji yra verslininkė. ,She is an entrepreneur. ,Si ass e Geschäftsmann. ,She is a businessman. ,Таа е деловна личност. ,She is a business person. 
She is a butcher.,នាងគឺជាអ្នកសម្លាប់សត្វ។ ,She is an animal killer. ,Ni umwicanyi. ,He is a murderer. ,그녀는 정육점입니다. ,She is a butcher shop. ,Ew qesab e. ,He is a butcher. ,Ал касапчы. ,He is a butcher. ,ນາງເປັນຜູ້ຂ້າສັດ. ,She is a butcher. ,In macello est . ,In the grocery store. ,Viņa ir miesniece. ,She is a butcher. ,Ji yra mėsinė. ,She is meaty. ,Si ass Metzler. ,She is a butcher. ,Таа е касап. ,She is a butcher. 
She is a carpenter.,នាងជាជាងឈើ។ ,She is a carpenter. ,Ni umubaji. ,He is a carpenter. ,그녀는 목수입니다. ,She is a carpenter. ,Ew xerîbker e. ,He is a stranger. ,Ал жыгач уста. ,He is a carpenter. ,ນາງເປັນຊ່າງໄມ້. ,She is a carpenter. ,Est fabri lignarii. ,A carpenter. ,Viņa ir galdniece. ,She is a carpenter. ,Ji yra stalius. ,She is a carpenter. ,Si ass e Schräiner. ,She's a carpenter. ,Таа е столар. ,She is a carpenter. 
She is a cashier.,នាងគឺជាអ្នកគិតលុយ។ ,She is a cashier. ,Ni umucungamari. ,He is an accountant. ,그녀는 계산원입니다. ,She is the cashier. ,Ew kaşker e. ,He is a cashier. ,Ал кассир. ,He is a cashier. ,ນາງເປັນຜູ້ເກັບເງິນ. ,She is a cashier. ,CONLECTARIUS est . ,Cashier it. ,Viņa ir kasiere. ,She is a cashier. ,Ji yra kasininkė. ,She is a cashier. ,Si ass Caissier. ,She's a cashier. ,Таа е касиерка. ,She is a cashier. 
She is a chef.,នាងគឺជាចុងភៅ។ ,She is a chef. ,Ni umutetsi. ,He is a cook. ,그녀는 요리사입니다. ,She is a cook. ,Ew aşpêj e. ,She is a cook. ,Ал ашпозчу. ,She was a cook. ,ນາງເປັນພໍ່ຄົວ. ,She is a cook. ,Est illa chef. ,It is the chef. ,Viņa ir pavāre. ,She is a cook. ,Ji yra virėja. ,She is a chef. ,Si ass e Kach. ,She's a cook. ,Таа е готвач. ,She is a cook. 
She is a chemist.,នាងគឺជាអ្នកគីមីវិទ្យា។ ,She is a chemist. ,Ni umuhanga mu by'imiti. ,He is a chemist. ,그녀는 화학자입니다. ,She is a chemist. ,Ew kîmyager e. ,He is a chemist. ,Ал химик. ,He is a chemist. ,ນາງແມ່ນນັກເຄມີສາດ. ,She is a chemist. ,Ea est PHARMACOPOLA . ,She is a pharmacist. ,Viņa ir ķīmiķe. ,She is a chemist. ,Ji yra chemikė. ,She is a chemist. ,Si ass Chemiker. ,She is a chemist. ,Таа е хемичар. ,She is a chemist. 
She is a clergy advisor.,នាងជាទីប្រឹក្សាបព្វជិត។ ,She was a clergyman. ,Ni umujyanama w'abapadiri. ,He is a councilor of priests. ,그녀는 성직자 고문입니다. ,She is a clergy advisor. ,Ew şêwirmendê dînîtiyê ye. ,He is a religious counselor. ,Ал диний кеңешчи. ,He is a religious counselor. ,ນາງເປັນທີ່ປຶກສາພະສົງ. ,She is a monk adviser. ,Est clericos a Consiliario . ,The clerk advisor . ,Viņa ir garīdznieku padomniece. ,She is an adviser to the clergy. ,Ji yra dvasininkų patarėja. ,She is a counselor to the clergy. ,Si ass Klerusberoder. ,She is a clergy consultant. ,Таа е советник за свештенство. ,She is a priestly counselor. 
She is a clinical lab technician.,នាងគឺជាអ្នកបច្ចេកទេសមន្ទីរពិសោធន៍ព្យាបាល។ ,She is a clinical laboratory technician. ,Ni umutekinisiye wa laboratoire. ,He is a laboratory technician. ,그녀는 임상 실험실 기술자입니다. ,She is a clinical laboratory technician. ,Ew teknîsyenek laboratuwara klînîkî ye. ,He is a clinical laboratory technician. ,Ал клиникалык лаборант. ,He is a clinical laboratory assistant. ,ນາງເປັນນັກວິຊາການຫ້ອງທົດລອງທາງດ້ານການຊ່ວຍ. ,She is a clinical laboratory technician. ,Lab orci a est TECHNICUS. ,Is a clinical lab technician. ,Viņa ir klīniskā laboratorijas tehniķe. ,She is a clinical laboratory technician. ,Ji yra klinikinė laboratorijos technikė. ,She is a clinical laboratory technician. ,Si ass e klineschen Labotechniker. ,She is a clinical laboratory technician. ,Таа е техничар за клиничка лабораторија. ,She is a clinical laboratory technician. 
She is a coach.,នាងគឺជាគ្រូបង្វឹក។ ,She is a coach. ,Ni umutoza. ,He is a coach. ,그녀는 코치입니다. ,She is a coach. ,Ew rahêner e. ,He is a coach. ,Ал машыктыруучу. ,He is a coach. ,ນາງເປັນຄູຝຶກສອນ. ,She is a coach. ,A raeda est . ,From the car. ,Viņa ir trenere. ,She is a coach. ,Ji yra trenerė. ,She is a coach. ,Si ass en Trainer. ,She is a coach. ,Таа е тренер. ,She is a coach. 
She is a developer.,នាងគឺជាអ្នកអភិវឌ្ឍន៍។ ,She is a developer. ,Ni umuterimbere. ,It is progressive. ,그녀는 개발자입니다. ,She is a developer. ,Ew pêşvebirek e. ,He is a developer. ,Ал иштеп чыгуучу. ,He is a developer. ,ນາງເປັນຜູ້ພັດທະນາ. ,She is a developer. ,Ea est elit . ,She is the developer . ,Viņa ir attīstītāja. ,She is a developer. ,Ji yra kūrėja. ,She is a developer. ,Si ass en Entwéckler. ,She is a developer. ,Таа е развивач. ,She is a developer. 
She is a dietitian.,នាងគឺជាអ្នកចំណីអាហារ។ ,She is a foodie. ,Ni umuganga w'imirire. ,He is a nutritionist. ,그녀는 영양사입니다. ,She is a nutritionist. ,Ew parêzvanek parêzê ye. ,He is a lawyer advocate. ,Ал диетолог. ,He is a nutritionist. ,ນາງເປັນນັກອາຫານການກິນ. ,She is a foodie. ,Est a dietitian . ,There is a dietitian . ,Viņa ir diētas ārste. ,She is a dietician. ,Ji yra dietologė. ,She is a nutritionist. ,Si ass eng Diététicienne. ,She is a dietitian. ,Таа е диететичарка. ,She is a dietitian. 
She is an ecologist.,នាងគឺជាអ្នកបរិស្ថានវិទ្យា។ ,She is an ecologist. ,Ni ibidukikije. ,It’s the environment. ,그녀는 생태 학자입니다. ,She is an ecologist. ,Ew ekolojîst e. ,He is an ecologist. ,Ал эколог. ,He is an ecologist. ,ນາງເປັນນັກນິເວດວິທະຍາ. ,She is an ecologist. ,Et ecologist est . ,The ecologist said. ,Viņa ir ekoloģe. ,She is an ecologist. ,Ji yra ekologė. ,She is an ecologist. ,Si ass en Ökolog. ,She is an ecologist. ,Таа е екологистка. ,She is an environmentalist. 
She is an editor.,នាងជានិពន្ធនាយក។ ,She is the editor. ,Ni umwanditsi. ,He is a writer. ,그녀는 편집자입니다. ,She is an editor. ,Ew edîtor e. ,He is an editor. ,Ал редактор. ,He is an editor. ,ນາງເປັນບັນນາທິການ. ,She is an editor. ,Poetarum editor est . ,The editor . ,Viņa ir redaktore. ,She is an editor. ,Ji yra redaktorė. ,She is an editor. ,Si ass Editeur. ,She is an editor. ,Таа е уредник. ,She is an editor. 
She is an electrician.,នាងជាជាងអគ្គិសនី។ ,She is an electrician. ,Ni amashanyarazi. ,It is electricity. ,그녀는 전기 기사입니다. ,She is an electrician. ,Ew kehrebayek e. ,It is electricity. ,Ал электрик. ,He is an electrician. ,ນາງເປັນຊ່າງໄຟຟ້າ. ,She is an electrician. ,Ea electrician . ,She electrician. ,Viņa ir elektriķe. ,She is an electrician. ,Ji yra elektrikė. ,She is an electrician. ,Si ass en Elektriker. ,She is an electrician. ,Таа е електричар. ,She is an electrician. 
She is an EMT specialist.,នាងគឺជាអ្នកឯកទេសអ៊ីអឹមធី។ ,She is an EMT specialist. ,Ni inzobere ya EMT. ,He is an EMT specialist. ,그녀는 EMT 전문가입니다. ,She is an EMT expert. ,Ew pisporek EMT ye. ,He is an EMT specialist. ,Ал EMT адиси. ,He is an EMT specialist. ,ນາງເປັນຜູ້ຊ່ຽວຊານດ້ານ EMT. ,She is an EMT specialist. ,EMT illa est artifex. ,EMT is a specialist. ,Viņa ir EMT speciāliste. ,She is an EMT specialist. ,Ji yra EMT specialistė. ,She is an EMT specialist. ,Si ass en EMT Spezialist. ,She is an EMT specialist. ,Таа е специјалист по ЕМТ. ,She is an EMT specialist. 
She is a farmer.,នាងគឺជាកសិករ។ ,She is a farmer. ,Ni umuhinzi. ,He is a farmer. ,그녀는 농부입니다. ,She is a farmer. ,Ew cotkar e. ,He is a farmer. ,Ал дыйкан. ,He is a farmer. ,ນາງເປັນຊາວນາ. ,She is a farmer. ,Illa est agricolae . ,She is a farmer . ,Viņa ir zemniece. ,She is a farmer. ,Ji yra ūkininkė. ,She is a farmer. ,Si ass e Bauer. ,She is a farmer. ,Таа е земјоделец. ,She is a farmer. 
She is a filmmaker.,នាងគឺជាអ្នកផលិតខ្សែភាពយន្ត។ ,She is a filmmaker. ,Ni umukinnyi wa firime. ,He is a film actor. ,그녀는 영화 제작자입니다. ,She is a filmmaker. ,Ew fîlimçêker e. ,He is a filmmaker. ,Ал кинорежиссер. ,He is a film director. ,ນາງເປັນນັກສ້າງຮູບເງົາ. ,She is a filmmaker. ,Ea est filmmaker. ,She is a filmmaker. ,Viņa ir filmu veidotāja. ,She is a filmmaker. ,Ji yra kino kūrėja. ,She is a filmmaker. ,Si ass e Filmemacher. ,She is a filmmaker. ,Таа е режисер. ,She is a director. 
She is a firefighter.,នាងគឺជាអ្នកពន្លត់អគ្គីភ័យ។ ,She is a firefighter. ,Ni inkongi y'umuriro. ,It is a fire. ,그녀는 소방관입니다. ,She is a firefighter. ,Ew agirkujek e. ,It is a fire. ,Ал өрт өчүргүч. ,He is a firefighter. ,ນາງແມ່ນນັກດັບເພີງ. ,She is a firefighter. ,Ea est firefighter . ,She is a firefighter. ,Viņa ir ugunsdzēsēja. ,She is a firefighter. ,Ji yra gaisrininkė. ,She is a firefighter. ,Si ass e Pompjee. ,She's a firefighter. ,Таа е пожарникар. ,She is a firefighter. 
She is a fisherman.,នាងជាអ្នកនេសាទ។ ,She is a fisherman. ,Ni umurobyi. ,He is a fisherman. ,그녀는 어부입니다. ,She is a fisherman. ,Ew masîvanek e. ,He is a fisherman. ,Ал балыкчы. ,He is a fisherman. ,ນາງເປັນຊາວປະມົງ. ,She is a fisherman. ,Ea piscatoris. ,She fisherman. ,Viņa ir zvejniece. ,She is a fisherman. ,Ji yra žvejys. ,She is a fisherman. ,Si ass e Fëscher. ,She's a fisherman. ,Таа е рибар. ,She is a fisherman. 
She is a flight attendant.,នាងគឺជាអ្នកបម្រើតាមយន្តហោះ។ ,She is a flight attendant. ,Ni umukozi w'indege. ,He is a flight attendant. ,그녀는 승무원입니다. ,She is a flight attendant. ,Ew karmendê firînê ye. ,He is a flight attendant. ,Ал стюардесса. ,She is a stewardess. ,ນາງເປັນພະນັກງານບິນ. ,She is a flight attendant. ,Ea fuga a ministerio. ,She is a flight attendant. ,Viņa ir stjuarte. ,She is a flight attendant. ,Ji yra stiuardesė. ,She is a flight attendant. ,Si ass e Fluch Begleetpersoun. ,She is a flight attendant. ,Таа е стјуардеса. ,She is a flight attendant. 
She is a geneticist.,នាងគឺជាអ្នកជំនាញខាងហ្សែន។ ,She is a geneticist. ,Ni genetiste. ,NI and Aneist. ,그녀는 유전 학자입니다. ,She is a geneticist. ,Ew genetîkparêz e. ,It is genetic. ,Ал генетик. ,He is genetic. ,ນາງເປັນນັກພັນທຸ ກຳ. ,She is a geneticist. ,Ea est geneticist . ,She is a geneticist . ,Viņa ir ģenētiķe. ,She is a geneticist. ,Ji yra genetikė. ,She is a geneticist. ,Si ass eng Genetikerin. ,She is a geneticist. ,Таа е генетичарка. ,She is a geneticist. 
She is a geologist.,នាងគឺជាភូគព្ភវិទូ។ ,She is a geologist. ,Ni geologiya. ,Ni geology. ,그녀는 지질 학자입니다. ,She is a geologist. ,Ew jeolojîst e. ,He is a geologist. ,Ал геолог. ,He is a geologist. ,ນາງເປັນນັກທໍລະນີສາດ. ,She is a geologist. ,Ea est geologist. ,She is a geologist. ,Viņa ir ģeoloģe. ,She is a geologist. ,Ji yra geologė. ,She is a geologist. ,Si ass e Geolog. ,She is a geologist. ,Таа е геолог. ,She is a geologist. 
She is a graphic designer.,នាងគឺជាអ្នករចនាក្រាហ្វិច។ ,She is a graphic designer. ,Ni igishushanyo mbonera. ,It is a blueprint. ,그녀는 그래픽 디자이너입니다. ,She is a graphic designer. ,Ew sêwiranerek grafîkê ye. ,He is a graphic designer. ,Ал графикалык дизайнер. ,He is a graphic designer. ,ນາງເປັນຜູ້ອອກແບບກາຟິກ. ,She is a graphic designer. ,Est a graphic excogitatoris . ,Is a graphic designer . ,Viņa ir grafiskā dizainere. ,She is a graphic designer. ,Ji yra grafikos dizainerė. ,She is a graphic designer. ,Si ass Grafiker. ,She is a graphic designer. ,Таа е графички дизајнер. ,She is a graphic designer. 
She is a human resource specialist.,នាងគឺជាអ្នកជំនាញផ្នែកធនធានមនុស្ស។ ,She is an HR expert. ,Ni inzobere mu bijyanye n'abakozi. ,He is an expert in the field of personnel. ,그녀는 인적 자원 전문가입니다. ,She is a human resource expert. ,Ew pisporek çavkaniya mirovan e. ,He is a human resources expert. ,Ал адам ресурстары боюнча адис. ,He is a human resources specialist. ,ນາງເປັນຜູ້ຊ່ຽວຊານດ້ານຊັບພະຍາກອນມະນຸດ. ,She is a human resources specialist. ,Humana resource illa est artifex. ,She is a human resources specialist. ,Viņa ir cilvēkresursu speciāliste. ,She is a human resources specialist. ,Ji yra žmogiškųjų išteklių specialistė. ,She is a human resources specialist. ,Si ass e Spezialist fir mënschlech Ressourcen. ,She is a specialist in human resources. ,Таа е специјалист за човечки ресурси. ,She is a human resources specialist. 
She is an immunologist.,នាងគឺជាអ្នកជំនាញខាងភាពស៊ាំ។ ,She is an immunologist. ,Ni immunologue. ,n II MM uno log UE. ,그녀는 면역 학자입니다. ,She is an immunologist. ,Ew immunolog e. ,He is an immunologist. ,Ал иммунолог. ,He is an immunologist. ,ນາງເປັນນັກພູມຕ້ານທານ. ,She is an immunologist. ,Et immunologist est . ,And there is an immunologist . ,Viņa ir imunoloģe. ,She is an immunologist. ,Ji yra imunologė. ,She is an immunologist. ,Si ass en Immunolog. ,She is an immunologist. ,Таа е имунолог. ,She is an immunologist. 
She is an interpreters.,នាងជាអ្នកបកប្រែ។ ,She is a translator. ,Ni umusemuzi. ,He is a translator. ,그녀는 통역사입니다. ,She is an interpreter. ,Ew wergêr e. ,He is a translator. ,Ал котормочу. ,He is a translator. ,ນາງເປັນນັກແປພາສາ. ,She is a translator. ,Et hoc est interpretum copia. ,This is the interpreters. ,Viņa ir tulka. ,She is an interpreter. ,Ji yra vertėja. ,She is an interpreter. ,Si ass en Dolmetscher. ,She is an interpreter. ,Таа е толкувач. ,She is an interpreter. 
She is a jeweller.,នាងគឺជាគ្រឿងអលង្ការ។ ,She is a jeweler. ,Ni umutako. ,It is an ornament. ,그녀는 보석상입니다. ,She is a jeweler. ,Ew zêrfiroş e. ,He is a jeweler. ,Ал зергер. ,He is a jeweler. ,ນາງແມ່ນເຄື່ອງປະດັບ. ,She is a jeweler. ,Ea lapidarii sculptis . ,She is a jeweler . ,Viņa ir juveliere. ,She is a jeweler. ,Ji yra juvelyrė. ,She is a jeweler. ,Si ass e Bijoutier. ,She's a jeweler. ,Таа е златар. ,She is a jeweler. 
She is a lawyer.,នាងគឺជាមេធាវី។ ,She is a lawyer. ,Ni umunyamategeko. ,He is a lawyer. ,그녀는 변호사입니다. ,She is a lawyer. ,Ew parêzer e. ,He is a lawyer. ,Ал юрист. ,He is a lawyer. ,ນາງເປັນທະນາຍຄວາມ. ,She is a lawyer. ,Ea causidicum . ,She is a lawyer . ,Viņa ir juriste. ,She is a lawyer. ,Ji yra teisininkė. ,She is a lawyer. ,Si ass en Affekot. ,She's a lawyer. ,Таа е адвокат. ,She is a lawyer. 
She is a librarian.,នាងជាបណ្ណារក្ស។ ,She is a librarian. ,Ni isomero. ,In isomero. ,그녀는 사서입니다. ,She is a librarian. ,Ew pirtûkxanevan e. ,He is a librarian. ,Ал китепканачы. ,She is a librarian. ,ນາງເປັນຫ້ອງສະ ໝຸດ. ,She is a librarian. ,Est a bibliothecarius . ,Is a librarian . ,Viņa ir bibliotekāre. ,She is a librarian. ,Ji yra bibliotekininkė. ,She is a librarian. ,Si ass Bibliothekarin. ,She is a librarian. ,Таа е библиотекарка. ,She is a librarian. 
