original,En2Khmer,Khmer2En,En2Kinyarwanda,Kinyarwanda2En,En2Korean,Korean2En,En2Kurdish,Kurdish2En,En2Kyrgyz,Kyrgyz2En,En2Lao,Lao2En,En2Latin,Latin2En,En2Latvian,Latvian2En,En2Lithuanian,Lithuanian2En,En2Luxembourgish,Luxembourgish2En,En2Macedonian,Macedonian2En
She is a licensed practical nurse.,នាងគឺជាគិលានុបដ្ឋាយិកាជាក់ស្តែងដែលមានការអនុញ្ញាត។ ,She is a licensed practical nurse. ,Ni umuforomo ufite uburenganzira. ,She is a qualified nurse. ,그녀는 면허가있는 실무 간호사입니다. ,She is a licensed practical nurse. ,Ew hemşîreyek pratîkî ya xwedî lîsans e. ,She is a licensed practical nurse. ,Ал лицензиясы бар практикалык медайым. ,She is a licensed practice nurse. ,ນາງເປັນພະຍາບານພາກປະຕິບັດທີ່ໄດ້ຮັບອະນຸຍາດ. ,She is a licensed practical nurse. ,Ea licentiati practicae nutrix . ,She is a licensed practical nurse . ,Viņa ir licencēta praktiskā medmāsa. ,She is a licensed practical nurse. ,Ji yra licencijuota praktinė slaugytoja. ,She is a licensed practical nurse. ,Si ass eng lizenzéiert praktesch Infirmière. ,She is a licensed practical nurse. ,Таа е лиценцирана практична медицинска сестра. ,She is a licensed practicing nurse. 
She is a mechanic.,នាងគឺជាមេកានិក។ ,She is a mechanic. ,Ni umukanishi. ,He is a mechanic. ,그녀는 기계공입니다. ,She is a mechanic. ,Ew mekanîzmayek e. ,It is a mechanism. ,Ал механизатор. ,He is a mechanic. ,ນາງແມ່ນຊ່າງກົນຈັກ. ,She is a mechanic. ,Est mechanicus ad . ,It is the mechanic . ,Viņa ir mehāniķe. ,She is a mechanic. ,Ji yra mechanikė. ,She is a mechanic. ,Si ass eng Mecanicien. ,She's a mechanic. ,Таа е механичар. ,She is a mechanic. 
She is a medical laboratory scientist.,នាងគឺជាអ្នកវិទ្យាសាស្ត្រមន្ទីរពិសោធន៍វេជ្ជសាស្ត្រ។ ,She is a medical laboratory scientist. ,Ni umuhanga muri laboratoire. ,He is an expert in the laboratory. ,그녀는 의학 실험실 과학자입니다. ,She is a medical laboratory scientist. ,Ew zanyarek taqîgeha tibî ye. ,He is a medical laboratory scientist. ,Ал медициналык лабораториянын илимпозу. ,He is a scientist in a medical laboratory. ,ນາງເປັນນັກວິທະຍາສາດຫ້ອງທົດລອງທາງການແພດ. ,She is a medical laboratory scientist. ,Physicus in officina medici est . ,The medical scientist in the laboratory . ,Viņa ir medicīnas laboratorijas zinātniece. ,She is a scientist in a medical laboratory. ,Ji yra medicinos laboratorijos mokslininkė. ,She is a scientist in a medical laboratory. ,Si ass e medizinesche Laborwëssenschaftler. ,She is a medical laboratory scientist. ,Таа е научник за медицинска лабораторија. ,She is a scientist in a medical laboratory. 
She is a meteorologist.,នាងគឺជាអ្នកឧតុនិយម។ ,She is a meteorologist. ,Ni ikirere. ,It's the weather. ,그녀는 기상 학자입니다. ,She is a meteorologist. ,Ew meteorolojîst e. ,He is a meteorologist. ,Ал метеоролог. ,He is a meteorologist. ,ນາງແມ່ນນັກອຸຕຸນິຍົມ. ,She is a meteorologist. ,Ea est meteorologist. ,She is a meteorologist. ,Viņa ir meteoroloģe. ,She is a meteorologist. ,Ji yra meteorologė. ,She is a meteorologist. ,Si ass e Meteorolog. ,She is a meteorologist. ,Таа е метеоролог. ,She is a meteorologist. 
She is a midwife.,នាងជាឆ្មប។ ,She is a midwife. ,Ni umubyaza. ,She is a midwife. ,그녀는 조산사입니다. ,She is a midwife. ,Ew pîrikek e. ,She is a midwife. ,Ал акушер. ,She is an obstetrician. ,ນາງເປັນ ໝໍ ຕຳ ແຍ. ,She is careless. ,Ea obstetricem profitebatur. ,She is a midwife. ,Viņa ir vecmāte. ,She is a midwife. ,Ji yra akušerė. ,She is a midwife. ,Si ass eng Fra. ,She is a woman. ,Таа е бабица. ,She is a midwife. 
She is a military officer.,នាងគឺជាមន្រ្តីយោធា។ ,She is a military officer. ,Ni umusirikare. ,He is a soldier. ,그녀는 군 장교입니다. ,She is a military officer. ,Ew efserek leşkerî ye. ,He is a military officer. ,Ал аскер кызматкери. ,He is a soldier. ,ນາງເປັນນາຍທະຫານ. ,She is a military officer. ,Ea comiti militari . ,She is a military officer . ,Viņa ir militārā virsniece. ,She is a military officer. ,Ji yra karininkė. ,She is an officer. ,Si ass e Militär Offizéier. ,She is a military officer. ,Таа е воен офицер. ,She is a military officer. 
She is a nutritionist.,នាងគឺជាអ្នកជំនាញផ្នែកអាហារបំប៉ន។ ,She is a nutritionist. ,Ni inzobere mu mirire. ,He is a nutritionist. ,그녀는 영양사입니다. ,She is a nutritionist. ,Ew parêzvanek xwarinê ye. ,He is a food advocate. ,Ал диетолог. ,He is a nutritionist. ,ນາງເປັນນັກໂພຊະນາການ. ,She is a nutritionist. ,Ea est nutritionist. ,She is a nutritionist . ,Viņa ir uztura speciāliste. ,She is a nutritionist. ,Ji yra mitybos specialistė. ,She is a nutritionist. ,Si ass Ernärungsistin. ,She is a nutritionist. ,Таа е нутриционист. ,She is a nutritionist. 
She is an oceanographer.,នាងគឺជាអ្នកជំនាញខាងមហាសមុទ្រ។ ,She is an ocean expert. ,Ni umuhanga mu nyanja. ,He is an expert in the sea. ,그녀는 해양 학자입니다. ,She is an oceanographer. ,Ew behreke behrê ye. ,It is a sea urchin. ,Ал океанограф. ,He is an oceanographer. ,ນາງແມ່ນນັກຄົ້ນຄວ້າດ້ານມະຫາສະມຸດ. ,She is an ocean researcher. ,Et Oceanographer est . ,The oceanographer it. ,Viņa ir okeanogrāfe. ,She is an oceanographer. ,Ji yra okeanografė. ,She is an oceanographer. ,Si ass en Ozeanograph. ,She is an oceanographer. ,Таа е океанограф. ,She is an oceanographer. 
She is an osteopath.,នាងគឺជាអូវែរ។ ,She is Ovary. ,Ni osteopath. ,Niostepa th. ,그녀는 정골 사입니다. ,She is an osteopath. ,Ew osteopatek e. ,He is an osteopath. ,Ал остеопат. ,He is an osteopath. ,ນາງແມ່ນ osteopath. ,She is an osteopath. ,Et osteopath est . ,The osteopathic it. ,Viņa ir osteopāte. ,She is an osteopath. ,Ji yra osteopatė. ,She is an osteopath. ,Si ass en Osteopath. ,She is an osteopath. ,Таа е остеопат. ,She is an osteopath. 
She is a painter.,នាងជាជាងគំនូរ។ ,She is a painter. ,Ni amarangi. ,They are colors. ,그녀는 화가입니다. ,She is a painter. ,Ew resamek e. ,He is a painter. ,Ал сүрөтчү. ,He was an artist. ,ນາງເປັນນັກແຕ້ມ. ,She is an artist. ,Ea est pictorem . ,She is a painter . ,Viņa ir gleznotāja. ,She is a painter. ,Ji yra tapytoja. ,She is a painter. ,Si ass e Moler. ,She is a painter. ,Таа е сликарка. ,She is a painter. 
She is a paramedic.,នាងគឺជាគ្រូពេទ្យ។ ,She is a doctor. ,Ni inkeragutabara. ,It's a relief. ,그녀는 구급대 원입니다. ,She is a paramedic. ,Ew paramedîk e. ,She is paramedic. ,Ал фельдшер. ,He is a paramedic. ,ນາງເປັນນັກການແພດ. ,She is a doctor. ,Ea est paramedic . ,She is a paramedic . ,Viņa ir feldšere. ,She is a paramedic. ,Ji yra felčerė. ,She is a paramedic. ,Si ass eng paramedizinesch. ,She is a paramedic. ,Таа е болничар. ,She is a paramedic. 
She is a pathologist.,នាងគឺជាអ្នកជំនាញខាងរោគសាស្ត្រ។ ,She is a pathologist. ,Ni umuhanga mu bumenyi bw'indwara. ,He is an expert in disease science. ,그녀는 병리학 자입니다. ,She is a pathologist. ,Ew patholojîk e. ,It is pathological. ,Ал патолог. ,He is a pathologist. ,ນາງເປັນຜູ້ຊ່ຽວຊານດ້ານພະຍາດ. ,She is a pathologist. ,Ea est pathologist. ,She is a pathologist. ,Viņa ir patoloģe. ,She is a pathologist. ,Ji yra patologė. ,She is a pathologist. ,Si ass eng Pathologin. ,She is a pathologist. ,Таа е патолог. ,She is a pathologist. 
She is a pharmacologist.,នាងគឺជាអ្នកជំនាញខាងឱសថការី។ ,She is a pharmacist. ,Ni umufarumasiye. ,He is a pharmacist. ,그녀는 약리학 자입니다. ,She is a pharmacologist. ,Ew dermanzan e. ,He is a pharmacist. ,Ал фармаколог. ,He is a pharmacologist. ,ນາງເປັນຜູ້ຊ່ຽວຊານດ້ານການຂາຍຢາ. ,She is a pharmacist. ,Ea est pharmacologist . ,She is a pharmacologist . ,Viņa ir farmakoloģe. ,She is a pharmacologist. ,Ji yra farmakologė. ,She is a pharmacologist. ,Si ass en Pharmakolog. ,She is a pharmacologist. ,Таа е фармаколог. ,She is a pharmacologist. 
She is a philosopher.,នាងគឺជាទស្សនវិទូ។ ,She is a philosopher. ,Ni umuhanga mu bya filozofiya. ,He is a philosopher. ,그녀는 철학자입니다. ,She is a philosopher. ,Ew fîlozofek e. ,He is a philosopher. ,Ал философ. ,He is a philosopher. ,ນາງແມ່ນນັກປັດຊະຍາ. ,She is a philosopher. ,Est enim philosophus . ,For philosophy . ,Viņa ir filozofe. ,She is a philosopher. ,Ji yra filosofė. ,She is a philosopher. ,Si ass e Philosoph. ,She is a philosopher. ,Таа е филозоф. ,She is a philosopher. 
She is a photographer.,នាងគឺជាអ្នកថតរូប។ ,She is a photographer. ,Ni umufotozi. ,NI um UFO to sub. ,그녀는 사진 작가입니다. ,She is a photographer. ,Ew wênegir e. ,He is a photographer. ,Ал сүрөтчү. ,He was an artist. ,ນາງເປັນຊ່າງຖ່າຍຮູບ. ,She is a photographer. ,Ea etiam photographer . ,She is also a photographer. ,Viņa ir fotogrāfe. ,She is a photographer. ,Ji yra fotografė. ,She is a photographer. ,Si ass Fotograf. ,She is a photographer. ,Таа е фотограф. ,She is a photographer. 
She is a physician assistant.,នាងជាជំនួយការគ្រូពេទ្យ។ ,She is a medical assistant. ,Ni umufasha wa muganga. ,She is a medical assistant. ,그녀는 의사 조수입니다. ,She is a doctor's assistant. ,Ew alîkarek bijîşk e. ,She is a medical assistant. ,Ал дарыгердин жардамчысы. ,He is a doctor's assistant. ,ນາງເປັນຜູ້ຊ່ວຍແພດ. ,She is a medical assistant. ,Medicus non est adiutor . ,The doctor is not an assistant . ,Viņa ir ārsta palīga. ,She is a medical assistant. ,Ji yra gydytojo padėjėja. ,She is a medical assistant. ,Si ass en Dokterassistent. ,She is a medical assistant. ,Таа е асистент на лекар. ,She is a doctor's assistant. 
She is a physicist.,នាងគឺជាអ្នករូបវិទ្យា។ ,She is a physicist. ,Ni umuhanga mu bya fiziki. ,He is a physicist. ,그녀는 물리학 자입니다. ,She is a physicist. ,Ew fîzîknasek e. ,He is a physicist. ,Ал физик. ,He is a physicist. ,ນາງແມ່ນນັກຟີຊິກສາດ. ,She is a physicist. ,Ea est naturalis . ,She is natural. ,Viņa ir fiziķe. ,She is a physicist. ,Ji yra fizikė. ,She is a physicist. ,Si ass e Physiker. ,She is a physicist. ,Таа е физичар. ,She is a physicist. 
She is a pilot.,នាងគឺជាអ្នកបើកយន្តហោះ។ ,She is a pilot. ,Ni umuderevu. ,He is a driver. ,그녀는 조종사입니다. ,She is a pilot. ,Ew pîlotek e. ,He is a pilot. ,Ал учкуч. ,He is a pilot. ,ນາງແມ່ນນັກບິນ. ,She is a pilot. ,Ea est gubernator . ,The condition of the pilot . ,Viņa ir pilote. ,She is a pilot. ,Ji yra lakūnė. ,She is a pilot. ,Si ass e Pilot. ,She's a pilot. ,Таа е пилот. ,She is a pilot. 
She is a plumber.,នាងគឺជាជាងកាត់សក់។ ,She is a barber. ,Ni umuyoboke w'amazi. ,He is a follower of water. ,그녀는 배관공입니다. ,She is a plumber. ,Ew plumber e. ,It is plumber. ,Ал сантехник. ,He is a plumber. ,ນາງເປັນຜູ້ຕັດທໍ່. ,She is a pipe cutter. ,Ea PLUMBARIUS . ,She is a plumber . ,Viņa ir santehniķe. ,She is a plumber. ,Ji santechnikė. ,She is a plumber. ,Si ass e Klempner. ,She's a plumber. ,Таа е водоводџија. ,She is a plumber. 
She is a politician.,នាងជាអ្នកនយោបាយ។ ,She is a politician. ,Ni umunyapolitiki. ,He is a politician. ,그녀는 정치인입니다. ,She is a politician. ,Ew siyasetmedarek e. ,He is a politician. ,Ал саясатчы. ,He is a politician. ,ນາງແມ່ນນັກການເມືອງ. ,She is a politician. ,Ea est publica libere. ,She is a politician. ,Viņa ir politiķe. ,She is a politician. ,Ji yra politikas. ,She is a politician. ,Si ass eng Politikerin. ,She is a politician. ,Таа е политичар. ,She is a politician. 
She is a receptionist.,នាងគឺជាអ្នកទទួលភ្ញៀវ។ ,She is the receptionist. ,Ni umushyitsi. ,He is a guest. ,그녀는 접수 원입니다. ,She is a receptionist. ,Ew pêşwazîvanek e. ,He is a host. ,Ал кабыл алуучу. ,He is the host. ,ນາງເປັນຜູ້ຕ້ອນຮັບ. ,She is a receptionist. ,Ea est receptionist. ,She is a receptionist. ,Viņa ir administratore. ,She is an administrator. ,Ji yra registratorė. ,She is a receptionist. ,Si ass e Receptionist. ,She is a receptionist. ,Таа е рецепционерка. ,She is a receptionist. 
She is a registered nurse.,នាងគឺជាគិលានុបដ្ឋាយិកាដែលបានចុះឈ្មោះ។ ,She is a registered nurse. ,Ni umuforomo wanditswe. ,It is a registered nurse. ,그녀는 등록 간호사입니다. ,She is a registered nurse. ,Ew hemşîreyek tomarkirî ye. ,She is a registered nurse. ,Ал каттоодо турган медайым. ,She is a registered nurse. ,ນາງແມ່ນພະຍາບານທີ່ຈົດທະບຽນ. ,She is a registered nurse. ,Ea genealogia nutrix . ,She is a registered nurse . ,Viņa ir reģistrēta medmāsa. ,She is a registered nurse. ,Ji yra registruota slaugytoja. ,She is a registered nurse. ,Si ass eng registréiert Infirmière. ,She is a registered nurse. ,Таа е регистрирана медицинска сестра. ,She is a registered nurse. 
She is a salesman.,នាងជាអ្នកលក់។ ,She is a salesperson. ,Ni umucuruzi. ,He is a businessman. ,그녀는 세일즈맨입니다. ,She is a salesman. ,Ew firoşyar e. ,It is a seller. ,Ал сатуучу. ,He is a salesman. ,ນາງເປັນຜູ້ຂາຍ. ,She is a seller. ,Ea venditabant. ,She is a salesman. ,Viņa ir pārdevēja. ,She is a saleswoman. ,Ji yra pardavėja. ,She is a saleswoman. ,Si ass e Verkeefer. ,She's a saleswoman. ,Таа е продавач. ,She is a saleswoman. 
She is a salesperson.,នាងជាអ្នកលក់។ ,She is a salesperson. ,Ni umucuruzi. ,He is a businessman. ,그녀는 판매원입니다. ,She is a salesman. ,Ew firoşyar e. ,It is a seller. ,Ал сатуучу. ,He is a salesman. ,ນາງເປັນຜູ້ຂາຍ. ,She is a seller. ,Ea salesperson. ,She is a salesperson. ,Viņa ir pārdevēja. ,She is a saleswoman. ,Ji yra pardavėja. ,She is a saleswoman. ,Si ass e Verkeefer. ,She's a saleswoman. ,Таа е продавач. ,She is a saleswoman. 
She is a scientist.,នាងគឺជាអ្នកវិទ្យាសាស្រ្ត។ ,She is a scientist. ,Ni umuhanga. ,He is an expert. ,그녀는 과학자입니다. ,She is a scientist. ,Ew zanyar e. ,He is a scientist. ,Ал илимпоз. ,He is a scientist. ,ນາງແມ່ນນັກວິທະຍາສາດ. ,She is a scientist. ,Ea enim physicus . ,She is a scientist . ,Viņa ir zinātniece. ,She is a scientist. ,Ji yra mokslininkė. ,She is a scientist. ,Si ass e Wëssenschaftler. ,She's a scientist. ,Таа е научник. ,She is a scientist. 
She is a sea captain.,នាងគឺជាប្រធានក្រុមសមុទ្រ។ ,She is the captain of the sea. ,Ni umutware w'inyanja. ,He is the captain of the sea. ,그녀는 선장입니다. ,She is the captain. ,Ew kaptanê behrê ye. ,He is the captain of the sea. ,Ал деңиз капитаны. ,He is a sea captain. ,ນາງເປັນຜູ້ ນຳ ເຮືອທະເລ. ,She is a naval captain. ,Ea est gubernator . ,The condition of the pilot . ,Viņa ir jūras kapteine. ,She is the captain of the sea. ,Ji yra jūrų kapitonė. ,She is a sea captain. ,Si ass e Mierekapitän. ,She's a sea captain. ,Таа е морски капетан. ,She is a naval captain. 
She is a secretary.,នាងគឺជាលេខាធិការ។ ,She is the secretary. ,Ni umunyamabanga. ,He is the secretary. ,그녀는 비서 다. ,She is a secretary. ,Ew sekreter e. ,He is the secretary. ,Ал катчы. ,He is a secretary. ,ນາງເປັນເລຂາ. ,She is a secretary. ,Ea est scriba . ,She is a secretary . ,Viņa ir sekretāre. ,She is a secretary. ,Ji yra sekretorė. ,She is the secretary. ,Si ass Sekretärin. ,She's a secretary. ,Таа е секретарка. ,She is a secretary. 
She is a singer.,នាង​គឺ​ជា​តារា​ចម្រៀង។ ,She is a singer. ,Ni umuririmbyi. ,He is a singer. ,그녀는 가수 다. ,She is a singer. ,Ew stranbêj e. ,She is a singer. ,Ал ырчы. ,She is a singer. ,ນາງເປັນນັກຮ້ອງ. ,She is a singer. ,Ea cantor . ,She is a singer . ,Viņa ir dziedātāja. ,She is a singer. ,Ji yra dainininkė. ,She is a singer. ,Si ass eng Sängerin. ,She is a singer. ,Таа е пејачка. ,She is a singer. 
She is a solicitor.,នាងគឺជាអ្នកស្នើសុំ។ ,She is the proposer. ,Ni umucamanza. ,He is a judge. ,그녀는 변호사입니다. ,She is a lawyer. ,Ew parêzer e. ,He is a lawyer. ,Ал адвокат. ,He is a lawyer. ,ນາງເປັນຜູ້ຂໍທານ. ,She is a beggar. ,Ea solicitator . ,She is a solicitor . ,Viņa ir advokāte. ,She is a lawyer. ,Ji yra advokatė. ,She is a lawyer. ,Si ass en Affekot. ,She's a lawyer. ,Таа е адвокат. ,She is a lawyer. 
She is a speech pathologist.,នាងគឺជាអ្នកជំនាញខាងនិយាយស្តី។ ,She is a speech therapist. ,Ni umuhanga mu kuvura indwara. ,He is an expert in the treatment of disease. ,그녀는 언어 병리학 자입니다. ,She is a speech pathologist. ,Ew nexweşnasek axaftinê ye. ,He is a speech therapist. ,Ал дефектолог. ,He is a speech pathologist. ,ນາງເປັນນັກວິຊາການເວົ້າ. ,She is a speech therapist. ,Ea orationem pathologist. ,She is a speech pathologist. ,Viņa ir runas patoloģe. ,She is a speech pathologist. ,Ji yra kalbos patologė. ,She is a speech pathologist. ,Si ass e Sproochpatolog. ,She is a language pathologist. ,Таа е патолог за говор. ,She is a speech pathologist. 
She is a speech-language pathologist.,នាងគឺជាអ្នកជំនាញខាងនិយាយភាសា។ ,She is a language expert. ,Ni umuhanga mu kuvuga ururimi. ,He is an expert in language. ,그녀는 언어 병리학 자입니다. ,She is a speech pathologist. ,Ew nexweşnasek axaftin-ziman e. ,He is a speech-language patient. ,Ал логопед-патолог. ,He is a speech therapist. ,ນາງເປັນຜູ້ຊ່ຽວຊານດ້ານພາສາເວົ້າ. ,She is an expert in spoken language. ,Ea oratio est - linguam pathologist. ,This address - language pathologist. ,Viņa ir runas valodas patoloģe. ,She is a speech pathologist. ,Ji yra kalbos kalbos patologė. ,She is a speech pathologist. ,Si ass eng Sproochsprooch Pathologin. ,She is a speech pathologist. ,Таа е патолог на говорен јазик. ,She is a speech therapist. 
She is a statistician.,នាងគឺជាអ្នកស្ថិតិ។ ,She is a statistician. ,Ni ibarurishamibare. ,It is a statistic. ,그녀는 통계 학자입니다. ,She is a statistician. ,Ew statîstîkvan e. ,He is a statistician. ,Ал статист. ,He is a statistician. ,ນາງເປັນນັກສະຖິຕິ. ,She is a statistician. ,Ea est statistician . ,She is a statistician. ,Viņa ir statistiķe. ,She is a statistician. ,Ji yra statistikė. ,She is a statistician. ,Si ass eng Statistik. ,She is a statistic. ,Таа е статистичар. ,She is a statistician. 
She is a surveyor.,នាងគឺជាអ្នកអង្កេត។ ,She is an observer. ,Ni umushakashatsi. ,He is a researcher. ,그녀는 측량사입니다. ,She is a surveyor. ,Ew rapirsîner e. ,He is an interviewer. ,Ал маркшейдер. ,He is a surveyor. ,ນາງເປັນນັກ ສຳ ຫຼວດ. ,She is a detective. ,Ea est surveyor . ,She is a surveyor . ,Viņa ir mērniece. ,She is a surveyor. ,Ji yra matininkė. ,She is a surveyor. ,Si ass e Geodet. ,She is a geodet. ,Таа е геодет. ,She is a surveyor. 
She is a therapist.,នាងជាអ្នកព្យាបាលរោគ។ ,She is a therapist. ,Ni umuvuzi. ,He is a healer. ,그녀는 치료사입니다. ,She is a therapist. ,Ew terapîst e. ,She is a therapist. ,Ал терапевт. ,He is a therapist. ,ນາງເປັນນັກ ບຳ ບັດ. ,She is a card player. ,Est a CLINICUS . ,There is a therapist. ,Viņa ir terapeite. ,She is a therapist. ,Ji yra terapeutė. ,She is a therapist. ,Si ass en Therapeut. ,She is a therapist. ,Таа е терапевт. ,She is a therapist. 
She is an undertaker.,នាងគឺជាអ្នកធ្វើកិច្ចការ។ ,She is a doer. ,Ni umuhigo. ,It is a vow. ,그녀는 장의사입니다. ,She is an undertaker. ,Ew bingehek e. ,It is a foundation. ,Ал undertaker. ,He is an undertaker. ,ນາງເປັນຜູ້ປະຕິບັດງານ. ,She is an operator. ,Quæ est vespillō . ,What is the undertaker . ,Viņa ir apbedītāja. ,She is a funeral. ,Ji yra laidotuvė. ,She is a funeral. ,Si ass en Entrepreneur. ,She is an entrepreneur. ,Таа е гробар. ,She is a gravedigger. 
She is an urban planner.,នាងគឺជាអ្នកធ្វើផែនការទីក្រុង។ ,She is a city planner. ,Numushinga wumujyi. ,It is a city project. ,그녀는 도시 계획자입니다. ,She is an urban planner. ,Ew plansazek bajarvaniyê ye. ,It is an urban plan. ,Ал шаар куруучу. ,He is a city builder. ,ນາງເປັນນັກວາງແຜນຕົວເມືອງ. ,She is an urban planner. ,Et consiliumque urbana est . ,The urban planner it. ,Viņa ir pilsētplānotāja. ,She is a town planner. ,Ji yra urbanistė. ,She is an urbanist. ,Si ass en Urbanist. ,She is an urbanist. ,Таа е урбанист. ,She is an urban planner. 
She is a videographer.,នាងគឺជាអ្នកថតវីដេអូ។ ,She is a videographer. ,Ni videwo. ,In the video. ,그녀는 비디오 작가입니다. ,She is a videographer. ,Ew dîdevanek e. ,He is a spectator. ,Ал видеограф. ,He is a videographer. ,ນາງແມ່ນນັກຖ່າຍວີດີໂອ. ,She is a videographer. ,Ea est videographer . ,She is a videographer . ,Viņa ir videogrāfe. ,She is a videographer. ,Ji yra filmuotoja. ,She is a filmmaker. ,Si ass e Videograph. ,She is a videographer. ,Таа е видеограф. ,She is a videographer. 
She is a virologist.,នាងគឺជាអ្នកជំនាញខាងរោគសាស្ត្រ។ ,She is a pathologist. ,Ni virusi. ,It's a virus. ,그녀는 바이러스 학자입니다. ,She is a virologist. ,Ew vîrolojîstek e. ,He is a virologist. ,Ал вирусолог. ,He is a virologist. ,ນາງແມ່ນ viologistist. ,She is a viologistist. ,Ea est virologist . ,She is a virologist . ,Viņa ir viroloģe. ,She is a virologist. ,Ji yra virusologė. ,She is a virologist. ,Si ass eng Virologin. ,She is a virologist. ,Таа е вирусолог. ,She is a virologist. 
She is a visual artist.,នាងគឺជាសិល្បករដែលមើលឃើញ។ ,She is a visual artist. ,Ni umuhanzi ugaragara. ,He is a visible artist. ,그녀는 비주얼 아티스트입니다. ,She is a visual artist. ,Ew hunermendek dîtbarî ye. ,He is a visual artist. ,Ал визуалдык сүрөтчү. ,He was a visual artist. ,ນາງແມ່ນນັກສິລະປະການເບິ່ງເຫັນ. ,She is an invisible artist. ,Et artifex est visual . ,He is a visual artist . ,Viņa ir vizuālā māksliniece. ,She is a visual artist. ,Ji yra vizuali menininkė. ,She is a visual artist. ,Si ass eng visuell Kënschtlerin. ,She is a visual artist. ,Таа е визуелен уметник. ,She is a visual artist. 
She is a waiter.,នាងគឺជាអ្នករត់តុ។ ,She is a waitress. ,Ni umusereri. ,It's a secret. ,그녀는 웨이터입니다. ,She is a waiter. ,Ew garsonek e. ,He is a waiter. ,Ал официант. ,He is a waiter. ,ນາງແມ່ນຜູ້ທີ່ລໍຖ້າ. ,She is the one who is waiting. ,Ea minister sum. ,The waiter. ,Viņa ir viesmīle. ,She is a waitress. ,Ji yra padavėja. ,She is a waitress. ,Si ass e Kellner. ,She's a waiter. ,Таа е келнер. ,She is a waiter. 
She is a web designer.,នាងគឺជាអ្នករចនាគេហទំព័រ។ ,She is a web designer. ,Ni umushinga wurubuga. ,It’s a website project. ,그녀는 웹 디자이너입니다. ,She is a web designer. ,Ew sêwiranerê tevnekê ye. ,He is a web designer. ,Ал веб-дизайнер. ,He is a web designer. ,ນາງເປັນຜູ້ອອກແບບເວັບ. ,She is a web designer. ,Ea telam excogitatoris est . ,She is a web designer . ,Viņa ir tīmekļa dizainere. ,She is a web designer. ,Ji yra interneto dizainerė. ,She is a web designer. ,Si ass e Webdesigner. ,She is a web designer. ,Таа е веб-дизајнер. ,She is a web designer. 
She is a web developer.,នាងគឺជាអ្នកបង្កើតគេហទំព័រ។ ,She is a webmaster. ,Numushinga wurubuga. ,With a website project. ,그녀는 웹 개발자입니다. ,She is a web developer. ,Ew pêşvebirek tevnê ye. ,He is a web developer. ,Ал веб-иштеп чыгуучу. ,He is a web developer. ,ນາງເປັນນັກພັດທະນາເວັບ. ,She is a web developer. ,Ea est telam elit . ,She is a web developer . ,Viņa ir tīmekļa izstrādātāja. ,She is a web developer. ,Ji yra interneto svetainių kūrėja. ,She is a website developer. ,Si ass e Webentwéckler. ,She is a web developer. ,Таа е веб-развивач. ,She is a web developer. 
She is a zoologist.,នាងគឺជាអ្នកជំនាញវិទ្យាសាស្ត្រសត្វ។ ,She is an expert in animal science. ,Ni umuhanga mu binyabuzima. ,He is a biologist. ,그녀는 동물 학자입니다. ,She is a zoologist. ,Ew jînolojî ye. ,It is gynecological. ,Ал зоолог. ,He is a zoologist. ,ນາງເປັນນັກສັດຕະວະແພດ. ,She is a veterinarian. ,Ea est zoologist . ,She is a zoologist. ,Viņa ir zoologa. ,She is a zoologist. ,Ji yra zoologė. ,She is a zoologist. ,Si ass eng Zoologin. ,She's a zoologist. ,Таа е зоолог. ,She is a zoologist. 
