original,En2Malagasy,Malagasy2En,En2Malay,Malay2En,En2Malayalam,Malayalam2En,En2Maltese,Maltese2En,En2Maori,Maori2En,En2Marathi,Marathi2En,En2Mongolian,Mongolian2En,En2Burmese,Burmese2En,En2Nepali,Nepali2En,En2Norwegian,Norwegian2En,En2Nyanja_Chichewa,Nyanja_Chichewa2En,En2Oriya,Oriya2En
She is an advocate.,Mpisolovava izy. ,He is a lawyer. ,Dia adalah peguam bela. ,He is an advocate. ,അവൾ ഒരു അഭിഭാഷകയാണ്. ,She is a lawyer. ,Hija avukata. ,She is a lawyer. ,He kaitautoko ia. ,He is a supporter. ,ती एक वकील आहे. ,She is a lawyer. ,Тэр бол өмгөөлөгч юм. ,He is a lawyer. ,သူမသည်တစ် ဦး ထောက်ခံသူဖြစ်ပါတယ်။ ,She is a supporter. ,उनी एक वकिल हुन्। ,He is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Iye ndi woimira mulandu. ,He is the prosecutor. ,ସେ ଜଣେ ଓକିଲ। ,He is a lawyer. 
She is an agriculturist.,Mpamboly izy. ,He is a farmer. ,Dia seorang ahli pertanian. ,He is a farmer. ,അവൾ ഒരു കൃഷിക്കാരിയാണ്. ,She is a farmer. ,Hija agrikoltura. ,It is agriculture. ,He tangata ahu whenua ia. ,He was a farmer. ,ती एक कृषक आहे. ,She is a farmer. ,Тэр хөдөө аж ахуй эрхэлдэг. ,He is engaged in agriculture. ,သူမသည်လယ်သမားတစ် ဦး ဖြစ်သည်။ ,She is a farmer. ,उनी एक कृषिविद् हुन्। ,He is an agriculturist. ,Hun er landbruker. ,She is a farmer. ,Ndi mlimi. ,It's a farmer. ,ସେ ଜଣେ କୃଷକ। ,He is a farmer. 
She is an aircraft pilot.,Izy dia mpanamory fiaramanidina. ,He is a pilot. ,Dia adalah juruterbang pesawat. ,He is a pilot. ,അവൾ ഒരു വിമാന പൈലറ്റാണ്. ,She is an airline pilot. ,Hija pilota tal-ajruplan. ,She is an airplane pilot. ,He paerata rererangi a ia. ,He is an airline pilot. ,ती विमानाची पायलट आहे. ,She is the pilot of the aircraft. ,Тэр бол нисэх онгоцны нисгэгч юм. ,He is a pilot. ,သူမသည်လေယာဉ်မှူးဖြစ်သည်။ ,She is a pilot. ,उनी एक विमान पायलट हुन्। ,He is a pilot. ,Hun er flypilot. ,She's a pilot. ,Ndioyendetsa ndege. ,He is a pilot. ,ସେ ଜଣେ ବିମାନ ପାଇଲଟ୍ | ,He is a pilot 
She is an artist.,Mpanakanto izy. ,He is an artist. ,Dia seorang artis. ,He is an artist. ,അവൾ ഒരു കലാകാരിയാണ്. ,She is an artist. ,Hija artista. ,She is an artist. ,He kaitoi ia. ,He is an artist. ,ती एक कलाकार आहे. ,She is an artist. ,Тэр бол зураач. ,He is an artist. ,သူမသည်အနုပညာရှင်တစ် ဦး ဖြစ်သည်။ ,She is an artist. ,उनी एक कलाकार हुन्। ,He is an artist. ,Hun er kunstner. ,She's an artist. ,Ndi wojambula. ,He is an artist. ,ସେ ଜଣେ କଳାକାର | ,He is an artist 
She is an astronomer.,Mpanandro izy. ,He is an astrologer. ,Dia adalah ahli astronomi. ,He is an astronomer. ,അവൾ ഒരു ജ്യോതിശാസ്ത്രജ്ഞയാണ്. ,She is an astronomer. ,Hija astronomu. ,She is an astronomer. ,He tohunga matakite ia. ,He was a seer. ,ती एक खगोलशास्त्रज्ञ आहे. ,She is an astronomer. ,Тэр бол одон орон судлаач юм. ,He is an astronomer. ,သူမသည်နက္ခတ္တဗေဒပညာရှင်ဖြစ်သည်။ ,She is an astronomer. ,उनी खगोलविद् हुन्। ,He is an astronomer. ,Hun er astronom. ,She's an astronomer. ,Iye ndi katswiri wa zakuthambo. ,He is an astronomer. ,ସେ ଜଣେ ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ | ,He is an astronomer 
She is an attorney.,Mpisolovava izy. ,He is a lawyer. ,Dia adalah seorang peguam. ,He is a lawyer. ,അവൾ ഒരു അഭിഭാഷകയാണ്. ,She is a lawyer. ,Hija avukat. ,She is a lawyer. ,He roia ia. ,He is a lawyer. ,ती एक वकील आहे. ,She is a lawyer. ,Тэр өмгөөлөгч. ,He is a lawyer. ,သူမသည်ရှေ့နေဖြစ်သည်။ ,She is a lawyer. ,उनी एक वकिल हुन्। ,He is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Iye ndi loya. ,He is a lawyer. ,ସେ ଜଣେ ଓକିଲ। ,He is a lawyer. 
She is an audiologist.,Audiologist izy. ,He is an audiologist. ,Dia adalah pakar audiologi. ,He is an audiologist. ,അവൾ ഒരു ഓഡിയോളജിസ്റ്റാണ്. ,She is an audiologist. ,Hija awdjologa. ,She is an audiologist. ,He tohunga whakarongo ia. ,He is a listening expert. ,ती ऑडिओलॉजिस्ट आहे. ,She is an audiologist. ,Тэр бол дууны эмч юм. ,He is a sound doctor. ,သူမသည်စာရင်းစစ်ပညာရှင်ဖြစ်သည်။ ,She is an auditor. ,उनी एक अडियोलॉजिस्ट हुन्। ,He is an audiologist. ,Hun er audiolog. ,She's an audiologist. ,Ndi katswiri womvera. ,He is an obedient listener. ,ସେ ଜଣେ ଅଡିଓୋଲୋଜିଷ୍ଟ | ,He is an audiologist 
She is a banker.,Banky izy. ,He is a banker. ,Dia seorang pegawai bank. ,He is a bank officer. ,അവൾ ഒരു ബാങ്കറാണ്. ,She is a banker. ,Hija bankiera. ,She is a banker. ,He peeke putea ia. ,He is a banker. ,ती एक बँकर आहे. ,She is a banker. ,Тэр бол банкир. ,He is a banker. ,သူမသည်ဘဏ်လုပ်ငန်းရှင်တစ် ဦး ဖြစ်သည်။ ,She is a banker. ,उनी एक बैंकर हुन्। ,He is a banker. ,Hun er bankmann. ,She's a banker. ,Ndiwabanki. ,I am a banker. ,ସେ ଜଣେ ବ୍ୟାଙ୍କର। ,He is a banker. 
She is a barber.,Mpanety izy. ,He is a barber. ,Dia adalah tukang gunting rambut. ,She is a barber. ,അവൾ ഒരു ബാർബർ ആണ്. ,She is a barber. ,Hija barbiera. ,She is a barber. ,He barber ia. ,A Barber him. ,ती एक नाई आहे. ,She is a barber. ,Тэр үсчин юм. ,She is a barber. ,သူမသည်ဆံပင်ညှပ်သည်။ ,She cuts her hair. ,उनी नाई हुन्। ,She is a barber. ,Hun er barberer. ,She's a barber. ,Ndi wometa. ,He is a barber. ,ସେ ଜଣେ ବାରବାଟୀ | ,She is a barbati 
She is a bartender.,Mpisotro toaka izy. ,He is an alcoholic. ,Dia seorang bartender. ,He is a bartender. ,അവൾ ഒരു ബാർട്ടൻഡറാണ്. ,She is a bartender. ,Hija barman. ,She is a bartender. ,He kaimanaaki ia. ,He is a host. ,ती बारटेंडर आहे. ,She is a bartender. ,Тэр бол бармен. ,He is a bartender. ,သူမသည်ဖျော်ယမကာစပ်သူဖြစ်၏။ ,She is an alcoholic. ,उनी बार्टेन्डर हुन्। ,He is a bartender. ,Hun er bartender. ,She's a bartender. ,Ndiwogulitsa. ,I am a retailer. ,ସେ ଜଣେ ବାର୍ଟମେନ୍ | ,He is a bartender 
She is a biologist.,Mpahay biolojia izy. ,He is a biologist. ,Dia adalah ahli biologi. ,He is a biologist. ,അവൾ ഒരു ബയോളജിസ്റ്റാണ്. ,She is a biologist. ,Hija bijoloġista. ,She is a biologist. ,He tohunga koiora ia. ,He is a biologist. ,ती एक जीवशास्त्रज्ञ आहे. ,She is a biologist. ,Тэр бол биологич. ,He is a biologist. ,သူမသည်ဇီဝဗေဒပညာရှင်ဖြစ်သည်။ ,She is a biologist. ,उनी जीवविज्ञानी हुन्। ,He is a biologist. ,Hun er biolog. ,She's a biologist. ,Ndi biologist. ,I am a biologist. ,ସେ ଜଣେ ଜୀବବିଜ୍ଞାନୀ | ,He is a biologist 
She is a bookkeeper.,Mpandraharaha boky izy. ,He is a bookkeeper. ,Dia adalah penjaga buku. ,He is the bookkeeper. ,അവൾ ഒരു പുസ്തക സൂക്ഷിപ്പുകാരിയാണ്. ,She is a bookkeeper. ,Hija żamma tal-kotba. ,It is bookkeeping. ,He kaipupuri pukapuka ia. ,He is a librarian. ,ती एक बुककीपर आहे. ,She is a bookkeeper. ,Тэр нягтлан бодогч юм. ,He is an accountant. ,သူမဟာစာရင်းကိုင်တစ်ယောက်ပါ။ ,She is an accountant. ,उनी एक बुककीपर हुन्। ,He is a bookkeeper. ,Hun er bokholder. ,She is an accountant. ,Ndiwosunga mabuku. ,He is a librarian. ,ସେ ଜଣେ ବୁକକିପର | ,He is a bookkeeper 
She is a botanist.,Mpamboly botanista izy. ,He is a botanist. ,Dia adalah ahli botani. ,He is a botanist. ,അവൾ ഒരു സസ്യശാസ്ത്രജ്ഞയാണ്. ,She is a botanist. ,Hija botanika. ,It is botanical. ,He kaihoko rongoa ia. ,He is a drug dealer. ,ती एक वनस्पतिशास्त्रज्ञ आहे. ,She is a botanist. ,Тэр бол ургамал судлаач. ,He is a botanist. ,သူမသည်ရုက္ခဗေဒပညာရှင်ဖြစ်သည်။ ,She is a botanist. ,उनी वनस्पति विज्ञ हुन्। ,He is a botanist. ,Hun er botaniker. ,She's a botanist. ,Iye ndi botanist. ,He is a botanist. ,ସେ ଜଣେ ଉଦ୍ଭିଦ ବିଜ୍ଞାନୀ | ,He is a botanist 
She is a builder.,Mpanangana izy. ,He is a founder. ,Dia adalah pembina. ,He is a builder. ,അവൾ ഒരു നിർമ്മാതാവാണ്. ,She is a producer. ,Hija bennejja. ,It is builders. ,He kaihanga ia. ,He is a creator. ,ती एक बिल्डर आहे. ,She is a builder. ,Тэр барилгачин. ,He is a builder. ,သူမသည်ဆောက်သူတစ် ဦး ဖြစ်သည်။ ,She is a builder. ,उनी एक निर्माणकर्ता हुन्। ,He is a builder. ,Hun er en byggmester. ,She's a builder. ,Iye ndi womanga. ,He is the builder. ,ସେ ଜଣେ ବିଲଡର୍ | ,He is a builder 
She is a businessperson.,Mpandraharaha izy. ,He is an entrepreneur. ,Dia adalah ahli perniagaan. ,He is a businessman. ,അവൾ ഒരു ബിസിനസുകാരിയാണ്. ,She is a businesswoman. ,Hija negozjant. ,She is a businessman. ,He tangata pakihi ia. ,He is a business man. ,ती एक व्यावसायिक आहे. ,She is a professional. ,Тэр бол бизнес эрхлэгч. ,He is an entrepreneur. ,သူမသည်စီးပွားရေးသမားတစ် ဦး ဖြစ်သည်။ ,She is a businessman. ,उनी एक व्यवसायी हुन्। ,He is a businessman. ,Hun er en forretningsmann. ,She's a businessman. ,Ndi wochita bizinesi. ,He is a businessman. ,ସେ ଜଣେ ବ୍ୟବସାୟୀ | ,He is a businessman 
She is a butcher.,Mpivaro-kena izy. ,He is a butcher. ,Dia adalah tukang daging. ,He is a butcher. ,അവൾ ഒരു കശാപ്പുകാരിയാണ്. ,She is a butcher. ,Hija biċċiera. ,She is a butcher. ,He kaipatu patu ia. ,He is a murderer. ,ती एक कसाई आहे. ,She is a butcher. ,Тэр махны махчин. ,He is a carnivore. ,သူမသည်အသားသမား ,She is a butcher ,उनी एक कसाई हुन्। ,He is a butcher. ,Hun er slakter. ,She's a butcher. ,Iye ndi wogulitsa nyama. ,He is a butcher. ,ସେ ଜଣେ ବୁଟର୍। ,He is a butler. 
She is a carpenter.,Mpandrafitra izy. ,He is a carpenter. ,Dia adalah tukang kayu. ,He is a carpenter. ,അവൾ ഒരു മരപ്പണിക്കാരിയാണ്. ,She is a carpenter. ,Hija mastrudaxxa. ,She is a carpenter. ,He kamura ia. ,He is a carpenter. ,ती सुतार आहे. ,She is a carpenter. ,Тэр мужаан мэргэжилтэй. ,He is a carpenter. ,သူမသည်လက်သမားတစ် ဦး ဖြစ်သည်။ ,She is a carpenter. ,उनी एक सिकर्मी हुन्। ,He is a carpenter. ,Hun er snekker. ,She's a carpenter. ,Iye ndi mmisiri wa matabwa. ,He is a carpenter. ,ସେ ଜଣେ କାର୍ପେରର। ,He is a carpenter. 
She is a cashier.,Mpanambola izy. ,He is a financier. ,Dia adalah juruwang. ,He is a cashier. ,അവൾ ഒരു കാഷ്യറാണ്. ,She is a cashier. ,Hija kaxxiera. ,She is a cashier. ,He kaituku moni ia. ,He is a lender. ,ती रोखपाल आहे. ,She is a cashier. ,Тэр бол кассчин. ,He is a cashier. ,သူမသည်ငွေရှင်းကောင်တာတွင် ,She is at the checkout counter ,उनी कैशियर हुन्। ,He is a cashier. ,Hun er kasserer. ,She's a cashier. ,Ndiwogula ndalama. ,I am a money buyer. ,ସେ ଜଣେ କ୍ୟାସିଅର୍ | ,He is a cashier 
She is a chef.,Chef izy. ,He is a chef. ,Dia adalah tukang masak. ,He is a cook. ,അവൾ ഒരു പാചകക്കാരിയാണ്. ,She is a cook. ,Hija kok. ,She cooks. ,He Kaitao ia. ,He is a Chef. ,ती एक शेफ आहे. ,She is a chef. ,Тэр бол тогооч. ,She is a cook. ,သူမသည်စားဖိုမှူးတစ် ဦး ဖြစ်သည်။ ,She is a chef. ,उनी शेफ हुन्। ,He is a chef. ,Hun er kokk. ,She's a cook. ,Ndi wophika. ,He is a cook. ,ସେ ଜଣେ ରୋଷେୟା | ,She is a cook 
She is a chemist.,Mpahay simia izy. ,He is a chemist. ,Dia adalah ahli kimia. ,He is a chemist. ,അവൾ ഒരു രസതന്ത്രജ്ഞയാണ്. ,She is a chemist. ,Hija spiżjara. ,She is a pharmacist. ,He matū ia. ,He is a chemical. ,ती एक केमिस्ट आहे. ,She is a chemist. ,Тэр бол химич мэргэжилтэй. ,He is a chemist. ,သူမသည်ဓာတုဗေဒပညာရှင်ဖြစ်သည်။ ,She is a chemist. ,उनी केमिस्ट हुन्। ,He is a chemist. ,Hun er kjemiker. ,She's a chemist. ,Iye ndi katswiri wamagetsi. ,He is an electrician. ,ସେ ଜଣେ ରସାୟନ ବିଜ୍ଞାନୀ | ,He is a chemist 
She is a clergy advisor.,Mpanolotsaina mpitondra fivavahana izy. ,He is a religious counselor. ,Dia adalah penasihat paderi. ,He is the pastor's advisor. ,അവൾ ഒരു പുരോഹിത ഉപദേശകയാണ്. ,She is a priestly counselor. ,Hija konsulent tal-kleru. ,She is a consultant to the clergy. ,He kaitohutohu tohunga ia. ,He is an expert consultant. ,ती पाद्री सल्लागार आहेत. ,She is a pastor counselor. ,Тэр бол шашны зөвлөх юм. ,He is a religious counselor. ,သူမသည်ဓမ္မဆရာအကြံပေးဖြစ်သည်။ ,She is an adviser to the pastor. ,उनी पादरी सल्लाहकार हुन्। ,He is a pastor counselor. ,Hun er geistlig rådgiver. ,She is a spiritual counselor. ,Ndi mlangizi wachipembedzo. ,He is a religious adviser. ,ସେ ଜଣେ ଧର୍ମଗୁରୁ ପରାମର୍ଶଦାତା। ,He is a religious adviser. 
She is a clinical lab technician.,Teknika amin'ny laboratoara klinika izy. ,He is a technician in a clinical laboratory. ,Dia adalah juruteknik makmal klinikal. ,He is a clinical laboratory technician. ,അവൾ ഒരു ക്ലിനിക്കൽ ലാബ് ടെക്നീഷ്യനാണ്. ,She is a Clinical Lab Technician. ,Hija teknika tal-laboratorju kliniku. ,It is a clinical laboratory technique. ,He tohunga hangarau taiwhanga haumanu a ia. ,She is a clinical laboratory technician. ,ती क्लिनिकल लॅब तंत्रज्ञ आहे. ,She is a clinical lab technician. ,Тэрээр клиникийн лабораторийн техникч юм. ,He is a clinical laboratory technician. ,သူမသည်လက်တွေ့ဓာတ်ခွဲခန်းပညာရှင်ဖြစ်သည်။ ,She is a clinical lab technician. ,उनी क्लिनिकल ल्याब टेक्नीशियन हुन्। ,He is a clinical lab technician. ,Hun er klinisk laboratorietekniker. ,She is a clinical laboratory technician. ,Ndi mlangizi wazachipatala. ,She is a medical consultant. ,ସେ ଜଣେ କ୍ଲିନିକାଲ୍ ଲ୍ୟାବ୍ ଟେକ୍ନିସିଆନ୍ | ,He is a clinical lab technician 
She is a coach.,Mpanazatra izy. ,He is a coach. ,Dia adalah jurulatih. ,He is the coach. ,അവൾ ഒരു പരിശീലകയാണ്. ,She is a coach. ,Hija kowċ. ,She is a coach. ,He kaiako ia. ,She is a teacher. ,ती एक प्रशिक्षक आहे. ,She is a coach. ,Тэр дасгалжуулагч. ,He is a coach. ,သူမသည်နည်းပြတစ်ယောက်ဖြစ်သည်။ ,She is a coach. ,उनी एक कोच हुन्। ,He is a coach. ,Hun er trener. ,She's a coach. ,Ndi mphunzitsi. ,He is a teacher. ,ସେ ଜଣେ ପ୍ରଶିକ୍ଷକ | ,He is a coach 
She is a developer.,Mpandrindra izy. ,He is a coordinator. ,Dia adalah pemaju. ,He is a developer. ,അവൾ ഒരു ഡവലപ്പർ ആണ്. ,She is a developer. ,Hija żviluppatur. ,She is a developer. ,He kaiwhakawhanake ia. ,He is a developer. ,ती विकासक आहे. ,She is a developer. ,Тэр бол хөгжүүлэгч юм. ,He is a developer. ,သူမသည် developer ဖြစ်ပါတယ်။ ,She is a developer. ,उनी विकासकर्ता हुन्। ,He is a developer. ,Hun er en utvikler. ,She is a developer. ,Iye ndi wopanga mapulogalamu. ,He is a programmer. ,ସେ ଜଣେ ବିକାଶକାରୀ | ,He is a developer 
She is a dietitian.,Sakafo ara-tsakafo izy. ,It is a nutritious food. ,Dia adalah pakar diet. ,He is a dietitian. ,അവൾ ഒരു ഡയറ്റീഷ്യൻ ആണ്. ,She is a dietitian. ,Hija dietista. ,She is a dietitian. ,He tohunga kai ia. ,He is a food expert. ,ती आहारतज्ञ आहे. ,She is a dietitian. ,Тэрээр хоолны дэглэм барьдаг. ,He is on a diet. ,သူမသည်အာဟာရဗေဒပညာရှင်ဖြစ်သည်။ ,She is a nutritionist. ,उनी डाईटिसियन हुन्। ,He is a dietitian. ,Hun er kostholdsekspert. ,She is a dietitian. ,Ndi katswiri wazakudya. ,He is a nutritionist. ,ସେ ଜଣେ ଡାଏଟିସିଆନ୍ | ,He is a dietitian 
She is an ecologist.,Mpahay ekolojia izy. ,He is an ecologist. ,Dia adalah ahli ekologi. ,He is an ecologist. ,അവൾ ഒരു പരിസ്ഥിതി ശാസ്ത്രജ്ഞയാണ്. ,She is an environmental scientist. ,Hija ekoloġista. ,She is an ecologist. ,He kaiao ia. ,It is ecologically . ,ती एक पर्यावरणशास्त्रज्ञ आहे. ,She is an environmentalist. ,Тэр бол экологич. ,He is an ecologist. ,သူမသည်ဂေဟဗေဒပညာရှင်ဖြစ်သည်။ ,She is an ecologist. ,उनी एक इकोलजिस्ट हुन्। ,She is an ecologist. ,Hun er økolog. ,She is an ecologist. ,Ndi katswiri wazachilengedwe. ,He is a naturalist. ,ସେ ଜଣେ ପରିବେଶବିତ୍ | ,He is an environmentalist 
She is an editor.,Mpanonta izy. ,He is a publisher. ,Dia adalah seorang penyunting. ,He is an editor. ,അവൾ ഒരു പത്രാധിപരാണ്. ,She is an editor. ,Hija editur. ,She is an editor. ,He etita ia. ,He is an editor. ,ती एक संपादक आहे. ,She is an editor. ,Тэр редактор юм. ,He is the editor. ,သူမသည်အယ်ဒီတာတစ် ဦး ဖြစ်သည်။ ,She is an editor. ,उनी एक सम्पादक हुन्। ,He is an editor. ,Hun er redaktør. ,She is an editor. ,Ndi mkonzi. ,It's an editor. ,ସେ ଜଣେ ସମ୍ପାଦକ | ,He is an editor 
She is an electrician.,Herinaratra izy. ,It is electric. ,Dia adalah juruelektrik. ,He is an electrician. ,അവൾ ഒരു ഇലക്ട്രീഷ്യനാണ്. ,She is an electrician. ,Hija elettriċista. ,She is an electrician. ,He hiko ia. ,He is an electrician. ,ती एक इलेक्ट्रिशियन आहे. ,She is an electrician. ,Тэр цахилгаанчин. ,He is an electrician. ,သူမသည်လျှပ်စစ်ဖြစ်သည်။ ,She is an electrician. ,उनी एक इलेक्ट्रिशियन हुन्। ,He is an electrician. ,Hun er elektriker. ,She's an electrician. ,Ndi wamagetsi. ,It's electric. ,ସେ ଜଣେ ବ electric ଦ୍ୟୁତିକ କର୍ମଚାରୀ | ,He is an electrician 
She is an EMT specialist.,Manam-pahaizana manokana momba ny EMT izy. ,He is an EMT specialist. ,Dia adalah pakar EMT. ,He is an EMT expert. ,അവൾ ഒരു ഇ എം ടി സ്പെഷ്യലിസ്റ്റാണ്. ,She is an EMT specialist. ,Hija speċjalista fl-EMT. ,She is an EMT specialist. ,He tohunga EMT ia. ,He is an EMT expert. ,ती ईएमटी तज्ञ आहे. ,She is an EMT expert. ,Тэрээр EMT-ийн мэргэжилтэн юм. ,He is an EMT specialist. ,သူမသည် EMT အထူးကျွမ်းကျင်သူဖြစ်သည်။ ,She is an EMT Specialist. ,उनी एक EMT विशेषज्ञ हुन्। ,He is an EMT specialist. ,Hun er EMT-spesialist. ,She is an EMT specialist. ,Ndi katswiri wa EMT. ,He is an EMT specialist. ,ସେ ଜଣେ EMT ବିଶେଷଜ୍ଞ | ,He is an EMT specialist 
She is a farmer.,Mpamboly izy. ,He is a farmer. ,Dia adalah seorang petani. ,He is a farmer. ,അവൾ ഒരു കർഷകയാണ്. ,She is a farmer. ,Hija bidwi. ,She is a farmer. ,He tangata ahu whenua ia. ,He was a farmer. ,ती एक शेतकरी आहे. ,She is a farmer. ,Тэр фермер. ,He is a farmer. ,သူသည်လယ်သမားတစ် ဦး ဖြစ်သည်။ ,He is a farmer. ,उनी एक किसान हुन्। ,He is a farmer. ,Hun er bonde. ,She's a farmer. ,Iye ndi mlimi. ,He is a farmer. ,ସେ ଜଣେ କୃଷକ | ,He is a farmer 
