original,En2Pashto,Pashto2En,En2Persian,Persian2En,En2Polish,Polish2En,En2Portuguese,Portuguese2En,En2Punjabi,Punjabi2En,En2Romanian,Romanian2En,En2Russian,Russian2En,En2Samoan,Samoan2En,En2Scots_Gaelic,Scots_Gaelic2En,En2Serbian,Serbian2En,En2Sesotho,Sesotho2En,En2Shona,Shona2En
She is a photographer.,هغه عکاسه ده ,She is a photographer ,او یک عکاس است. ,He is a photographer. ,Jest fotografem. ,He is a photographer. ,Ela é fotógrafa. ,She is photographer. ,ਉਹ ਇਕ ਫੋਟੋਗ੍ਰਾਫਰ ਹੈ. ,He is a photographer. ,Este fotograf. ,He's a photographer. ,Она фотограф. ,She is a photographer. ,O ia o se pueata. ,He is a photographer. ,Tha i na dhealbhadair. ,She is a photographer. ,Она је фотограф. ,She is a photographer. ,Ke ralifoto. ,I am a photographer. ,Iye mutori wemifananidzo. ,He is a photographer. 
She is a physician assistant.,هغه د معاون ډاکټر ده. ,She is an assistant doctor. ,او دستیار پزشک است. ,He is a physician's assistant. ,Jest asystentem lekarza. ,He is an assistant physician. ,Ela é uma médica assistente. ,She is a medical assistant. ,ਉਹ ਇੱਕ ਡਾਕਟਰ ਦੀ ਸਹਾਇਕ ਹੈ. ,He is a doctor's assistant. ,Este asistentă medicală. ,She's a nurse. ,Она помощник врача. ,She is a physician assistant. ,O ia o se fomaʻi fesoasoani. ,He is an assistant physician. ,Tha i na neach-cuideachaidh lighiche. ,She is a medical assistant. ,Она је помоћник лекара. ,She is a medical assistant. ,Ke mothusi oa ngaka. ,I am a medical assistant. ,Ndiye chiremba mubatsiri. ,She is a medical assistant. 
She is a physicist.,هغه فزیک پوه ده ,He is a physicist ,او یک فیزیکدان است. ,He is a physicist. ,Ona jest fizykiem. ,She is a physicist. ,Ela é uma física. ,She is a physicist. ,ਉਹ ਇੱਕ ਭੌਤਿਕ ਵਿਗਿਆਨੀ ਹੈ. ,He is a physicist. ,Este fizician. ,He's a physicist. ,Она физик. ,She is a physicist. ,O ia o se fisiki. ,He is a physicist. ,Tha i na eòlaiche-fiosaig. ,She is a physicist. ,Она је физичар. ,She is a physicist. ,Ke fisiks. ,It's physics. ,Iye fizikisi. ,He is a physicist. 
She is a pilot.,هغه یوه پیلوټه ده ,She is a pilot ,او یک خلبان است. ,He is a pilot. ,Ona jest pilotem. ,She is a pilot. ,Ela é uma piloto. ,She is a pilot. ,ਉਹ ਇੱਕ ਪਾਇਲਟ ਹੈ. ,He is a pilot. ,Este pilot. ,He's a pilot. ,Она пилот. ,She's a pilot. ,O ia o se pailate. ,He is a pilot. ,Tha i na pìleat. ,She is a pilot. ,Она је пилот. ,She's a pilot. ,Ke mofofisi oa sefofane. ,I am a pilot. ,Iye mutyairi wendege. ,He is a pilot. 
She is a plumber.,هغه پلمبره ده ,She is a plumber ,او یک لوله کش است. ,He is a plumber. ,Ona jest hydraulikiem. ,She is a plumber. ,Ela é uma encanadora. ,She is a plumber. ,ਉਹ ਇਕ ਪਲੰਬਰ ਹੈ. ,He is a plumber. ,Este instalator. ,He is a plumber. ,Она сантехник. ,She is a plumber. ,O ia o se palama. ,He is a plumber. ,Tha i na plumair. ,She is a plumber. ,Она је водоинсталатер. ,She is a plumber. ,Ke setsebi sa lipeipi tsa metsi. ,I am a plumber. ,Iye ndiye pombi. ,He is the pump. 
She is a politician.,هغه یوه سیاستواله ده ,She is a politician ,او سیاستمدار است. ,He is a politician. ,Ona jest politykiem. ,She is a politician. ,Ela é uma política. ,It is a policy. ,ਉਹ ਇਕ ਰਾਜਨੇਤਾ ਹੈ। ,He is a politician. ,Este politician. ,He's a politician. ,Она политик. ,She is a politician. ,O ia o se polokiki. ,He is a politician. ,Tha i na neach-poilitigs. ,She is a politician. ,Она је политичарка. ,She is a politician. ,Ke ralipolotiki. ,I am a politician. ,Iye wezvematongerwo enyika. ,He is a politician. 
She is a receptionist.,هغه یوه استوګنه ده ,She is a resident ,او یک پذیرنده است. ,He is an acceptor. ,Jest recepcjonistką. ,She is a receptionist. ,Ela é uma recepcionista. ,She is a receptionist. ,ਉਹ ਇੱਕ ਰਿਸੈਪਸ਼ਨਿਸਟ ਹੈ. ,She is a receptionist. ,Este recepționistă. ,She's a receptionist. ,Она администратор. ,She's an administrator. ,O ia o se tagata talimalo. ,He is a host. ,Tha i na neach-fàilteachaidh. ,She is a receptionist. ,Она је рецепционарка. ,She's a receptionist. ,Ke moamoheli oa baeti. ,I am a receptionist. ,Iye anogamuchira vaenzi. ,He is hospitable. 
She is a registered nurse.,هغه راجسټر شوې نرس ده. ,She is a registered nurse. ,او یک پرستار ثبت شده است. ,She is a registered nurse. ,Jest dyplomowaną pielęgniarką. ,She is a registered nurse. ,Ela é uma enfermeira registrada. ,She is a registered nurse. ,ਉਹ ਇੱਕ ਰਜਿਸਟਰਡ ਨਰਸ ਹੈ। ,She is a registered nurse. ,Este asistentă medicală înregistrată. ,She is a registered nurse. ,Она медсестра. ,She is a nurse. ,O ia o se tausimai pasi. ,She is a registered nurse. ,Tha i na banaltram clàraichte. ,She is a registered nurse. ,Она је регистрована медицинска сестра. ,She is a registered nurse. ,Ke mooki ea ngolisitsoeng ka molao. ,She is a registered nurse. ,Iye mukoti akanyoreswa. ,The registered nurse. 
She is a salesman.,هغه یو پلورونکی دی ,He is a salesman ,او یک فروشنده است. ,He is a salesman. ,Jest sprzedawcą. ,He is a dealer. ,Ela é uma vendedora. ,She is a saleswoman. ,ਉਹ ਇਕ ਸੇਲਜ਼ਮੈਨ ਹੈ. ,He is a salesman. ,Este vânzătoare. ,She's a saleswoman. ,Она продавец. ,She is a salesperson. ,O ia o se tagata faʻatau. ,He is a customer. ,Tha i na neach-reic. ,She is a salesman. ,Она је продавац. ,She's a saleswoman. ,Ke morekisi. ,I am a salesperson. ,Iye mutengesi. ,He's a salesman. 
She is a salesperson.,هغه د پلورنې مشره ده ,She is the sales leader ,او فروشنده است. ,He is a salesman. ,Jest sprzedawcą. ,He is a dealer. ,Ela é uma vendedora. ,She is a saleswoman. ,ਉਹ ਇੱਕ ਸੇਲਸਪਰਸਨ ਹੈ. ,She is a salesperson. ,Este vânzătoare. ,She's a saleswoman. ,Она продавец. ,She is a salesperson. ,O ia o se tagata faʻatau. ,He is a customer. ,Tha i na neach-reic. ,She is a salesman. ,Она је продавац. ,She's a saleswoman. ,Ke morekisi. ,I am a salesperson. ,Iye mutengesi. ,He's a salesman. 
She is a scientist.,هغه ساینس پوه ده. ,He is a scientist. ,او دانشمند است. ,He is a scientist. ,Ona jest naukowcem. ,She is a scientist. ,Ela é uma cientista. ,She is a scientist. ,ਉਹ ਇੱਕ ਵਿਗਿਆਨੀ ਹੈ. ,He is a scientist. ,Este om de știință. ,He's a scientist. ,Она ученый. ,She is a scientist. ,O ia o se saienitisi. ,He is a scientist. ,Tha i na neach-saidheans. ,She is a scientist. ,Она је научник. ,She is a scientist. ,Ke ramahlale. ,He is a scientist. ,Iye musayendisiti. ,He is a scientist. 
She is a sea captain.,هغه د سمندر کپتان ده ,He is the captain of the sea ,او یک ناخدای دریا است. ,He is a captain of the sea. ,Jest kapitanem morskim. ,He is a sea captain. ,Ela é uma capitã do mar. ,She is a sea captain. ,ਉਹ ਸਮੁੰਦਰੀ ਕਪਤਾਨ ਹੈ। ,He is the captain of the sea. ,Este căpitan de mare. ,He is a sea captain. ,Она капитан дальнего плавания. ,She is a sea captain. ,O ia o se kapeteni o le sami. ,He is a sea captain. ,Tha i na sgiobair mara. ,She is a sea captain. ,Она је поморски капетан. ,She is a naval captain. ,Ke molaoli oa likepe. ,I am a naval officer. ,Iye kaputeni wegungwa. ,He is the captain of the sea. 
She is a secretary.,هغه منشي ده. ,She is the secretary. ,او منشی است. ,He is a secretary. ,Ona jest sekretarką. ,She is a secretary. ,Ela é uma secretária. ,She is a secretary. ,ਉਹ ਸੈਕਟਰੀ ਹੈ। ,She is the secretary. ,Ea este o secretara. ,She is a secretary. ,Она секретарь. ,She's a secretary. ,O ia o se failautusi. ,He is a secretary. ,Tha i na rùnaire. ,She is a secretary. ,Она је секретарица. ,She's a secretary. ,Ke mongoli. ,I am a writer. ,Iye munyori. ,He is a writer. 
She is a singer.,هغه سندرغاړې ده ,She is a singer ,او یک خواننده است. ,he is a singer. ,Ona jest piosenkarką. ,She is a singer. ,Ela é uma cantora. ,She is a singer. ,ਉਹ ਇਕ ਗਾਇਕਾ ਹੈ। ,She is a singer. ,Ea este o cântăreață. ,She is a singer. ,Она певица. ,She is a singer. ,O ia o se pepese. ,She is a singer. ,Tha i na seinneadair. ,She is a singer. ,Она је певачица. ,She is a singer. ,Ke sebini. ,I am a musician. ,Iye muimbi. ,He's a singer. 
She is a solicitor.,هغه یوه وکیله ده. ,She is a lawyer. ,او وكیل است. ,He is a lawyer. ,Jest prawnikiem. ,He is a lawyer. ,Ela é uma advogada. ,She is a lawyer. ,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ. ,He is a lawyer. ,Este avocat. ,He's a lawyer. ,Она адвокат. ,She is a lawyer. ,O ia o le loia faufautua. ,He is a solicitor. ,Tha i na neach-lagha. ,She is a lawyer. ,Она је адвокат. ,She is a lawyer. ,Ke 'muelli oa molao. ,He is a lawyer. ,Gweta. ,Lawyer. 
She is a speech pathologist.,هغه د وینا رنځپوه ده. ,She is a speech pathologist. ,او یک آسیب شناس گفتاری است. ,He is a speech pathologist. ,Jest logopedą. ,He is a speech therapist. ,Ela é fonoaudióloga. ,She is a speech therapist. ,ਉਹ ਸਪੀਚ ਪੈਥੋਲੋਜਿਸਟ ਹੈ. ,He is a speech pathologist. ,Este logopedă. ,She's a speech therapist. ,Она логопед. ,She is a speech therapist. ,O ia o se failauga faʻapitoa. ,He is a professional speaker. ,Tha i na eòlaiche-cainnt. ,She is an orator. ,Она је логопед. ,She is a speech therapist. ,Ke setsebi sa mafu a puo. ,I am a speech therapist. ,Ndiye chiremba wekutaura. ,He is a speech therapist. 
She is a speech-language pathologist.,هغه د بیان ژبې رنځپوه ده. ,She is a rhetorician. ,او یک آسیب شناس گفتار زبان است. ,He is a speech-language pathologist. ,Jest logopedą. ,He is a speech therapist. ,Ela é fonoaudióloga. ,She is a speech therapist. ,ਉਹ ਭਾਸ਼ਣ ਦੀ ਭਾਸ਼ਾ ਦਾ ਇਕ ਰੋਗ ਵਿਗਿਆਨੀ ਹੈ. ,He is a pathologist of speech language. ,Este patolog-vorbitor. ,He is a pathologist-speaker. ,Она патолог речи. ,She is a speech pathologist. ,O ia o se failauga-gagana pathologist. ,He is a speaker-language pathologist. ,Tha i na eòlaiche-cainnt cainnt. ,She is a speech therapist. ,Она је патолог говорног језика. ,She is a pathologist of spoken language. ,Ke setsebi sa puo ea puo. ,I am a linguist. ,Iye - mutauro-mutauro pathologist. ,He - a language-language pathologist. 
She is a statistician.,هغه احصاییه ده ,He is a statistician ,او آماری است. ,He is a statistician. ,Jest statystykiem. ,He is a statistician. ,Ela é uma estatística. ,She is a statistic. ,ਉਹ ਇੱਕ ਅੰਕੜਾ ਹੈ. ,That's a statistic. ,Este statistică. ,It's statistics. ,Она статистик. ,She's a statistician. ,O ia o se numera. ,He is a number. ,Tha i na neach-staitistig. ,She is a statistician. ,Она је статистичар. ,She is a statistician. ,Ke setsebi sa lipalo-palo. ,I am a statistician. ,Iye muverengi. ,He is a reader. 
She is a surveyor.,هغه یوه سروی ده. ,He is a surveyor. ,او نقشه بردار است. ,He is a surveyor. ,Ona jest geodetą. ,She is a surveyor. ,Ela é uma agrimensora. ,She is a surveyor. ,ਉਹ ਇਕ ਨਿਰੀਖਕ ਹੈ. ,He is an observer. ,Este topograf. ,He's a surveyor. ,Она геодезист. ,She is a surveyor. ,O ia o se fuafanua. ,He is a surveyor. ,Tha i na neach-tomhais. ,She is a surveyor. ,Она је геодет. ,She is a surveyor. ,Ke mofuputsi. ,I am a researcher. ,Iye muongorori. ,He is a detective. 
She is a therapist.,هغه یو معالجه ده. ,She is a therapist. ,او یک درمانگر است. ,He is a therapist. ,Jest terapeutką. ,She is a therapist. ,Ela é uma terapeuta. ,She is a therapist. ,ਉਹ ਇੱਕ ਚਿਕਿਤਸਕ ਹੈ. ,He is a physician. ,Este terapeut. ,He's a therapist. ,Она терапевт. ,She is a therapist. ,O ia o se fomai. ,He is a doctor. ,Tha i na leasaiche. ,She is a therapist. ,Она је терапеут. ,She is a therapist. ,Ke setsebi. ,I am an expert. ,Ndiye murapi. ,He is the healer. 
She is an undertaker.,هغه ژمنه کونکی ده ,She is promising ,او یک مأمور کار است. ,He is a labor officer. ,Ona jest grabarzem. ,She is the undertaker. ,Ela é uma funerária. ,She's a funeral director. ,ਉਹ ਇਕ ਅੰਡਰਟੇਕਰ ਹੈ. ,He is an Undertaker. ,Este funerară. ,She's a funeral. ,Она гробовщик. ,She's an undertaker. ,O ia o se undertaker. ,He is an undertaker. ,Tha i na adhlacair. ,She is a gravedigger. ,Она је погребник. ,She is an undertaker. ,Ke moeki. ,I am a traitor. ,Iye mutengesi. ,He's a salesman. 
She is an urban planner.,هغه ښاري پلان جوړونکې ده. ,She is an urban planner. ,او یک برنامه ریز شهری است. ,He is an urban planner. ,Jest urbanistką. ,She is an urban planner. ,Ela é uma planejadora urbana. ,She is an urban planner. ,ਉਹ ਇੱਕ ਸ਼ਹਿਰੀ ਯੋਜਨਾਬੰਦੀ ਕਰਨ ਵਾਲੀ ਹੈ. ,She is an urban planner. ,Ea este un urbanist. ,She is an urban planner. ,Она урбанист. ,She is an urbanist. ,O ia o se taulaga fuafua. ,He is a planned town. ,Tha i na dealbhaiche bailteil. ,She is an urban designer. ,Она је урбаниста. ,She is an urban planner. ,Ke moralo oa litoropo. ,It is an urban plan. ,Iye anoronga zvemaguta. ,He plans the cities. 
She is a videographer.,هغه یوه ویډیوګرافر ده ,She is a videographer ,او فیلمبردار است. ,He is a cameraman. ,Jest filmowcem. ,He is a filmmaker. ,Ela é cinegrafista. ,She is a videographer. ,ਉਹ ਇਕ ਵੀਡੀਓਗ੍ਰਾਫਰ ਹੈ. ,He is a videographer. ,Este videograf. ,He's a videographer. ,Она видеооператор. ,She is a videographer. ,O ia o se videographer. ,He is a videographer. ,Tha i na videographer. ,She is a videographer. ,Она је видеограф. ,She is a videographer. ,Ke sebini sa video. ,I am a video artist. ,Iye vhidhiyo vhidhiyo. ,He’s a video player. 
She is a virologist.,هغه یوه ویروژیست ده. ,She is a virologist. ,وی یک ویروس شناس است. ,He is a virologist. ,Jest wirusologiem. ,He is a virologist. ,Ela é virologista. ,She is a virologist. ,ਉਹ ਇਕ ਵਾਇਰਲੋਜਿਸਟ ਹੈ. ,He is a virologist. ,Este virologă. ,She's a virologist. ,Она вирусолог. ,She is a virologist. ,O ia o se virologist. ,He is a virologist. ,Tha i na virologist. ,She is a virologist. ,Она је виролог. ,She is a virologist. ,Ke ngaka ea likokoana-hloko. ,I am a pathologist. ,Iye ari virologist. ,She is a virologist. 
She is a visual artist.,هغه لید لیدونکی دی. ,He is a visionary. ,او یک هنرمند تجسمی است. ,He is a visual artist. ,Jest artystką wizualną. ,She is a visual artist. ,Ela é uma artista visual. ,She is a visual artist. ,ਉਹ ਇਕ ਦਰਸ਼ਨੀ ਕਲਾਕਾਰ ਹੈ. ,He is a visual artist. ,Este un artist vizual. ,He is a visual artist. ,Она визуальный художник. ,She is a visual artist. ,O ia o se atisi ata. ,He is an artist. ,Tha i na neach-ealain lèirsinneach. ,She is a visual artist. ,Она је визуелна уметница. ,She is a visual artist. ,Ke sebini sa pono. ,He is a visionary singer. ,Iye muoni anoona. ,He the seer sees. 
She is a waiter.,هغه منتظر ده ,She is waiting ,او پیشخدمت است. ,He is a waitress. ,Ona jest kelnerem. ,She is a waiter. ,Ela é uma garçonete. ,She is a waitress. ,ਉਹ ਇੱਕ ਵੇਟਰ ਹੈ. ,He is a waiter. ,Este chelner. ,He's a waiter. ,Она официант. ,She is a waiter. ,O ia o se tausi. ,She is a caregiver. ,Tha i na neach-frithealaidh. ,She is a waitress. ,Она је конобар. ,She's a waiter. ,Ke mofani oa lijo. ,I am a food supplier. ,Iye hweta. ,He is a waiter. 
She is a web designer.,هغه یوه ویب ڈیزائنر ده ,She is a web designer ,او یک طراح وب است. ,He is a web designer. ,Jest projektantem stron internetowych. ,He is a web designer. ,Ela é uma web designer. ,She is a web designer. ,ਉਹ ਇੱਕ ਵੈੱਬ ਡਿਜ਼ਾਈਨਰ ਹੈ. ,She is a web designer. ,Este designer de web. ,He is a web designer. ,Она веб-дизайнер. ,She is a web designer. ,O ia o se web designer. ,She is a web designer. ,Tha i na dealbhaiche lìn. ,She is a web designer. ,Она је веб дизајнер. ,She is a web designer. ,Ke moqapi oa webo. ,I am a web designer. ,Iye webhu dhizaini. ,She's a web designer. 
She is a web developer.,هغه د ویب پرمختیا کونکی ده ,She is a web developer ,او یک توسعه دهنده وب است. ,He is a web developer. ,Jest programistą stron internetowych. ,He is a website developer. ,Ela é uma desenvolvedora web. ,She is a web developer. ,ਉਹ ਇੱਕ ਵੈੱਬ ਵਿਕਾਸਕਾਰ ਹੈ. ,He is a web developer. ,Ea este dezvoltator web. ,She is a web developer. ,Она веб-разработчик. ,She is a web developer. ,O ia o se web developer. ,He is a web developer. ,Tha i na leasaiche lìn. ,She is a web developer. ,Она је веб програмер. ,She is a web developer. ,Ke moqapi oa webo. ,I am a web designer. ,Iye mugadziri wewebhu. ,He is a web developer. 
She is a zoologist.,هغه ژوولوژیسته ده ,She is a zoologist ,او یک جانورشناس است. ,He is a zoologist. ,Jest zoologiem. ,He is a zoologist. ,Ela é uma zoóloga. ,She is a zoologist. ,ਉਹ ਇੱਕ ਜੀਵ-ਵਿਗਿਆਨੀ ਹੈ। ,He is a biologist. ,Ea este zoologă. ,She's a zoologist. ,Она зоолог. ,She is a zoologist. ,O ia o se zoologist. ,He is a zoologist. ,Tha i na eòlaiche-sùla. ,She is an ophthalmologist. ,Она је зоолог. ,She is a zoologist. ,Ke setsebi sa liphoofolo. ,I am a veterinarian. ,Iye chiremba wezvemhuka. ,He is a veterinarian. 
