original,En2Sindhi,Sindhi2En,En2Sinhalese,Sinhalese2En,En2Slovak,Slovak2En,En2Slovenian,Slovenian2En,En2Somali,Somali2En,En2Spanish,Spanish2En,En2Sundanese,Sundanese2En,En2Swahili,Swahili2En,En2Swedish,Swedish2En,En2Tagalog,Tagalog2En,En2Tajik,Tajik2En,En2Tamil,Tamil2En
She is an advocate.,هوءَ وڪيل آهي. ,She is a lawyer ,ඇය නීති oc වරියකි. ,She is a lawyer. ,Je advokátkou. ,She is a lawyer. ,Je zagovornica. ,She is an advocate. ,Iyadu waa u dooda. ,She is an advocate. ,Ella es una defensora. ,She is an advocate. ,Anjeunna mangrupikeun pangacara. ,He is a lawyer. ,Yeye ni wakili. ,He is a lawyer. ,Hon är en advokat. ,She's a lawyer. ,Siya ay isang tagapagtaguyod. ,He is an advocate. ,Вай адвокат аст. ,She is a lawyer. ,அவள் ஒரு வக்கீல். ,She is a lawyer. 
She is an agriculturist.,هوءَ زراعت ڪندڙ آهي. ,She is a farmer. ,ඇය ගොවියෙකි. ,She is a farmer. ,Je poľnohospodárkou. ,She is an farmer. ,Je kmetičarka. ,She is a farmer. ,Iyadu waa nin beeralay ah. ,She is a farmer. ,Ella es agricultora. ,She is a farmer. ,Anjeunna ahli pertanian. ,He is an agricultural expert. ,Yeye ni mtaalam wa kilimo. ,He is an agricultural expert. ,Hon är jordbrukare. ,She is a farmer. ,Siya ay isang magsasaka. ,He is a farmer. ,Вай кишоварз аст. ,She is a farmer. ,அவள் ஒரு விவசாயி. ,She is a farmer. 
She is an aircraft pilot.,هوءَ جهاز جو پائلٽ آهي. ,She is an aircraft pilot. ,ඇය ගුවන් නියමුවෙකි. ,She is a pilot. ,Je pilotkou lietadla. ,She is a pilot. ,Je pilot letala. ,He is an airplane pilot. ,Iyadu waa duuliye diyaarad. ,She is a pilot. ,Ella es piloto de avión. ,She is an airplane pilot. ,Anjeunna mangrupikeun pilot pesawat. ,He is an aircraft pilot. ,Yeye ni rubani wa ndege. ,He is a pilot. ,Hon är flygplanpilot. ,She's an airplane pilot. ,Siya ay isang piloto ng sasakyang panghimpapawid. ,He was an aircraft pilot. ,Вай як халабони ҳавопаймо аст. ,She is a pilot. ,அவர் ஒரு விமான பைலட். ,He is an airline pilot. 
She is an artist.,هوءَ فنڪار آهي. ,She is an artist ,ඇය කලාකරුවෙකි. ,She is an artist. ,Je umelkyňou. ,She is an artist. ,Je umetnica. ,She is an artist. ,Iyadu waa fanaan. ,She is an artist. ,Ella es una artista. ,She is an artist. ,Anjeunna seniman. ,He is an artist. ,Yeye ni msanii. ,He is an artist. ,Hon är en artist. ,She's an artist. ,Siya ay isang artista. ,He is an actor. ,Вай рассом аст. ,She is an artist. ,அவள் ஒரு கலைஞன். ,She is an artist. 
She is an astronomer.,هوءَ ڪلاسيڪل آهي. ,She is classical ,ඇය තාරකා විද්‍යා r යෙකි. ,She is an astronomer. ,Je astronómka. ,She is an astronomer. ,Je astronom. ,He's an astronomer. ,Waxay tahay aqoonyahan cirbixiyeen ah. ,She is an astronomer. ,Ella es astrónoma. ,She is an astronomer. ,Anjeunna mangrupikeun astronom. ,He is an astronomer. ,Yeye ni mtaalam wa nyota. ,He is an astronomer. ,Hon är astronom. ,She's an astronomer. ,Siya ay isang astronomo. ,He is an astronomer. ,Вай астроном аст. ,She is an astronomer. ,அவள் ஒரு வானியலாளர். ,She is an astronomer. 
She is an attorney.,هوءَ هڪ وڪيل آهي. ,She is a lawyer. ,ඇය නීති orney වරියකි. ,She is a law orney. ,Je právnička. ,She's a lawyer. ,Je odvetnica. ,She's a lawyer. ,Iyadu waa qareen. ,She is a lawyer. ,Ella es abogada. ,She is a lawyer. ,Anjeunna pengacara. ,He is a lawyer. ,Yeye ni wakili. ,He is a lawyer. ,Hon är advokat. ,She's a lawyer. ,Siya ay isang abugado. ,He is a lawyer. ,Вай адвокат аст. ,She is a lawyer. ,அவள் ஒரு வழக்கறிஞர். ,She is a lawyer. 
She is an audiologist.,هوءَ هڪ آڊيولوجسٽ آهي. ,She is an oncologist. ,ඇය ශ්‍රවණ විද්‍යා .වරියකි. ,She is an audiologist. ,Je audiologička. ,She is an audiologist. ,Je avdiologinja. ,She's an audiologist. ,Iyadu waa aqoonyahan cilmiga maqalka. ,She is an audiologist. ,Ella es audióloga. ,She is an audiologist. ,Anjeunna mangrupikeun audiologis. ,He is an audiologist. ,Yeye ni mtaalam wa kusikia. ,He is a hearing expert. ,Hon är audiolog. ,She's an audiologist. ,Siya ay isang audiologist. ,He is an audiologist. ,Вай аудиолог аст. ,She is an audiologist. ,அவள் ஆடியோலஜிஸ்ட். ,She is an audiologist. 
She is a banker.,هوءَ هڪ بينڪر آهي. ,She is a banker. ,ඇය බැංකුකරුවෙකි. ,She is a banker. ,Je bankárka. ,She's a banker. ,Ona je bankirka. ,She's a banker. ,Iyadu waa bangi. ,She is a banker. ,Ella es banquera. ,She is a banker. ,Anjeunna bankir. ,He is a banker. ,Yeye ni benki. ,He is a banker. ,Hon är bankir. ,She's a banker. ,Siya ay isang bangkero. ,He is a banker. ,Вай бонкдор аст. ,She is a banker. ,அவள் ஒரு வங்கியாளர். ,She is a banker. 
She is a barber.,هوءَ حجام آهي. ,She is a barber. ,ඇය බාබර් කෙනෙක්. ,She is a barber. ,Je holička. ,She's a girl. ,Ona je brivec. ,She's a barber. ,Iyadu waa timo-jare. ,She is a hairdresser. ,Ella es barbero. ,She is a barber. ,Anjeunna tukang cukur. ,He is a barber. ,Yeye ni kinyozi. ,He is a barber. ,Hon är en barberare. ,She's a barber. ,Siya ay isang barbero. ,He is a barber. ,Вай сартарош аст. ,She is a barber. ,அவள் ஒரு முடிதிருத்தும். ,She is a barber. 
She is a bartender.,هوءَ بارٽ ٺاهيندڙ آهي. ,She's a Bart maker. ,ඇය බාර්එකක්. ,She is a bar. ,Je to barmanka. ,She's a bartender. ,Je natakarica. ,She's a waitress. ,Iyadu waa baarka. ,She is the bar. ,Ella es camarera. ,She is a waitress. ,Anjeunna palayan bar. ,He is a bar waiter. ,Yeye ni mhudumu wa baa. ,She is a bartender. ,Hon är bartender. ,She's a bartender. ,Siya ay isang bartender. ,He is a bartender. ,Вай бармен аст. ,She is a bartender. ,அவள் ஒரு மதுக்கடை. ,She is a bartender. 
She is a biologist.,هوءَ حياتيات آهي. ,She is biological. ,ඇය ජීව විද්‍යා .යෙකි. ,She is a biologist. ,Je biologička. ,She's a biologist. ,Je biologinja. ,She is a biologist. ,Iyadu waa aqoonyahan cilmiga cilmiga xoolaha. ,She is a veterinarian. ,Ella es bióloga. ,She is a biologist. ,Anjeunna ahli biologi. ,He is a biologist. ,Yeye ni biolojia. ,He is a biologist. ,Hon är biolog. ,She's a biologist. ,Siya ay isang biologist. ,He is a biologist. ,Вай биолог аст. ,She is a biologist. ,அவள் ஒரு உயிரியலாளர். ,She is a biologist. 
She is a bookkeeper.,هوءَ ڪتاب ساز آهي. ,She is a bookmaker. ,ඇය පොත් තබන්නියකි. ,She is a bookkeeper. ,Je účtovníčka. ,She's an accountant. ,Je knjigovodka. ,She's an accountant. ,Iyadu waa buug-yare. ,She is a pamphlet. ,Ella es contadora. ,She is an accountant. ,Anjeunna juru buku. ,He is a bookmaker. ,Yeye ni mtunza vitabu. ,He is a bookkeeper. ,Hon är bokhållare. ,She's a bookkeeper. ,Isa siyang bookkeeper. ,He is a bookkeeper. ,Вай бухгалтер аст. ,She is an accountant. ,அவள் ஒரு புத்தகக் காவலன். ,She is a bookkeeper. 
She is a botanist.,هوءَ هڪ botanist آهي. ,She is a botanist. ,ඇය උද්භිද විද්‍යා ist වරියකි. ,She is a botanist. ,Je botanička. ,She is a botanist. ,Je botaničarka. ,She is a botanist. ,Waxay tahay cilmiga cilmiga dhirta. ,She is an anthropologist. ,Ella es botánica. ,She is a botanist. ,Anjeunna ahli botani. ,He is a botanist. ,Yeye ni mtaalam wa mimea. ,He is a botanist. ,Hon är en botaniker. ,She's a botanist. ,Siya ay isang botanist. ,He is a botanist. ,Вай ботаник аст. ,She is a botanist. ,அவள் ஒரு தாவரவியலாளர். ,She is a botanist. 
She is a builder.,هوءَ بلڊر آهي. ,She is the builder ,ඇය ඉදි කරන්නියකි. ,She is a builder. ,Je staviteľka. ,She is a builder. ,Je graditeljica. ,She is a builder. ,Iyadu waa dhise. ,She is a builder. ,Ella es constructora. ,She is a builder. ,Anjeunna tukang. ,He was last. ,Yeye ni mjenzi. ,He is a builder. ,Hon är en byggare. ,She's a builder. ,Siya ay isang tagabuo. ,He is a builder. ,Вай бинокор аст. ,She is a builder. ,அவள் ஒரு பில்டர். ,She is a builder. 
She is a businessperson.,هوءَ ڪاروباري عورت آهي. ,She is a business woman. ,ඇය ව්‍යාපාරිකයෙකි. ,She is a businessman. ,Je podnikateľka. ,She is an businesswoman. ,Je podjetnica. ,She is an entrepreneur. ,Iyadu waa ganacsade. ,She is a businessman. ,Ella es una empresaria. ,She is a businesswoman. ,Anjeunna pangusaha. ,He is a businessman. ,Yeye ni mfanyabiashara. ,He is a businessman. ,Hon är en affärsperson. ,She is a business person. ,Isa siyang negosyante. ,He is a businessman. ,Вай соҳибкор аст. ,She is an entrepreneur. ,அவள் ஒரு தொழிலதிபர். ,She is an entrepreneur. 
She is a butcher.,هوءَ قصاب آهي. ,She is a butcher. ,ඇය මස් කපන්නියකි. ,She is a butcher. ,Je mäsiarka. ,She is a butcher. ,Ona je mesnica. ,She's a butcher. ,Iyadu waa kawaanle. ,She is a butcher. ,Ella es carnicero. ,She is a butcher. ,Anjeunna tukang jagal. ,He was a butcher. ,Yeye ni mchinjaji. ,He is a butcher. ,Hon är en slaktare. ,She's a butcher. ,Butcher siya. ,He is a butcher. ,Вай қассоб аст. ,She is a butcher. ,அவள் ஒரு கசாப்புக்காரன். ,She is a butcher. 
She is a carpenter.,هوءَ ڪاريگر آهي. ,She is a manufacturer ,ඇය වඩු කාර්මිකයෙකි. ,She is a carpenter. ,Je stolárka. ,She is a carpenter. ,Je mizar. ,He is a carpenter. ,Iyadu waa nijaar. ,She is a carpenter. ,Ella es carpintera. ,She is a carpenter. ,Anjeunna tukang kayu. ,He was a carpenter. ,Yeye ni seremala. ,He is a carpenter. ,Hon är en snickare. ,She's a carpenter. ,Siya ay isang karpintero. ,He is a carpenter. ,Вай дуредгар аст. ,She is a carpenter. ,அவள் ஒரு தச்சு. ,She is a carpenter. 
She is a cashier.,هوءَ ڪئسيئر آهي. ,She is cashier ,ඇය මුදල් අයකැමියකි. ,She is a cashier. ,Je pokladníčka. ,She's a cashier. ,Je blagajnica. ,She's the cashier. ,Iyadu waa khasnaji. ,She is a treasurer. ,Ella es cajera. ,She's a cashier. ,Anjeunna kasir. ,He is the cashier. ,Yeye ni mfadhili. ,He is a benefactor. ,Hon är kassör. ,She's a treasurer. ,Siya ay isang kahera. ,She is a cashier. ,Вай кассир аст. ,She is a cashier. ,அவள் ஒரு காசாளர். ,She is a cashier. 
She is a chef.,هوءَ شيف آهي. ,She is the chef ,ඇය සූපවේදියෙකි. ,She is a chef. ,Je kuchárka. ,She's a cook. ,Je kuharica. ,She's a cook. ,Iyadu waa kuugga. ,She is your chef. ,Ella es Chef. ,She is a Chef. ,Anjeunna koki. ,He is a chef. ,Yeye ni mpishi. ,She is a cook. ,Hon är kock. ,She's a cook. ,Siya ay isang chef. ,He is a chef. ,Вай ошпаз аст. ,She is a cook. ,அவள் ஒரு சமையல்காரர். ,She is a cook. 
She is a chemist.,هوءَ ڪيمسٽ آهي. ,She is chemistry ,ඇය රසායන mist යෙකි. ,She is a chemical mist. ,Je chemička. ,She's a chemist. ,Je kemik. ,He's a chemist. ,Iyadu waa farmashiiste. ,She is a pharmacist. ,Ella es química. ,She is a chemist. ,Anjeunna ahli kimia. ,He is a chemist. ,Yeye ni mkemia. ,He is a chemist. ,Hon är kemist. ,She's a chemist. ,Siya ay isang chemist. ,He is a chemist. ,Вай кимиёшинос аст. ,She is a chemist. ,அவள் ஒரு வேதியியலாளர். ,She is a chemist. 
She is a clergy advisor.,هوءَ ڪلارڪي صلاحڪار آهي. ,She is a Clarkie consultant. ,ඇය පූජ්‍ය උපදේශිකාවකි. ,She is a Rev. Counselor. ,Je duchovnou poradkyňou. ,She is a spiritual counselor. ,Je svetovalka duhovščine. ,She is a clergy counselor. ,Iyadu waa lataliye wadaad. ,She is an advisor to a priest. ,Ella es asesora del clero. ,She is a clergy advisor. ,Anjeunna mangrupikeun panaséhat pendeta. ,He is an advisor to the pastor. ,Yeye ni mshauri wa makasisi. ,He is a counselor to the clergy. ,Hon är prästrådgivare. ,She is a priest's counselor. ,Siya ay isang tagapayo ng klero. ,He was a clergy counselor. ,Вай мушовири рӯҳониён аст. ,He is a counselor to the clergy. ,அவர் ஒரு மதகுரு ஆலோசகர். ,He is a clerical counselor. 
She is a clinical lab technician.,هوءَ هڪ ڪلينڪل ليب ٽيڪنيشن آهي. ,She is a clinical lab technician. ,ඇය සායනික විද්‍යාගාර ශිල්පිනියකි. ,She is a clinical laboratory technician. ,Je technikom klinickej laboratória. ,He is a clinical laboratory technician. ,Je klinična laboratorijska tehnica. ,It is a clinical laboratory technique. ,Iyadu waa farsamo yaqaan shaybaar. ,She is a laboratory technician. ,Ella es técnica de laboratorio clínico. ,She is a clinical laboratory technician. ,Anjeunna mangrupakeun teknisi lab klinis. ,He is a clinical lab technician. ,Yeye ni fundi wa maabara ya kliniki. ,He is a clinical laboratory technician. ,Hon är klinisk laboratorietekniker. ,She is a clinical laboratory technician. ,Siya ay isang technician ng klinikal na lab. ,He is a clinical lab technician. ,Вай лаборанти лабораторӣ аст. ,She is a laboratory assistant. ,அவர் ஒரு மருத்துவ ஆய்வக தொழில்நுட்ப வல்லுநர். ,He is a medical laboratory technician. 
She is a coach.,هوءَ ڪوچ آهي. ,She is the coach ,ඇය පුහුණුකරුවෙකි. ,She is a coach. ,Je trénerkou. ,She is a coach. ,Je trenerka. ,She's a tracksuit. ,Iyadu waa tababare. ,She is a coach. ,Ella es entrenadora. ,She is a coach. ,Anjeunna palatih. ,He is a coach. ,Yeye ni kocha. ,He is a coach. ,Hon är en tränare. ,She's a coach. ,Siya ay isang coach. ,He is a coach. ,Вай мураббӣ аст. ,She is a coach. ,அவள் ஒரு பயிற்சியாளர். ,She is a coach. 
She is a developer.,هوءَ ترقي ڪندڙ آهي. ,She is a developer. ,ඇය සංවර්ධකයෙකි. ,She is a developer. ,Je vývojárka. ,She is a developer. ,Ona je razvijalec. ,She is a developer. ,Iyadu waa horumariyaha. ,She is the developer. ,Ella es desarrolladora. ,She is a developer. ,Anjeunna pangembang. ,He is a developer. ,Yeye ni msanidi programu. ,He is a software developer. ,Hon är en utvecklare. ,She is a developer. ,Siya ay isang developer. ,He is a developer. ,Вай таҳиягар аст. ,She is a developer. ,அவள் ஒரு டெவலப்பர். ,She is a developer. 
She is a dietitian.,هوءَ ماہر غذا آهي. ,She is a dietitian. ,ඇය ආහාරවේදියෙකි. ,She is a dietitian. ,Je dietologička. ,She is a dietitian. ,Je dietetik. ,I am a dietitian. ,Iyadu waa cunto-yaqaan. ,She is a chef. ,Ella es dietista. ,She is a dietitian. ,Anjeunna ahli diet. ,He is a dietitian. ,Yeye ni mtaalam wa lishe. ,She is a nutritionist. ,Hon är dietist. ,She's a dietitian. ,Siya ay isang dietitian. ,He is a dietitian. ,Вай парҳезшинос аст. ,She is a dietitian. ,அவள் ஒரு டயட்டீஷியன். ,She is a dietitian. 
She is an ecologist.,هوءَ ماحوليات جي ماهر آهي. ,She is an environmental expert. ,ඇය පරිසරවේදියෙකි. ,She is an environmentalist. ,Je ekológka. ,It's ecology. ,Je ekologinja. ,She is an ecologist. ,Iyadu waa aqoon yahan cilmiga deegaanka. ,She is an environmental scientist. ,Ella es ecologista. ,She is an ecologist. ,Anjeunna ékologis. ,He is ecological. ,Yeye ni mwanaikolojia. ,He is a psychologist. ,Hon är ekolog. ,She's an ecologist. ,Siya ay isang ecologist. ,He is an ecologist. ,Вай эколог аст. ,She is an ecologist. ,அவள் ஒரு சூழலியல் நிபுணர். ,She is an ecologist. 
She is an editor.,هوءَ ايڊيٽر آهي. ,She is the editor. ,ඇය සංස්කාරකවරියකි. ,She is an editor. ,Je redaktorkou. ,She is an editor. ,Je urednica. ,She is an editor. ,Iyadu waa tifaftire. ,She is an editor. ,Ella es editora. ,She is an editor. ,Anjeunna mangrupikeun éditor. ,He is an editor. ,Yeye ni mhariri. ,He is an editor. ,Hon är redaktör. ,She is an editor. ,Siya ay isang editor. ,He is an editor. ,Вай муҳаррир аст. ,She is an editor. ,அவள் ஒரு ஆசிரியர். ,She is a teacher. 
She is an electrician.,هوءَ هڪ بجلي واري آهي. ,She is an electrician. ,ඇය විදුලි කාර්මිකයෙකි. ,She is an electrician. ,Je elektrikárka. ,She is an electrician. ,Je električarka. ,She's an electrician. ,Iyadu waa koronto yaqaan. ,She is an electrician. ,Ella es electricista. ,She is an electrician. ,Anjeunna listrik. ,He is electric. ,Yeye ni fundi umeme. ,He is an electrician. ,Hon är elektriker. ,She's an electrician. ,Siya ay isang elektrisista. ,He is an electrician. ,Вай электрик аст. ,She is an electrician. ,அவள் எலக்ட்ரீஷியன். ,She is an electrician. 
She is an EMT specialist.,هوءَ اي ايم ٽي ماهر آهي. ,She is an EMT specialist. ,ඇය ඊඑම්ටී විශේෂ ist වරියකි. ,She is an EMT Specialist. ,Je špecialistkou na EMT. ,She is an EMT specialist. ,Je strokovnjakinja za EMT. ,She is an EMT expert. ,Iyadu waa khabiir ku takhasustay EMT. ,She is an EMT specialist. ,Ella es especialista en EMT. ,She is an EMT specialist. ,Anjeunna spesialis EMT. ,He is an EMT specialist. ,Yeye ni mtaalam wa EMT. ,He is an EMT specialist. ,Hon är EMT-specialist. ,She is an EMT specialist. ,Siya ay isang dalubhasa sa EMT. ,He is an EMT expert. ,Вай мутахассиси EMT мебошад. ,She is an EMT specialist. ,அவர் ஒரு EMT நிபுணர். ,He is an EMT expert. 
She is a farmer.,هوءَ زراعت ڪندڙ آهي. ,She is a farmer. ,ඇය ගොවියෙකි. ,She is a farmer. ,Je to farmárka. ,She's a farmer. ,Je kmetica. ,She is a farmer. ,Iyadu waa beeraley. ,She is a farmer. ,Ella es granjera. ,She is a farmer. ,Anjeunna patani. ,He is a farmer. ,Yeye ni mkulima. ,He is a farmer. ,Hon är jordbrukare. ,She is a farmer. ,Siya ay isang magsasaka. ,He is a farmer. ,Вай деҳқон аст. ,She is a farmer. ,அவள் ஒரு விவசாயி. ,She is a farmer. 
