original,En2Tatar,Tatar2En,En2Telugu,Telugu2En,En2Thai,Thai2En,En2Turkish,Turkish2En,En2Turkmen,Turkmen2En,En2Ukrainian,Ukrainian2En,En2Uyghur,Uyghur2En,En2Uzbek,Uzbek2En,En2Vietnamese,Vietnamese2En,En2Welsh,Welsh2En,En2Xhosa,Xhosa2En,En2Yiddish,Yiddish2En
She is a photographer.,Ул фотограф. ,Street photographer. ,ఆమె ఫోటోగ్రాఫర్. ,She is a photographer. ,เธอเป็นช่างภาพ ,She is a photographer ,O bir fotoğrafçı. ,"[""He's a photographer."", ""She's a photographer.""]",Ol suratçy. ,He is a photographer. ,Вона фотограф. ,She is a photographer. ,ئۇ بىر فوتوگراف. ,He is a photographer. ,U fotograf. ,In the photographer. ,Cô ấy là một nhiếp ảnh gia. ,She is a photographer. ,Mae hi'n ffotograffydd. ,She is a photographer. ,Ungumfoti. ,She is a photographer. ,זי איז אַ פאָטאָגראַף. ,She is a photographer. 
She is a physician assistant.,Ул табиб ярдәмчесе. ,She is an assistant physician. ,ఆమె ఫిజిషియన్ అసిస్టెంట్. ,She is a Physician Assistant. ,เธอเป็นผู้ช่วยแพทย์ ,She is a physician assistant ,Hekim asistanıdır. ,"['He is a physician assistant.', 'She is a physician assistant.']",Lukman kömekçisi. ,Assistant Physician. ,Вона є помічником лікаря. ,She is a doctor's assistant. ,ئۇ دوختۇرنىڭ ياردەمچىسى. ,She is an assistant physician. ,U shifokor yordamchisi. ,He is a medical assistant. ,Cô ấy là một trợ lý bác sĩ. ,She is an assistant doctor. ,Mae hi'n gynorthwyydd meddyg. ,She is a physician's assistant. ,Ungumncedisi kagqirha. ,She is a doctor's assistant. ,זי איז אַ דאָקטער אַסיסטאַנט. ,She is a physician assistant. 
She is a physicist.,Ул физик. ,He is a physicist. ,ఆమె భౌతిక శాస్త్రవేత్త. ,She is a physicist. ,เธอเป็นนักฟิสิกส์ ,She is a physicist ,O bir fizikçi. ,"[""He's a physicist."", ""She's a physicist.""]",Fizik. ,Physics. ,Вона фізик. ,She is a physicist. ,ئۇ بىر فىزىكا ئالىمى. ,He is a physicist. ,U fizik. ,In physics. ,Cô ấy là một nhà vật lý. ,She is a physicist. ,Mae hi'n ffisegydd. ,She is a physicist. ,Ungusosayensi. ,He is a scientist. ,זי איז א פיזיקער. ,She is a physicist. 
She is a pilot.,Ул очучы. ,He is a pilot. ,ఆమె పైలట్. ,She is a pilot. ,เธอเป็นนักบิน ,She is a pilot ,O bir pilot. ,"[""He's a pilot."", ""She's a pilot.""]",Uçarman. ,I am a pilot. ,Вона льотчик. ,She is a pilot. ,ئۇ بىر ئۇچقۇچى. ,He is a pilot. ,U uchuvchi. ,He is a pilot. ,Cô ấy là một phi công. ,She is a pilot. ,Mae hi'n beilot. ,She is a pilot. ,Ungumqhubi wenqwelomoya. ,He is a pilot. ,זי איז אַ פּילאָט. ,She is a pilot. 
She is a plumber.,Ул слесарь. ,Ul locksmith. ,ఆమె ప్లంబర్. ,She is a plumber. ,เธอเป็นช่างประปา ,She is a plumber ,O bir tesisatçı. ,"[""He's a plumber."", ""She's a plumber.""]",Ol suw geçiriji. ,It is a water pipeline. ,Вона сантехнік. ,She is a plumber. ,ئۇ بىر تامچى. ,It is a drop. ,U chilangar. ,He is a plumber. ,Cô ấy là một thợ sửa ống nước. ,She is a plumber. ,Plymwr yw hi. ,She is a plumber. ,Ungumtywini weplamba. ,He is a plumber. ,זי איז אַן אינסטאַלאַטאָר. ,She is a plumber. 
She is a politician.,Ул сәясәтче. ,He is a politician. ,ఆమె రాజకీయ నాయకురాలు. ,She is a politician. ,เธอเป็นนักการเมือง ,She is a politician ,O bir politikacı. ,"[""He's a politician."", ""She's a politician.""]",Ol syýasatçy. ,He is a politician. ,Вона політик. ,She is a politician. ,ئۇ بىر سىياسەتچى. ,He is a politician. ,U siyosatchi. ,He is a politician. ,Cô ấy là một chính trị gia. ,She is a politician. ,Gwleidydd yw hi. ,She's a politician. ,Ungumpolitiki. ,He is a politician. ,זי איז אַ פּאָליטיקער. ,She is a politician. 
She is a receptionist.,Ул кабул итүче. ,He is the receiver. ,ఆమె రిసెప్షనిస్ట్. ,She is a receptionist. ,เธอเป็นพนักงานต้อนรับ ,She is a receptionist ,O bir resepsiyonist. ,"[""He's a receptionist."", ""She's a receptionist.""]",Ol kabul ediji. ,He is the receiver. ,Вона портьє. ,She is a receptionist. ,ئۇ كۈتۈۋالغۇچى. ,He is the host. ,U resepsiyonist. ,He is a receptionist. ,Cô ấy là một nhân viên lễ tân. ,She is a receptionist. ,Mae hi'n dderbynnydd. ,She is a receptionist. ,Ungumamkeli ziindwendwe. ,You are the host of guests. ,זי איז אַ ופנעמערין. ,She is a receptionist. 
She is a registered nurse.,Ул теркәлгән шәфкать туташы. ,She is a registered nurse. ,ఆమె రిజిస్టర్డ్ నర్సు. ,She is a registered nurse. ,เธอเป็นพยาบาลที่ขึ้นทะเบียน ,She is a registered nurse. ,Kayıtlı bir hemşiredir. ,"['He is a registered nurse.', 'She is a registered nurse.']",Ol hasaba alnan şepagat uýasy. ,She is a registered nurse. ,Вона зареєстрована медсестра. ,She is a registered nurse. ,ئۇ تىزىملاتقان سېستىرا. ,She is a registered nurse. ,U ro'yxatdan o'tgan hamshira. ,She is a registered nurse. ,Cô ấy là một y tá đã đăng ký. ,She is a registered nurse. ,Mae hi'n nyrs gofrestredig. ,She is a registered nurse. ,Ungumongikazi obhalisiweyo. ,She is a registered nurse. ,זי איז אַ רעגיסטרירט ניאַניע. ,She is a registered nurse. 
She is a salesman.,Ул сатучы. ,He is a salesman. ,ఆమె సేల్స్ మాన్. ,She is a salesman. ,เธอเป็นพนักงานขาย ,She is a salesman ,O bir satıcı. ,"[""He's a seller."", ""She's a seller.""]",Ol satyjy. ,He is a salesman. ,Вона продавець. ,She is a saleswoman. ,ئۇ بىر ساتقۇچى. ,He is a salesman. ,U sotuvchi. ,He is a salesman. ,Cô ấy là một nhân viên bán hàng. ,She is a salesman. ,Mae hi'n werthwr. ,She is a salesman. ,Ungumthengisi. ,He is a salesman. ,זי איז אַ פאַרקויפער. ,She is a saleswoman. 
She is a salesperson.,Ул сатучы. ,He is a salesman. ,ఆమె సేల్స్ పర్సన్. ,She is a sales person. ,เธอเป็นพนักงานขาย ,She is a salesman ,O bir satış elemanı. ,"[""He's a salesperson."", ""She's a salesperson.""]",Ol satyjy. ,He is a salesman. ,Вона - продавець. ,She is a seller. ,ئۇ بىر ساتقۇچى. ,He is a salesman. ,U sotuvchi. ,He is a salesman. ,Cô ấy là một nhân viên bán hàng. ,She is a salesman. ,Mae hi'n werthwr. ,She is a salesman. ,Ungumthengisi. ,He is a salesman. ,זי איז אַ פאַרקויפערין. ,She is a saleswoman. 
She is a scientist.,Ул галим. ,He is a scientist. ,ఆమె శాస్త్రవేత్త. ,She is a scientist. ,เธอเป็นนักวิทยาศาสตร์ ,She is a scientist ,O bir bilim adamıdır. ,"['He is a scientist.', 'She is a scientist.']",Ol alym. ,He is a scientist. ,Вона вчений. ,She is a scientist. ,ئۇ بىر ئالىم. ,He is a scientist. ,U olim. ,He is a scientist. ,Cô ấy là một nhà khoa học. ,She is a scientist. ,Mae hi'n wyddonydd. ,She is a scientist. ,Ungusosayensi. ,He is a scientist. ,זי איז אַ געלערנטער. ,She is a scientist. 
She is a sea captain.,Ул диңгез капитаны. ,He is the captain of the sea. ,ఆమె సీ కెప్టెన్. ,She is the Sea Captain. ,เธอเป็นกัปตันเรือ ,She is the captain of the ship ,O bir deniz kaptanı. ,"[""He's a sea captain."", ""She's a sea captain.""]",Ol deňiz kapitany. ,He is a sea captain. ,Вона морський капітан. ,She is a sea captain. ,ئۇ بىر دېڭىز باشلىقى. ,He is a captain. ,U dengiz kapitani. ,He is a naval captain. ,Cô ấy là một thuyền trưởng biển. ,She is a marine captain. ,Mae hi'n gapten môr. ,She is a sea captain. ,Ungukapteni wolwandle. ,He is the captain of the sea. ,זי איז אַ ים קאַפּיטאַן. ,She is a sea captain. 
She is a secretary.,Ул секретарь. ,Street secretary. ,ఆమే సహయకురాలు. ,She is an assistant. ,เธอเป็นเลขานุการ. ,She is a secretary. ,O bir sekreter. ,"[""He's a secretary."", ""She's a secretary.""]",Döwlet sekretary. ,Secretary of State. ,Вона секретар. ,She is the secretary. ,ئۇ بىر كاتىپ. ,He is a secretary. ,U kotib. ,He is a secretary. ,Cô ấy là thư kí. ,She is a secretary. ,Mae hi'n ysgrifennydd. ,She is a secretary. ,Ungunobhala. ,She is the secretary. ,זי איז א סעקרעטאר. ,She is a secretary. 
She is a singer.,Ул җырчы. ,She is a singer. ,ఆమె గాయని. ,She is a singer. ,เธอเป็นนักร้อง. ,She is a singer. ,O bir şarkıcı. ,"[""He's a singer."", ""She's a singer.""]",Ol aýdymçy. ,She is a singer. ,Вона співачка. ,She is a singer. ,ئۇ بىر ناخشىچى. ,She is a singer. ,U qo'shiqchi. ,She is a singer. ,Cô ấy là ca sĩ. ,She is a singer. ,Mae hi'n gantores. ,She is a singer. ,Uyimvumi. ,She is a singer. ,זי איז א זינגערין. ,She is a singer. 
She is a solicitor.,Ул яклаучы. ,He is a defender. ,ఆమె ఒక న్యాయవాది. ,She is a lawyer. ,เธอเป็นผู้ชักชวน ,She is the persuader ,O bir avukattır. ,"['He is a lawyer.', 'She is a lawyer.']",Ol aklawçy. ,He is a lawyer. ,Вона є адвокатом. ,She is a lawyer. ,ئۇ ئادۋوكات. ,He is a lawyer. ,U advokat. ,He is a lawyer. ,Cô ấy là một luật sư. ,She is a lawyer. ,Mae hi'n gyfreithiwr. ,She is a lawyer. ,Uligqwetha. ,He is a lawyer. ,זי איז אַ אַדוואָקאַט. ,She is a lawyer. 
She is a speech pathologist.,Ул сөйләм патологы. ,He is a speech pathologist. ,ఆమె స్పీచ్ పాథాలజిస్ట్. ,She is a speech pathologist. ,เธอเป็นพยาธิสภาพการพูด ,She is a speech pathology. ,Konuşma patoloğu. ,Speech pathologist. ,Ol söz patology. ,It is a word pathology. ,Вона - дефектолог. ,She is a speech pathologist. ,ئۇ بىر نۇتۇق كېسەللىكلىرى دوختۇرى. ,He is a speech therapist. ,U defektolog. ,The defectologist. ,Cô ấy là một nhà nghiên cứu bệnh học về giọng nói. ,She is a speech pathologist. ,Mae hi'n batholegydd lleferydd. ,She is a speech pathologist. ,Uyingcali yendlela yokuthetha. ,He is a master of speech. ,זי איז אַ רעדע פּאַטאַלאַדזשאַסט. ,She is a speech pathologist. 
She is a speech-language pathologist.,Ул сөйләм телендәге патолог. ,He is a speech pathologist. ,ఆమె స్పీచ్-లాంగ్వేజ్ పాథాలజిస్ట్. ,She is a speech-language pathologist. ,เธอเป็นพยาธิสภาพการพูด - ภาษา ,She is a speech-language pathology. ,Konuşma dili patoloğu. ,Speech language pathologist. ,Ol sözleýiş dilindäki patolog. ,He is a speech pathologist. ,Вона - мовний патолог. ,She is a speech pathologist. ,ئۇ نۇتۇق تىلى كېسەللىكلىرى دوختۇرى. ,He is a speech pathologist. ,U logoped-patolog. ,He is a speech therapist-pathologist. ,Cô ấy là một nhà nghiên cứu bệnh học về ngôn ngữ. ,She is a language pathologist. ,Mae hi'n batholegydd iaith lafar. ,She is an oral language pathologist. ,Uyi-pathologist yolwimi. ,You are a language pathologist. ,זי איז אַ רעדע-שפּראַך פּאַטאַלאַדזשאַסט. ,She is a speech-language pathologist. 
She is a statistician.,Ул статистик. ,He is a statistician. ,ఆమె గణాంకవేత్త. ,She is a statistician. ,เธอเป็นนักสถิติ ,She is a statistician ,O bir istatistikçi. ,"[""He's a statistician."", ""She's a statistician.""]",Ol statistikaçy. ,He is a statistician. ,Вона - статистик. ,She is a statistician. ,ئۇ بىر ستاتىستىكا خادىمى. ,He is a statistician. ,U statistik. ,In statistics. ,Cô ấy là một nhà thống kê. ,She is a statistician. ,Mae hi'n ystadegydd. ,She is a statistician. ,Ungumlingisi weenkcukacha-manani. ,She is a statistician. ,זי איז אַ סטאַטיסטיש. ,She is a statistician. 
She is a surveyor.,Ул - тикшерүче. ,He is a researcher. ,ఆమె ఒక సర్వేయర్. ,She is a surveyor. ,เธอเป็นนักสำรวจ ,She is an explorer ,O bir eksper. ,"[""He's an expert."", ""She's an expert.""]",Gözlegçi. ,Researcher. ,Вона - геодезист. ,She is a surveyor. ,ئۇ بىر تەكشۈرگۈچى. ,He is an investigator. ,U yershunos. ,He is a geologist. ,Cô ấy là một nhà khảo sát. ,She is a surveyor. ,Syrfëwr yw hi. ,She is a surveyor. ,Ungumvavanyi. ,He is a tester. ,זי איז אַ סורווייער. ,She is a Surveyor. 
She is a therapist.,Ул терапевт. ,He is a therapist. ,ఆమె చికిత్సకుడు. ,She is a therapist. ,เธอเป็นนักบำบัด ,She is a therapist ,O bir terapist. ,"[""He's a therapist."", ""She's a therapist.""]",Terapewt. ,Therapist. ,Вона терапевт. ,She is a therapist. ,ئۇ بىر داۋالاش دوختۇرى. ,He is a medical doctor. ,U terapevt. ,He is a therapist. ,Cô ấy là một nhà trị liệu. ,She is a therapist. ,Mae hi'n therapydd. ,She is a therapist. ,Ungumgqirha. ,She is a doctor. ,זי איז אַ טעראַפּיסט. ,She is a therapist. 
She is an undertaker.,Ул эш алып баручы. ,He is the conductor. ,ఆమె ఒక పనివాడు. ,She is a workaholic. ,เธอเป็นสัปเหร่อ ,She is an undertaker ,O bir cenazecidir. ,He is a funeral man. ,Ol kärhanaçy. ,He is an entrepreneur. ,Вона трунар. ,She is a coffin. ,ئۇ بىر ھۆددىگە ئالغۇچى. ,He is a contractor. ,U ishbilarmon. ,He is a businessman. ,Cô ấy là một người đảm nhận. ,She is an undertaker. ,Mae hi'n ymgymerwr. ,She is an undertaker. ,Ungumngcwabi. ,He is the undertaker. ,זי איז אַן אונטערנעמער. ,She is an entrepreneur. 
She is an urban planner.,Ул шәһәрне планлаштыручы. ,He is a city planner. ,ఆమె అర్బన్ ప్లానర్. ,She is an Urban Planner. ,เธอเป็นนักวางผังเมือง ,She is an urban planner ,O bir şehir plancısı. ,"[""He's a city planner."", ""She's a city planner.""]",Ol şäher meýilleşdiriji. ,He is a city planner. ,Вона містобудівник. ,She is a city planner. ,ئۇ شەھەر پىلانلىغۇچىسى. ,He is a city planner. ,U shaharsozlik bilan shug'ullanadi. ,He is involved in urban planning. ,Cô ấy là một nhà quy hoạch đô thị. ,She is an urban planner. ,Mae hi'n gynllunydd trefol. ,She is an urban planner. ,Ungumcwangcisi wedolophu. ,She is a town planner. ,זי איז אַ שטאָטיש פּלאַננער. ,She is an urban planner. 
She is a videographer.,Ул видеограф. ,He is a videographer. ,ఆమె వీడియోగ్రాఫర్. ,She is a videographer. ,เธอเป็นนักถ่ายวิดีโอ ,She is a videographer ,O bir kameraman. ,He's a cameraman. ,Ol wideograf. ,He is a videographer. ,Вона - відеооператор. ,She is a videographer. ,ئۇ سىن ئالغۇچى. ,He is a videographer. ,U videograf. ,The videographer. ,Cô ấy là một nhà quay phim. ,She is a cameraman. ,Mae hi'n fideograffydd. ,She is a videographer. ,Ungumfoti wevidiyo. ,You are a video photographer. ,זי איז אַ ווידעאָגראַפער. ,She is a videographer. 
She is a virologist.,Ул вирусолог. ,Ul virologist. ,ఆమె వైరాలజిస్ట్. ,She is a virologist. ,เธอเป็นนักไวรัสวิทยา ,She is a virologist ,O bir virolog. ,"[""He's a virologist."", ""She's a virologist.""]",Wirusolog. ,Virologist. ,Вона вірусолог. ,She is a virologist. ,ئۇ بىر ۋىرۇسشۇناس. ,He is a virologist. ,U virusolog. ,He is a virologist. ,Cô ấy là một nhà virus học. ,She is a virologist. ,Mae hi'n firolegydd. ,She firolegydd . ,Ingcali yentsholongwane. ,A pathologist. ,זי איז אַ וויראָלאָגיסט. ,She is a virologist. 
She is a visual artist.,Ул визуаль рәссам. ,He is a visual artist. ,ఆమె విజువల్ ఆర్టిస్ట్. ,She is a visual artist. ,เธอเป็นศิลปินด้านภาพ ,She is a visual artist ,Görsel bir sanatçıdır. ,It is a visual artist. ,Ol wizual suratkeş. ,He is a visual artist. ,Вона художник-візуаліст. ,She is a visual artist. ,ئۇ بىر كۆرۈنۈشلۈك سەنئەتكار. ,He is a prominent artist. ,U tasviriy rassom. ,He is a fine artist. ,Cô ấy là một nghệ sĩ thị giác. ,She is a visual artist. ,Mae hi'n arlunydd gweledol. ,She is a visual artist. ,Ungumculi obonakalayo. ,He is a visible artist. ,זי איז אַ וויזשאַוואַל קינסטלער. ,She is a visual artist. 
She is a waiter.,Ул официант. ,Street waiter. ,ఆమె వెయిటర్. ,She is a waiter. ,เธอเป็นพนักงานเสิร์ฟ ,She is a waitress ,O bir garson. ,He's a waitress. ,Ol ofisiant. ,He's a waitress. ,Вона офіціант. ,She is a waiter. ,ئۇ بىر كۈتكۈچى. ,She is a waitress. ,U ofitsiant. ,The waiter. ,Cô ấy là một bồi bàn. ,She is a waiter. ,Mae hi'n weinydd. ,She is a waitress. ,Ungumncedisi. ,She is a helper. ,זי איז א קעלנער. ,She is a waiter. 
She is a web designer.,Ул веб-дизайнер. ,She is a web designer. ,ఆమె వెబ్ డిజైనర్. ,She is a web designer. ,เธอเป็นนักออกแบบเว็บไซต์ ,She is a web designer ,O bir web tasarımcısıdır. ,"['He is a web designer.', 'She is a web designer.']",Web dizaýneri. ,Web designer. ,Вона веб-дизайнер. ,She is a web designer. ,ئۇ بىر تور لايىھىلىگۈچىسى. ,He is a web designer. ,U veb-dizayner. ,He is a web designer. ,Cô ấy là một nhà thiết kế web. ,She is a web designer. ,Mae hi'n ddylunydd gwe. ,She is a web designer. ,Uyilo lwewebhu. ,Web design. ,זי איז אַ וועב דיזיינער. ,She is a web designer. 
She is a web developer.,Ул веб ясаучы. ,He is a web developer. ,ఆమె వెబ్ డెవలపర్. ,She is a web developer. ,เธอเป็นนักพัฒนาเว็บ ,She is a web developer. ,O bir web geliştiricisidir. ,"['He is a web developer.', 'She is a web developer.']",Web ýasaýjy. ,Web developer. ,Вона веб-розробник. ,She is a web developer. ,ئۇ بىر تور ئاچقۇچى. ,It is a web developer. ,U veb-dasturchi. ,He is a web developer. ,Cô ấy là một nhà phát triển web. ,She is a web developer. ,Mae hi'n ddatblygwr gwe. ,She is a web developer. ,Ungumphuhlisi wewebhu. ,You are a web developer. ,זי איז אַ וועב דעוועלאָפּער. ,She is a web developer. 
She is a zoologist.,Ул зоолог. ,He is a zoologist. ,ఆమె జువాలజిస్ట్. ,She is a zoologist. ,เธอเป็นนักสัตววิทยา ,She is a zoologist ,O bir zoolog. ,"[""He's a zoologist."", ""She's a zoologist.""]",Ol zoolog. ,He is a zoologist. ,Вона зоолог. ,She is a zoologist. ,ئۇ ھايۋاناتلار دوختۇرى. ,He is a veterinarian. ,U zoolog. ,He is a zoologist. ,Cô ấy là một nhà động vật học. ,She is a zoologist. ,Mae hi'n sŵolegydd. ,She is a zoologist. ,Ungugqirha wezilwanyana. ,He is a veterinarian. ,זי איז אַ זאָאָלאָג. ,She is a zoologist. 
