Word,source_index
accountant,1
actor,1
air traffic controller,1
architect,1
artist,1
attorney,1
banker,1
bartender,1
barber,1
bookkeeper,1
builder,1
businessman,1
businessperson,1
butcher,1
carpenter,1
cashier,1
chef,1
coach,1
dental hygienist,1
dentist,1
designer,1
developer,1
dietician,1
doctor,1
economist,1
editor,1
electrician,1
engineer,1
farmer,1
filmmaker,1
fisherman,1
flight attendant,1
jeweler,1
judge,1
lawyer,1
mechanic,1
musician,1
nutritionist,1
nurse,1
optician,1
painter,1
pharmacist,1
photographer,1
physician,1
pilot,1
plumber,1
police officer,1
politician,1
professor,1
programmer,1
psychologist,1
receptionist,1
salesman,1
salesperson,1
secretary,1
singer,1
surgeon,1
teacher,1
therapist,1
translator,1
translator,1
undertaker,1
veterinarian,1
videographer,1
waiter,1
writer,1
Professors,2
Teachers,2
Actors,2
Clergy,2
Musicians,2
Philosophers,2
Visual Artists,2
Writers,2
Audiologists,2
Chiropractors,2
Dentists,2
Dietitians,2
Doctors,2
Medical Laboratory Scientists,2
Midwives,2
Nurses,2
Occupational therapists,2
Optometrists,2
Pathologists,2
Pharmacists,2
Physical therapists,2
Physicians,2
Psychologists,2
Speech-language pathologists,2
Accountants,2
Actuaries,2
Agriculturists,2
Architects,2
Economists,2
Engineers,2
Interpreters,2
Attorney at law,2
Advocates,2
Solicitors,2
Librarians,2
Statisticians,2
Surveyors,2
Urban planners,2
Human resources,2
Firefighters,2
Judges,2
Military officers,2
Police officers,2
Air traffic controllers,2
Aircraft pilots,2
Sea captains,2
Scientists,2
Astronomers,2
Biologists,2
Botanists,2
Ecologists,2
Geneticists,2
Immunologists,2
Pharmacologists,2
Virologists,2
Zoologists,2
Chemists,2
Geologists,2
Meteorologists,2
Oceanographers,2
Physicists,2
Programmers,2
Web developers,2
Designers,2
Graphic designers,2
Web designers,2
Physicians,3
surgeons,3
Dentists,3
Veterinarians,3
Pharmacists,3
Chiropractors,3
Osteopaths,3
Optometrists,3
Opticians,3
Registered Nurses,3
Licensed practical nurses,3
Dieticians,3
Physical therapists,3
Occupational therapists,3
Dental hygienists,3
Clinical lab technicians,3
EMT specialist,3
Speech pathologists,3
Physician assistants,3
Paramedics,3